time;interpolated Pixel forehead
7.471;244.69391107538684,231.02142262372053,233.69324839391584
7.501;244.66319940932627,231.03430951292964,233.66893206864287
7.531;244.63248774326567,231.04719640213875,233.6446157433699
7.561;244.73850307478818,231.20689647807703,233.79598523892935
7.591;244.98124540389384,231.5134097407445,234.12304055532115
7.621;245.1680911436697,231.7510717849006,234.38042722476695
7.651;245.07545393679666,231.64447773649997,234.28947065948287
7.681;244.98281672992363,231.53788368809933,234.19851409419877
7.711;244.89017952305056,231.4312896396987,234.1075575289147
7.741;245.045679794222,231.7537238305151,234.40012027003343
7.771;245.26321443490454,232.1834150811358,234.7885628377529
7.801;245.48074907558708,232.61310633175648,235.17700540547236
7.831;245.62953327698267,232.87860942905806,235.41829524297594
7.861;245.58925377033904,232.692595104732,235.2549150723859
7.891;245.5489742636954,232.50658078040595,235.09153490179585
7.921;245.50869475705179,232.3205664560799,234.9281547312058
7.951;245.53680797406028,232.4752051559185,235.06534966574597
7.981;245.5785997357992,232.69797446059005,235.2626596213122
8.011;245.33053670444625,232.28429334978892,234.79004292905154
8.041;244.9146630034085,231.50214094581943,233.92957396699632
8.071;244.63220550399203,230.90708729848637,233.3362483202858
8.101;244.54987230700746,230.59268178610793,233.1436376465923
8.131;244.4764411848369,230.32060161390044,232.9767412046793
8.161;244.5276391100623,230.64107620408643,233.16984400769334
8.191;244.5788370352877,230.9615507942724,233.3629468107074
8.221;244.6272630893774,231.0494612178451,233.44333602881804
8.251;244.67513476923997,231.09085880809513,233.50118252994804
8.281;244.72300644910254,231.13225639834516,233.559029031078
8.311;244.79972652436007,231.25593102630208,233.72675668803817
8.341;244.9094161943547,231.4736365544954,234.02006280880423
8.371;245.01910586434934,231.69134208268878,234.31336892957032
8.401;245.09720225978353,231.852737075899,234.532494253635
8.431;244.96994237057478,231.64811359171904,234.26944439914067
8.461;244.842682481366,231.44349010753905,234.00639454464635
8.491;244.71542259215724,231.2388666233591,233.743344690152
8.521;244.80556125589987,231.33804941818485,233.80503302399467
8.551;244.96186469662769,231.5296949935776,233.96555471950506
8.581;244.971771058973,231.49453809573936,233.89929098527872
8.611;244.86972671431994,231.28594401248918,233.6596030989008
8.641;244.76768236966686,231.077349929239,233.41991521252285
8.671;244.6656380250138,230.8687558459888,233.18022732614492
8.701;244.22403417829216,230.3127421155537,232.5169108883492
8.731;243.73019040817533,229.70327920862863,231.78842082725842
8.761;243.5597632836644,229.3976742066671,231.47739110081022
8.791;243.55104448195644,229.24399815718735,231.37509154168333
8.821;243.50860877988657,229.1191473481272,231.28210428854203
8.851;243.40793479537348,229.0440855907009,231.20520192755762
8.881;243.3072608108604,228.9690238332746,231.12829956657322
8.911;243.20658682634732,228.8939620758483,231.0513972055888
8.941;243.12265888516427,228.7571183546858,230.9658793579218
8.971;243.03873094398122,228.6202746335233,230.8803615102548
9.001;242.96913680670852,228.47011986101086,230.72838947876662
9.031;242.91387647334614,228.30665403714843,230.50996326345725
9.061;242.85861613998375,228.143188213286,230.29153704814792
9.091;242.8033558066214,227.9797223894236,230.07311083283855
9.121;242.74934734763227,227.82080713905765,229.86136948699155
9.151;242.73164324546752,227.7938585200893,229.84348935555286
9.181;242.71393914330278,227.76690990112093,229.82560922411417
9.211;242.79441883351177,227.91424990609573,229.9936341181291
9.241;242.89453528219553,228.09644763585916,230.19884001723472
9.271;242.9946517308793,228.2786453656226,230.40404591634035
9.301;242.99897336555242,228.2976050997661,230.4304065831073
9.331;242.87802485882696,228.10309976271427,230.22289271527745
9.361;242.7570763521015,227.90859442566244,230.0153788474476
9.391;242.63612784537605,227.7140890886106,229.80786497961776
9.421;242.5151793386506,227.51958375155877,229.60035111178792
9.451;242.60333887153286,227.62563624055764,229.768286589079
9.481;242.70643469295848,227.753157145703,229.96303987673588
9.511;242.80953051438414,227.88067805084836,230.15779316439276
9.541;242.902836862659,228.0661639793334,230.31945379237493
9.571;242.98961689550006,228.29029325671155,230.4590526472406
