time;Pixel leftCheek
0;220.36300129366106,194.32496765847347,198.54644243208278
1.617;219.45327577450482,192.8443372270188,197.3590655154901
1.782;217.70966914593487,190.98435496281098,195.29802513464992
1.92;217.2842023748064,190.86551368094993,195.33195663397007
2.068;216.47204328781243,190.05539809327493,194.1728935841278
2.203;216.49767921609077,190.44507478081485,193.98298091799896
2.303;216.47650130548303,190.37519582245432,193.98067885117493
2.42;216.56553524804178,190.4396866840731,194.63864229765014
2.525;216.8892959958126,190.3151007589636,194.3001831981157
2.632;215.93245382585752,189.8664907651715,193.7934036939314
2.765;216.17853403141362,189.28376963350786,193.45392670157068
2.907;213.2044736842105,187.2057894736842,190.5507894736842
3.017;213.27886136004219,186.97337901950448,190.26937269372695
3.118;215.0876261285183,188.6988847583643,192.12825278810408
3.284;210.60276155071693,184.82049920339884,187.43733404142327
3.485;209.6244403476429,183.77824598367133,186.72530945483277
3.621;217.95206611570248,191.02038567493113,195.001652892562
3.723;218.2465001372495,190.961021136426,194.71726598956903
3.827;217.0011089548101,190.1175492098697,193.8763515386748
3.962;211.79878553684793,185.07756003312173,187.80540988131384
4.064;209.71076923076924,183.40475524475525,186.06405594405595
4.166;206.04867132867133,180.59272727272727,182.5267132867133
4.299;204.88697584004444,179.0366564843099,181.36045542904748
4.471;203.22084855296433,177.2281539758359,179.60325934251193
4.694;208.58096035734226,181.66666666666666,183.5642099385818
4.802;213.2613476177051,185.97885537073583,188.35804905553988
4.904;209.21109530583215,182.3968705547653,184.61507823613087
5.005;208.61627906976744,181.89057841383422,183.51311866428145
5.113;206.4800238521169,179.58258795468097,181.06917113893857
5.214;207.56537207233916,180.71509042395493,181.9531574266232
5.318;218.367493277562,190.17627726322078,192.9964146997311
5.484;219.91347851677457,192.0888758092996,195.34844025897587
5.64;225.85635359116023,199.26926432102354,202.9499854608898
5.783;227.34156976744185,200.84622093023256,204.84534883720931
5.917;226.5496313102666,200.03403289846852,204.02665910380034
6.018;227.43590470788428,201.67498581962565,206.04424276800907
6.089;225.92247846624062,200.17532647957765,204.32203389830508
6.224;220.7222376843863,193.9891455608127,197.80768160311717
6.326;220.69655172413792,194.22442528735633,197.55229885057472
6.427;217.77846674182638,191.09836527621195,194.21364148816235
6.53;218.0901384571913,191.19214467363662,194.64990110200623
6.665;220.11820728291318,193.90392156862745,197.62913165266107
6.733;221.17535014005603,194.7921568627451,198.55378151260504
6.799;221.95458440445586,195.61982290774066,199.5721222507855
6.901;220.61724234765515,194.1968548160629,198.20078629598427
7.012;220.38794779227993,194.18855873368508,198.21577339627882
7.12;219.08649255827015,192.5015445099691,196.13282785734344
7.221;218.48525764673462,192.04794709286304,195.57343620832185
7.322;219.41140810140536,192.94185726095344,196.97767980159824
7.443;220.29766803840877,193.78765432098766,198.32427983539094
