time;interpolated Pixel leftCheek
0;220.36300129366106,194.32496765847347,198.54644243208278
0.001;220.36243869284525,194.32405199339527,198.5457081235382
0.031;220.34556066837112,194.29658204104916,198.5236788672007
0.061;220.32868264389697,194.26911208870308,198.50164961086315
0.091;220.31180461942282,194.24164213635697,198.47962035452562
0.121;220.2949265949487,194.21417218401086,198.4575910981881
0.151;220.27804857047454,194.18670223166478,198.43556184185056
0.181;220.26117054600041,194.15923227931867,198.41353258551305
0.211;220.24429252152626,194.1317623269726,198.39150332917552
0.241;220.2274144970521,194.10429237462648,198.369474072838
0.271;220.21053647257799,194.07682242228037,198.34744481650046
0.301;220.19365844810383,194.0493524699343,198.32541556016292
0.331;220.17678042362968,194.02188251758818,198.30338630382542
0.361;220.15990239915556,193.9944125652421,198.2813570474879
0.391;220.1430243746814,193.966942612896,198.25932779115035
0.421;220.12614635020728,193.9394726605499,198.23729853481282
0.451;220.10926832573313,193.9120027082038,198.2152692784753
0.481;220.09239030125897,193.8845327558577,198.1932400221378
0.511;220.07551227678485,193.8570628035116,198.17121076580025
0.541;220.0586342523107,193.8295928511655,198.14918150946272
0.571;220.04175622783657,193.80212289881942,198.1271522531252
0.601;220.02487820336242,193.7746529464733,198.10512299678766
0.631;220.00800017888827,193.7471829941272,198.08309374045015
0.661;219.99112215441414,193.71971304178112,198.06106448411262
0.691;219.97424412994,193.692243089435,198.0390352277751
0.721;219.95736610546584,193.66477313708893,198.01700597143756
0.751;219.9404880809917,193.63730318474282,197.99497671510002
0.781;219.92361005651756,193.6098332323967,197.97294745876252
0.811;219.90673203204344,193.58236328005063,197.950918202425
0.841;219.88985400756928,193.55489332770452,197.92888894608745
0.871;219.87297598309513,193.52742337535844,197.90685968974992
0.901;219.856097958621,193.49995342301233,197.8848304334124
0.931;219.83921993414685,193.47248347066625,197.86280117707489
0.961;219.82234190967273,193.44501351832014,197.84077192073735
0.991;219.80546388519858,193.41754356597403,197.81874266439982
1.021;219.78858586072442,193.39007361362795,197.7967134080623
1.051;219.7717078362503,193.36260366128184,197.77468415172476
1.081;219.75482981177615,193.33513370893576,197.75265489538725
1.111;219.737951787302,193.30766375658965,197.73062563904972
1.141;219.72107376282787,193.28019380424354,197.7085963827122
1.171;219.70419573835372,193.25272385189746,197.68656712637465
1.201;219.6873177138796,193.22525389955135,197.66453787003715
1.231;219.67043968940544,193.19778394720527,197.64250861369962
1.261;219.6535616649313,193.17031399485916,197.6204793573621
1.291;219.63668364045716,193.14284404251305,197.59845010102455
1.321;219.619805615983,193.11537409016697,197.57642084468702
1.351;219.6029275915089,193.08790413782086,197.55439158834952
1.381;219.58604956703473,193.06043418547478,197.53236233201199
1.411;219.56917154256058,193.03296423312867,197.51033307567445
1.441;219.55229351808646,193.00549428078259,197.48830381933692
1.471;219.5354154936123,192.97802432843648,197.4662745629994
1.501;219.51853746913815,192.95055437609037,197.44424530666188
1.531;219.50165944466403,192.92308442374429,197.42221605032435
1.561;219.48478142018988,192.89561447139818,197.40018679398682
1.591;219.46790339571575,192.8681445190521,197.3781575376493
1.621;219.4110065229031,192.79924674788649,197.309100900197
1.651;219.09398713589042,192.46106815439416,196.93436628549878
