time;Pixel rightCheek
7.322;194.3696402168556,170.52094627895514,169.95071463775258
7.443;196.3706700379267,172.4606826801517,171.90670037926674
7.546;196.6616299232103,172.68020807530345,171.8949715135001
7.616;198.47195453422287,174.27205337286878,174.05930318754633
7.717;198.1776798825257,174.19897209985317,173.8942731277533
7.823;197.85543035243347,174.32893790457925,173.98273795252936
7.926;197.4801067442989,173.66302765647742,173.48301795245027
7.992;198.7144590004852,174.6741872877244,174.24866569626394
8.059;191.8240074297655,169.04782911539354,168.5035987926631
8.129;191.27222884386174,168.68581644815256,168.16877234803337
8.196;191.1800925925926,168.18125,167.69421296296295
8.297;192.37244298142488,169.40935810016458,168.8109569715495
8.397;191.3723675075214,168.63874103216847,168.27285350613283
8.498;191.58749405611033,168.8145506419401,168.37779362815027
8.564;191.7001902044698,169.25439847836424,168.66286257727057
8.675;189.09884526558892,166.79491916859124,166.0445727482679
8.741;189.19990480723465,166.91908614945265,166.22727272727272
8.81;186.41390573961735,164.148623425105,163.56532897806812
8.911;187.03174224343675,164.67541766109784,164.07899761336515
8.986;185.43562231759657,163.38459704339533,162.75584167858847
9.12;190.42631322957197,167.5875486381323,167.24270428015564
9.186;186.32147122044424,163.8122760926678,163.32338189634584
9.288;187.47934283643391,164.88644600144963,164.12297656438753
9.423;183.8390033540968,161.47532343076185,160.8605654048874
9.523;184.34802395209582,162.42874251497005,161.57461077844312
9.624;185.16036628316508,163.16459262737732,162.40032871566095
9.694;187.74922155688623,165.2447904191617,164.81988023952096
9.78;187.38035928143714,164.8620359281437,164.0402395209581
9.915;184.09422492401217,162.0944587327566,161.43979424830488
9.981;187.87638856062398,164.99172772394232,164.48026471283384
10.083;186.66884024219843,164.0181648812296,163.37866790870982
10.183;189.18859857482184,166.4334916864608,165.65629453681711
10.284;187.14128911723495,164.58360579168613,163.85053713218122
10.389;189.22966162706985,166.72474202063836,166.23038156947445
10.557;188.6344567522979,166.04784350695263,165.30285175583313
10.657;187.54982164090367,165.0527942925089,164.494887039239
10.724;184.65283997171812,162.49304737214234,161.77185953334904
10.826;187.24347617907588,164.89514005266938,164.5987550873833
10.904;186.61485849056604,164.12240566037735,163.62311320754716
11.007;189.03698401336197,166.2419470293486,165.82772607969457
11.074;188.93653066094012,166.29563350035792,165.56931519923646
11.14;187.03473534971644,164.37240075614366,164.02079395085067
11.209;188.72790253225037,166.038939321548,165.63186813186815
11.309;187.11020121665888,164.44127281235376,164.04141319606924
11.427;188.1025089605735,165.46810035842293,165.15746714456392
11.53;186.93252393182348,164.28297922017276,163.74713985524164
11.635;189.1042213212497,165.90293346052945,165.7066539470546
11.703;189.00166944908182,165.6687336036251,165.18650131171
11.771;187.23321554770317,164.25064782096584,163.8603062426384
11.871;188.8942053378216,166.1401779273864,165.12503005530175
11.972;189.94655004859086,167.03644314868805,166.46671525753158
12.075;190.756601056169,167.70427268362937,167.35045607297167
12.177;189.6970855231725,166.75585284280936,166.36884854276158
12.243;189.62345679012347,166.8596866096866,166.44919278252613
12.312;189.2383665716999,166.32882241215574,165.80959164292497
12.413;187.6137566137566,164.6113516113516,164.16426166426166
12.513;186.68640038040894,163.66119828815977,163.24940561103185
12.647;187.98133524766692,164.71069633883704,164.3173007896626
12.749;191.8612895550797,167.8103735427076,167.802284082798
12.85;189.9750060081711,166.80365296803652,166.32852679644316
12.951;187.5847800237812,164.6128418549346,163.73293697978596
13.028;186.38549346016646,163.70582639714627,162.95291319857313
13.095;187.45545497856122,164.0602667937113,163.57813244402095
13.162;192.22639714625447,168.91605231866825,168.27895362663494
13.263;190.74803337306318,167.61477949940405,167.33849821215733
13.331;191.53900542069292,167.8734386047608,167.739099693613
13.448;190.36950354609928,166.84066193853428,166.6867612293144
13.55;191.2625236294896,167.40099243856332,167.06356332703214
13.651;191.77646502835537,168.3147448015123,168.4647920604915
13.751;192.2770366841353,168.49213911386374,168.4394949976179
13.881;189.08055101564324,165.94233014242354,165.6880691104366
13.982;189.6926583493282,166.62643953934742,166.1823416506718
14.083;187.9870831376233,164.94222639736967,164.67919210897134
14.149;191.2231483686592,167.94093831864728,167.62038580614433
14.255;188.4833019755409,165.09172154280338,164.4983537158984
14.343;189.01175917215429,165.2222483537159,164.70366886171215
14.477;190.58980410667925,167.27047439225868,166.93839981118717
14.545;189.1273795534665,166.26909518213867,165.88155111633372
14.645;190.6159642100306,167.12479397221568,166.42571226748294
14.747;191.07169811320756,167.72358490566037,167.05188679245282
14.821;190.0673841834347,166.63664014974262,166.39751988769302
14.895;188.73633591367582,165.78935022284776,165.3689889749003
14.996;188.25099695050434,165.31034482758622,164.51301900070374
15.064;190.56057398259233,167.60244648318042,167.0905669254293
15.135;190.0565288483999,167.07731838355525,166.7201588413922
15.241;188.57538389948814,165.79292694276407,165.46137738483014
15.309;187.90717792845453,164.7986906710311,164.13981762917933
15.411;190.799859055673,167.3049095607235,167.20178529480856
15.511;190.77023255813953,167.40651162790698,166.99279069767442
15.612;191.03837209302327,167.90395348837208,167.35093023255814
15.714;193.62632594021215,170.20491803278688,169.9370781099325
15.781;191.30145676691728,168.31766917293234,167.6983082706767
15.911;192.85929288103202,169.26612517916865,168.5867176301959
16.013;190.10171853228053,167.11286576869483,166.70668834184858
16.086;190.7416178194607,167.70058616647128,167.26377491207504
16.153;192.11548432712704,168.80320527928353,168.72142352109356
16.288;191.93677480464126,169.0113663272555,168.1560502012787
16.364;190.90964705882354,167.94047058823529,167.37317647058825
16.465;191.92194193241315,168.65230842455972,168.08210376011422
16.588;191.41502808988764,168.24180711610487,167.69241573033707
16.694;191.44271936015056,168.58950835097625,168.12632321806635
16.795;191.5,168.61266294227187,168.27188081936686
16.897;192.01608766612264,168.6768477500583,168.11984145488458
17;192.11872251793565,168.85489470030086,168.74635501041425
17.134;191.81173708920187,169.03028169014084,168.52887323943662
17.201;191.80055274067252,168.4725932749885,167.85536619069552
17.268;191.72774498229043,168.68476977567886,168.1952774498229
17.369;191.12505876821814,168.06981664315938,167.86154207804418
17.504;191.44902797534377,168.48814604077762,167.88762446657182
17.605;190.2264678471575,167.60973904939422,166.94384902143523
17.707;191.11087470449172,168.37517730496455,168.00283687943264
17.772;190.26404494382024,167.6509831460674,166.9302434456929
17.908;191.37657102205358,168.50177851553238,167.7173345980555
18.01;190.1173719897124,167.39326630815992,166.61140986672902
18.112;190.25040916530278,167.11059153612345,166.509936871639
18.18;191.69637817497647,168.8809971777987,168.65498588899342
18.246;191.48539802166746,168.4057936881771,168.0263777673104
18.312;190.6890558947863,167.94950681070927,167.5678722404885
18.414;191.96053558844255,168.73408503641062,168.30420483908856
18.515;193.0169411764706,169.32117647058823,169.1734117647059
18.615;190.50233317778816,167.4857676154923,167.08166122258515
18.718;192.49928639391055,169.08396764985727,168.58634633682206
18.8;191.25786163522014,168.56231073841136,167.55345911949686
18.899;191.97959667852905,168.90581257414,168.94709371293
19;193.0759971678074,169.80292659900874,169.12626858626388
19.137;192.85721029029975,169.75359924474864,169.41043190936983
19.238;192.55293562838952,169.02994576750766,168.48927139825514
19.305;192.02876680028297,168.59254892713983,168.1327517095025
19.372;192.59674718966755,169.45611097823488,169.36546280794067
19.474;194.39917295062028,170.56628557528583,170.24033081975188
19.575;193.4990389235944,170.09490629505046,169.90941854877462
19.676;193.94028046421664,170.41320116054158,170.32035783365572
19.747;193.41907514450867,169.72832369942196,169.5669556840077
19.812;193.94190871369295,170.13863802782524,170.2377349279961
19.98;194.33309126119585,170.35076252723312,170.38126361655773
20.081;193.95358955765047,169.93280154701475,169.6811699299009
20.182;194.31540520807982,169.91676807009006,169.6875152105135
20.285;193.7511443025777,169.93591905564924,169.9378463020959
20.42;193.7316194137434,169.83781835655935,169.7342623738587
20.522;194.2395631067961,170.35169902912622,170.3873786407767
20.624;194.40679611650486,170.38082524271846,170.3752427184466
20.69;194.4729502284203,170.34383265207984,170.52560711709546
20.758;194.96507266760432,170.8947491795593,171.18049695264884
20.892;193.68732394366197,169.34906103286386,169.5086854460094
20.994;191.81885227010832,168.24959668126297,168.33233463931782
21.096;193.02526906878802,169.31539541413196,169.36429574169395
21.197;191.6187629340078,168.13382386755575,168.09657392504025
21.299;193.21750412833217,169.17622080679405,168.86175984902098
21.401;192.2478553211222,168.74704382100626,168.7602596800371
21.47;194.41935483870967,170.0483870967742,169.93240037950665
21.574;191.73100900484877,168.32625259755253,168.1639344262295
21.743;192.15384615384616,168.42424953095684,168.30534709193245
21.845;193.4036633433805,169.21516345930905,169.19638302805473
21.979;193.74295112781954,169.71428571428572,169.75869360902254
22.08;194.03238583410996,169.87907735321528,169.799394221808
22.214;191.87063750581666,168.24569567240576,168.09981386691484
22.315;192.17801784875527,168.54180366369187,168.3806951620479
22.454;193.11781272001878,168.99084721896267,169.12321051396387
22.554;192.57971354778118,168.81826719887297,168.7328011270251
22.662;192.18032401972295,168.5313453862409,168.34538624090163
22.775;193.27806850618458,169.32373929590867,169.08444338725025
22.91;193.6649580615098,169.55801491146318,169.73648648648648
23.011;193.94204946996467,169.99010600706714,170.0911660777385
23.111;192.20917173607862,168.72929340196538,168.79644361254094
23.217;192.9169411764706,169.23458823529413,169.30423529411766
23.318;193.11766071014156,169.50197261545603,169.4063587839406
23.418;193.36922719888605,169.30030169412856,169.18821072174518
23.554;193.53103126458237,169.61339244050396,169.35230984601026
23.654;193.9790242752769,170.12986094744284,170.3250058920575
23.755;194.21357615894038,170.53642384105962,170.67738883632924
23.857;192.37947159223754,168.65770399812953,168.48328267477203
