time;interpolated Pixel rightCheek
0;181.86628733997156,159.35372214319582,158.27572309151256
0.001;181.86601748630997,159.35316929716723,158.2753217807692
0.031;181.85792187646237,159.33658391630908,158.26328245846778
0.061;181.84982626661477,159.31999853545096,158.25124313616638
0.091;181.84173065676717,159.30341315459282,158.23920381386498
0.121;181.83363504691954,159.2868277737347,158.22716449156357
0.151;181.82553943707194,159.27024239287655,158.21512516926217
0.181;181.81744382722434,159.25365701201844,158.20308584696076
0.211;181.80934821737674,159.2370716311603,158.19104652465936
0.241;181.80125260752914,159.22048625030217,158.17900720235795
0.271;181.79315699768154,159.20390086944403,158.16696788005655
0.301;181.7850613878339,159.1873154885859,158.15492855775514
0.331;181.7769657779863,159.17073010772776,158.14288923545374
0.361;181.7688701681387,159.15414472686965,158.13084991315233
0.391;181.7607745582911,159.1375593460115,158.11881059085093
0.421;181.7526789484435,159.12097396515338,158.10677126854952
0.451;181.7445833385959,159.10438858429524,158.09473194624812
0.481;181.73648772874827,159.08780320343712,158.0826926239467
0.511;181.72839211890067,159.07121782257897,158.0706533016453
0.541;181.72029650905307,159.05463244172086,158.0586139793439
0.571;181.71220089920547,159.0380470608627,158.0465746570425
0.601;181.70410528935787,159.0214616800046,158.0345353347411
0.631;181.69600967951027,159.00487629914645,158.0224960124397
0.661;181.68791406966264,158.98829091828833,158.01045669013828
0.691;181.67981845981504,158.97170553743018,157.99841736783688
0.721;181.67172284996744,158.95512015657206,157.98637804553547
0.751;181.66362724011984,158.93853477571392,157.97433872323407
0.781;181.65553163027224,158.9219493948558,157.96229940093266
0.811;181.6474360204246,158.90536401399766,157.95026007863126
0.841;181.639340410577,158.88877863313954,157.93822075632986
0.871;181.6312448007294,158.8721932522814,157.92618143402845
0.901;181.6231491908818,158.85560787142327,157.91414211172705
0.931;181.6150535810342,158.83902249056513,157.90210278942564
0.961;181.6069579711866,158.822437109707,157.89006346712424
0.991;181.59886236133897,158.80585172884886,157.87802414482283
1.021;181.59076675149137,158.78926634799075,157.86598482252143
1.051;181.58267114164377,158.7726809671326,157.85394550022002
1.081;181.57457553179617,158.75609558627448,157.84190617791862
1.111;181.56647992194857,158.73951020541634,157.8298668556172
1.141;181.55838431210097,158.72292482455822,157.8178275333158
1.171;181.55028870225334,158.70633944370007,157.8057882110144
1.201;181.54219309240574,158.68975406284196,157.793748888713
1.231;181.53409748255814,158.6731686819838,157.7817095664116
1.261;181.52600187271054,158.6565833011257,157.7696702441102
1.291;181.51790626286294,158.63999792026755,157.75763092180878
1.321;181.50981065301534,158.62341253940943,157.74559159950738
1.351;181.5017150431677,158.60682715855128,157.733552277206
1.381;181.4936194333201,158.59024177769317,157.7215129549046
1.411;181.4855238234725,158.57365639683502,157.7094736326032
1.441;181.4774282136249,158.5570710159769,157.6974343103018
1.471;181.4693326037773,158.54048563511876,157.68539498800038
1.501;181.46123699392967,158.52390025426064,157.67335566569898
1.531;181.45314138408207,158.5073148734025,157.66131634339757
1.561;181.44504577423447,158.49072949254438,157.64927702109617
1.591;181.43695016438687,158.47414411168626,157.63723769879476
1.621;181.6918416803341,158.6940390262265,157.87708573051412
1.651;183.6561495139477,160.45105586085623,159.75420156336867
1.681;185.6204573475613,162.20807269548595,161.63131739622318
1.711;187.58476518117493,163.96508953011568,163.5084332290777
1.741;189.54907301478855,165.7221063647454,165.3855490619322
1.771;191.51338084840216,167.47912319937512,167.26266489478672
1.801;192.23867037640883,168.15445092476654,167.93964349481965
1.831;192.24663351695887,168.20353758691468,167.92180580216638
1.861;192.25459665750887,168.25262424906282,167.90396810951313
1.891;192.2625597980589,168.30171091121096,167.88613041685988
1.921;192.28840097521118,168.36159943409695,167.88221476187528
1.951;192.83270521382858,168.73474191837983,168.2820381992821
1.981;193.37700945244598,169.10788440266268,168.68186163668892
2.011;193.9213136910634,169.48102688694556,169.08168507409573
2.041;194.4656179296808,169.85416937122844,169.48150851150254
2.071;194.93161775414836,170.18485987613047,169.83419537801353
2.101;194.69287785126733,170.13348256660484,169.76265310646193
2.131;194.4541379483863,170.08210525707918,169.69111083491032
2.161;194.21539804550525,170.03072794755354,169.6195685633587
2.191;193.9766581426242,169.9793506380279,169.54802629180713
2.221;193.89211572644945,169.93409124094364,169.5333253900304
2.251;193.91037163474556,169.89291045215364,169.55651873477026
2.281;193.92862754304167,169.8517296633636,169.57971207951013
2.311;193.88153618666928,169.76712854635858,169.50327215560105
2.341;193.6547398524585,169.56312152676222,169.15284074290727
2.371;193.4279435182477,169.35911450716583,168.80240933021352
2.401;193.20114718403693,169.15510748756947,168.45197791751974
2.431;192.93439041762247,168.87666959747426,168.0785126701791
2.461;192.59861108649258,168.4696692946993,167.66526170844836
2.491;192.2628317553627,168.06266899192428,167.25201074671762
2.521;191.9270524242328,167.6556686891493,166.83875978498688
2.551;191.8670348126638,167.71079489001596,166.95232970438832
2.581;191.8494420810272,167.8370174760583,167.1469489901178
2.611;191.8318493493906,167.9632400621006,167.3415682758473
2.641;191.7811454509114,167.97147687564092,167.4043489207632
2.671;191.65318216313264,167.70441355334324,167.1595060704475
2.701;191.52521887535391,167.43735023104557,166.91466322013176
2.731;191.3972555875752,167.17028690874793,166.66982036981605
2.761;191.26929229979643,166.90322358645025,166.42497751950032
2.791;191.83265057465687,167.39676946055513,166.84409565990487
2.821;192.50236601300023,168.00733213410658,167.36536164503562
2.851;193.1720814513436,168.617894807658,167.88662763016634
2.881;193.84179688968695,169.22845748120943,168.4078936152971
2.911;194.54813861295432,169.8717781764186,168.98465325954993
2.941;195.49255118822765,170.7280260124028,169.9221216880963
2.971;196.436963763501,171.58427384838706,170.8595901166427
3.001;197.38137633877434,172.4405216843713,171.7970585451891
3.031;197.41934209412304,172.50150513179094,171.8863728807663
3.061;196.42136862670066,171.65361499227964,171.00636825295012
3.091;195.4233951592783,170.80572485276832,170.126363625134
3.121;194.49543378344066,170.0269479528343,169.3070092351409
3.151;194.19758123186566,169.8701902090959,169.03350698555528
3.181;193.89972868029068,169.71343246535753,168.7600047359697
3.211;193.60187612871567,169.55667472161912,168.4865024863841
3.241;193.30402357714067,169.39991697788074,168.21300023679848
3.271;193.0061710255657,169.24315923414235,167.9394979872129
3.301;193.0089181575411,169.29119992326858,168.01822335360097
3.331;193.24153563576093,169.4958511787031,168.3662992498513
3.361;193.47415311398075,169.7005024341376,168.71437514610164
3.391;193.70677059220057,169.9051536895721,169.06245104235197
3.421;193.9393880704204,170.1098049450066,169.41052693860232
3.451;194.17200554864021,170.3144562004411,169.75860283485264
3.481;194.40462302686004,170.5191074558756,170.10667873110296
3.511;194.52520259854273,170.57735723360216,170.11602856092654
3.541;194.6285455692197,170.61308370706593,170.0732666882229
3.571;194.73188853989672,170.6488101805297,170.0305048155193
3.601;194.8352315105737,170.68453665399346,169.98774294281566
3.631;195.20432563052196,170.9365222923689,170.21224762802095
3.661;196.10492204901283,171.62102626056765,170.9712854290441
3.691;197.0055184675037,172.3055302287664,171.73032323006723
3.721;197.90611488599455,172.99003419696518,172.48936103109037
3.751;196.93691973124007,172.1571716735031,171.67626183538098
3.781;195.83416803553945,171.21592582920806,170.750867139905
3.811;194.73141633983886,170.27467998491304,169.82547244442904
3.841;194.70532030064413,170.23921464987845,169.76480293570816
3.871;195.90968786888465,171.2389270397129,170.6923907832788
3.901;197.1140554371252,172.23863942954736,171.61997863084946
3.931;198.31842300536573,173.2383518193818,172.54756647842012
3.961;199.52279057360624,174.23806420921625,173.47515432599076
3.991;199.69868754322994,174.59405802620017,173.7668826260544
4.021;199.83912000945304,174.92785465101682,174.03668473482472
4.051;199.97955247567617,175.26165127583346,174.30648684359502
4.081;200.34403404395968,175.64646339448026,174.71682366550985
4.111;200.8798472785247,176.0702873613501,175.23462820924107
4.141;201.41566051308973,176.49411132821993,175.7524327529723
4.171;201.87835572012085,176.8779220132587,176.20966159024775
4.201;201.97546078948258,177.06166628914215,176.36401189524426
4.231;202.0725658588443,177.24541056502562,176.5183622002408
4.261;202.16967092820605,177.42915484090906,176.6727125052373
4.291;202.26677599756778,177.6128991167925,176.82706281023385
4.321;202.08853311486317,177.4888371154743,176.66314186392762
4.351;201.8101637041344,177.25284555880998,176.38348591714768
4.381;201.53179429340562,177.0168540021457,176.1038299703677
4.411;201.25342488267685,176.7808624454814,175.82417402358774
4.441;200.9750554719481,176.5448708888171,175.5445180768078
4.471;200.69668606121934,176.3088793321528,175.26486213002784
4.501;200.11984805055437,175.81150639155894,174.73873939655206
4.531;199.5430100398894,175.31413345096507,174.2126166630763
4.561;198.9661720292244,174.8167605103712,173.6864939296005
4.591;198.38933401855942,174.31938756977735,173.16037119612471
4.621;197.81249600789445,173.82201462918349,172.63424846264894
4.651;197.23565799722948,173.32464168858962,172.10812572917317
4.681;196.6588199865645,172.82726874799576,171.58200299569737
4.711;195.08890016304827,171.42108182903297,170.00455664550853
4.741;192.75956483558699,169.31991951484684,167.62315694136262
4.771;190.43022950812568,167.21875720066075,165.24175723721672
4.801;188.1008941806644,165.11759488647465,162.8603575330708
4.831;191.28555499028002,167.8774802323155,166.039239530026
4.861;194.66035359772587,170.80498791126072,169.4098553787433
4.891;198.03515220517173,173.73249559020596,172.7804712274606
4.921;199.75308418109714,175.23752587460336,174.3548375659847
4.951;200.2040004976246,175.65477932787596,174.55560133789052
4.981;200.65491681415205,176.07203278114852,174.75636510979632
5.011;201.09865900383141,176.4783672266431,175.03468906572357
5.041;201.51370468611847,176.84102564102565,175.62325375773653
5.071;201.92875036840553,177.2036840554082,176.2118184497495
5.101;202.34379605069262,177.56634246979073,176.80038314176247
5.131;203.08153653185926,178.3526113310492,177.7149061152458
5.161;204.03440687894565,179.4212871568916,178.84673460970942
5.191;204.98727722603203,180.489962982734,179.97856310417305
5.221;205.12103245482407,180.7800668048357,180.2590132943526
5.251;202.56340943779185,178.51200547178956,177.74207762759892
5.281;200.00578642075965,176.24394413874342,175.22514196084524
5.311;197.44816340372742,173.97588280569727,172.70820629409155
5.341;196.1655285202609,172.85574510975326,171.49459716656054
5.371;195.27093350353178,172.08497547727515,170.6776526379234
5.401;194.37633848680264,171.31420584479702,169.86070810928624
5.431;193.48174347007352,170.54343621231888,169.0437635806491
5.461;192.5871484533444,169.77266657984077,168.22681905201196
5.491;191.39082983779596,168.6686832477345,167.06568762206996
5.521;189.2031336832697,166.4698549025643,164.77365637355481
5.551;187.01543752874343,164.2710265573941,162.48162512503967
5.581;184.8277413742172,162.0721982122239,160.18959387652453
5.611;182.64004521969093,159.8733698670537,157.89756262800938
5.641;180.55226616339954,157.77025764475846,155.70737566936472
5.671;181.36208295591885,158.4429129858369,156.4706731169642
5.701;182.17189974843816,159.11556832691534,157.2339705645637
5.731;182.98171654095748,159.78822366799378,157.99726801216318
5.761;183.79153333347676,160.4608790090722,158.76056545976266
5.791;184.66622716687334,161.24549429351396,159.61955258767463
5.821;185.71933286268234,162.3379994222049,160.74168633644598
5.851;186.7724385584913,163.43050455089582,161.86382008521736
