time;Pixel forehead
0;242.7095337873232,227.87951807228916,229.94578313253012
1.617;241.72019781363872,226.6121811556481,228.51691827173346
1.782;244.0564792821325,230.0844550013196,232.48429664819213
1.92;244.1814834297738,230.43003682272487,232.83982114676485
2.068;244.53625853914872,230.63977929584865,233.3928008407777
2.203;244.7758711721225,231.53273495248152,233.88278775079198
2.303;244.32795556731023,230.8862734726263,233.2107907960857
2.42;244.4631049986776,230.89632372388257,233.30468130124305
2.525;244.35562067128396,230.3742674480554,232.81193393713372
2.632;243.96558164354323,229.98639274279617,232.25720384204908
2.765;243.45359442060087,229.131169527897,231.5077789699571
2.907;243.2544918208635,228.7725931885224,231.12952534191473
3.017;244.03340517241378,230.2219827586207,232.42699353448276
3.118;246.13865882981565,233.63852524712797,236.410900347315
3.284;245.8250066791344,233.49799625968475,235.81031258348918
3.485;244.6799354491662,231.43006993006992,233.93114577729963
3.621;245.6098730606488,232.76530324400565,235.6724964739069
3.723;245.08850800786738,231.85276763135712,234.43804439449283
3.827;245.31109849560033,232.19528810672722,234.90065285268238
3.962;244.40108323831242,230.49714937286203,232.98489167616876
4.064;245.23079128440367,231.5587729357798,234.22075688073394
4.166;245.14478211009174,232.18463302752295,234.87155963302752
4.299;246.0417859187178,233.5337721808815,236.1482541499714
4.471;244.7430615164521,231.62317596566524,233.88583690987124
4.694;244.73670290919776,231.25124889803115,233.46018219218337
4.802;244.4794765020821,231.13503866745984,233.32718619869127
4.904;244.7908163265306,231.61044417767107,233.92617046818728
5.005;244.50889570552147,230.8929447852761,233.1291411042945
5.113;244.61503067484662,231.03588957055214,233.17055214723928
5.214;246.84103512014786,234.8974121996303,237.18237831176833
5.318;245.29273638071385,232.5820288040075,234.77207263619286
5.484;244.71481028151774,231.11964504283966,233.63035495716034
5.64;242.48726603252533,228.26971463639154,229.83860079779075
5.783;242.25396331986323,227.7768106931924,229.3484612993472
5.917;243.62668711656443,230.13312883435583,231.94478527607362
6.018;243.6457055214724,230.18251533742333,232.22269938650308
6.089;243.99761904761905,230.69851190476192,232.9455357142857
6.224;243.7501481920569,229.28719620628334,231.56461173681092
6.326;242.79396984924622,227.8043156961277,229.83091930239434
6.427;243.23322775698244,228.5917074575295,230.81600921393607
6.53;245.13276836158192,231.62457627118644,234.21864406779662
6.665;244.002965599051,229.8956109134045,232.17141162514827
6.733;243.87959667852905,229.62781731909845,232.16814946619218
6.799;243.40529289325008,228.8846268212905,231.20963425512934
6.901;245.12790023201856,232.01479118329468,234.4756380510441
7.012;244.45498437943766,230.969894916217,233.21243964782732
7.12;244.27859154929578,230.09802816901407,232.7692957746479
7.221;244.50194769059544,230.54730105731775,232.92125765164164
