time;interpolated Pixel rightCheek
0;230.7982005141388
0.002;230.79762245576998
0.032;230.78895158023744
0.062;230.78028070470486
0.092;230.77160982917232
0.122;230.76293895363978
0.152;230.75426807810723
0.182;230.7455972025747
0.212;230.73692632704214
0.242;230.7282554515096
0.272;230.71958457597702
0.302;230.71091370044448
0.332;230.70224282491193
0.362;230.6935719493794
0.392;230.68490107384685
0.422;230.6762301983143
0.452;230.66755932278173
0.482;230.65888844724918
0.512;230.65021757171664
0.542;230.6415466961841
0.572;230.63287582065155
0.602;230.624204945119
0.632;230.61553406958646
0.662;230.6068631940539
0.692;230.59819231852134
0.722;230.5895214429888
0.752;230.58085056745625
0.782;230.5721796919237
0.812;230.56350881639116
0.842;230.5548379408586
0.872;230.54616706532605
0.902;230.5374961897935
0.932;230.52882531426096
0.962;230.54972444114188
0.992;230.5706235680228
1.022;230.65118031398725
1.052;230.76156586949347
1.082;230.450197308235
1.112;229.5061975718295
1.142;228.8934738619777
1.172;229.60585425834074
1.202;230.3182346547038
1.232;230.73613945045747
1.262;231.13301027473906
1.292;231.0353121204932
1.322;230.37292117506138
1.352;229.68248267537433
1.382;229.3589764532595
1.412;229.05955794696655
1.442;228.88057801978286
1.472;229.05146561824856
1.502;229.30982009812664
1.532;229.48467803270375
1.562;229.57603942197997
1.592;229.59727179524054
1.622;229.26785908842302
1.652;229.7261257986118
1.682;230.2115538680077
1.712;230.73836237261818
1.742;231.1131685087214
1.772;231.1109399901544
1.802;230.73867999889112
1.832;230.35178787543035
1.862;229.7600459012049
1.892;229.1683039269795
1.922;229.1768532330242
1.952;229.3054607951229
1.982;229.41827066774803
2.012;229.51899995430512
2.042;229.58162924507164
2.072;229.56805854425696
2.102;229.47470949306776
2.132;229.32035346806276
2.162;229.20925360992473
2.192;229.19908480780964
2.222;229.20268710269886
2.252;229.33022927062694
2.282;229.41657225932522
2.312;229.485258456925
2.342;229.5539446545248
2.372;229.62457938514277
2.402;229.56237105170706
2.432;229.47569273517902
2.462;229.54811124896224
2.492;229.59919224763874
2.522;229.51157939812185
2.552;229.64650613595995
2.582;229.78910665267236
2.612;229.787793613918
2.642;229.7426807974129
2.672;229.7082864244178
2.702;229.68461049493263
2.732;229.6540111162031
2.762;229.58879449125158
2.792;229.4447337082383
2.822;229.29191246321815
2.852;229.13909121819802
2.882;229.14913200961013
2.912;229.3220348374545
2.942;229.4949376652989
2.972;229.6694857927376
