Count;Frequencies rightCheek
45.636;74.21875
46.099;74.21875
46.549;74.21875
47.041;74.21875
47.502;74.21875
47.998;74.21875
48.48;76.171875
48.949;76.171875
49.428;76.171875
49.918;76.171875
50.383;76.171875
50.867;76.171875
51.348;76.171875
51.878;76.171875
52.312;76.171875
52.816;76.171875
53.291;76.171875
53.754;76.171875
54.217;76.171875
54.734;76.171875
55.234;76.171875
55.677;76.171875
56.178;76.171875
56.622;76.171875
57.113;76.171875
57.6;76.171875
58.076;76.171875
58.566;76.171875
59.04;76.171875
59.525;76.171875
59.973;76.171875
60.513;156.25000000000003
60.987;156.25000000000003
61.414;156.25000000000003
61.899;156.25000000000003
62.399;156.25000000000003
62.874;156.25000000000003
63.431;156.25000000000003
63.823;156.25000000000003
64.302;156.25000000000003
64.796;156.25000000000003
65.256;156.25000000000003
65.779;156.25000000000003
66.246;156.25000000000003
66.735;156.25000000000003
67.191;50.78125000000001
67.676;50.78125000000001
68.139;50.78125000000001
68.625;50.78125000000001
69.16;50.78125000000001
69.587;50.78125000000001
70.076;50.78125000000001
70.561;50.78125000000001
71.078;50.78125000000001
71.523;50.78125000000001
72.022;50.78125000000001
72.491;50.78125000000001
72.963;50.78125000000001
73.469;50.78125000000001
73.936;50.78125000000001
74.39;50.78125000000001
74.869;50.78125000000001
75.359;50.78125000000001
75.824;50.78125000000001
76.302;76.171875
76.786;76.171875
77.303;76.171875
77.763;76.171875
78.32;76.171875
78.709;76.171875
79.178;76.171875
79.672;76.171875
80.143;76.171875
80.623;76.171875
81.157;76.171875
81.609;76.171875
82.112;76.171875
82.582;76.171875
83.096;76.171875
83.556;76.171875
83.981;76.171875
84.46;76.171875
84.952;76.171875
85.468;76.171875
85.912;76.171875
86.439;76.171875
86.876;76.171875
87.364;76.171875
87.84;76.171875
88.31;76.171875
88.791;74.21875
89.301;74.21875
89.782;74.21875
90.257;74.21875
90.717;74.21875
91.217;74.21875
91.68;74.21875
92.132;74.21875
92.678;74.21875
93.145;74.21875
93.596;74.21875
94.066;74.21875
94.659;74.21875
95.037;74.21875
95.492;74.21875
96.014;74.21875
96.455;74.21875
96.957;74.21875
97.502;74.21875
97.952;74.21875
98.433;74.21875
98.911;74.21875
99.337;74.21875
99.842;72.26562500000001
100.316;72.26562500000001
100.795;72.26562500000001
101.284;72.26562500000001
101.738;72.26562500000001
102.219;72.26562500000001
102.718;72.26562500000001
103.21;72.26562500000001
103.702;44.92187500000001
104.184;44.92187500000001
104.662;44.92187500000001
105.148;44.92187500000001
105.579;44.92187500000001
106.077;44.92187500000001
106.588;44.92187500000001
107.043;44.92187500000001
107.521;44.92187500000001
107.991;44.92187500000001
108.542;44.92187500000001
108.976;44.92187500000001
109.435;44.92187500000001
109.894;72.26562500000001
110.46;72.26562500000001
110.907;72.26562500000001
111.362;72.26562500000001
111.878;46.875
112.346;46.875
112.825;46.875
113.3;46.875
113.82;46.875
114.293;46.875
114.763;60.54687500000001
115.227;60.54687500000001
116.127;60.54687500000001
116.53;60.54687500000001
116.726;60.54687500000001
117.131;60.54687500000001
117.604;60.54687500000001
118.095;60.54687500000001
118.572;66.40625000000001
119.045;66.40625000000001
119.551;66.40625000000001
120.015;66.40625000000001
120.489;66.40625000000001
120.975;66.40625000000001
121.49;66.40625000000001
121.934;66.40625000000001
122.421;66.40625000000001
122.89;66.40625000000001
123.376;66.40625000000001
123.849;66.40625000000001
124.353;66.40625000000001
124.803;66.40625000000001
125.295;66.40625000000001
125.781;66.40625000000001
126.266;66.40625000000001
126.738;66.40625000000001
127.234;66.40625000000001
127.693;66.40625000000001
128.215;66.40625000000001
128.645;66.40625000000001
129.135;66.40625000000001
129.63;66.40625000000001
130.124;66.40625000000001
130.606;66.40625000000001
131.049;66.40625000000001
131.523;66.40625000000001
132.04;66.40625000000001
132.487;66.40625000000001
132.972;66.40625000000001
133.462;66.40625000000001
134.002;66.40625000000001
134.452;66.40625000000001
134.886;66.40625000000001
135.378;66.40625000000001
135.876;66.40625000000001
136.356;66.40625000000001
136.833;58.59375000000001
137.345;58.59375000000001
137.791;58.59375000000001
138.26;58.59375000000001
138.759;58.59375000000001
139.215;58.59375000000001
139.706;58.59375000000001
140.188;58.59375000000001
140.706;58.59375000000001
141.149;58.59375000000001
141.628;58.59375000000001
142.083;58.59375000000001
142.562;130.859375
143.066;130.859375
143.542;130.859375
144.029;130.859375
144.541;130.859375
144.976;130.859375
145.507;130.859375
145.96;130.859375
146.415;130.859375
146.909;130.859375
147.401;130.859375
147.903;130.859375
148.342;130.859375
148.827;130.859375
149.302;130.859375
149.792;130.859375
150.245;130.859375
150.769;130.859375
151.211;130.859375
151.718;130.859375
152.195;130.859375
152.675;83.98437500000001
153.206;83.98437500000001
153.622;83.98437500000001
154.109;83.98437500000001
154.596;83.98437500000001
155.096;83.98437500000001
155.527;83.98437500000001
156.017;83.98437500000001
156.486;83.98437500000001
156.971;83.98437500000001
157.454;83.98437500000001
157.952;83.98437500000001
158.412;83.98437500000001
158.952;83.98437500000001
159.447;83.98437500000001
159.855;83.98437500000001
160.385;83.98437500000001
160.873;83.98437500000001
161.317;83.98437500000001
161.816;83.98437500000001
162.263;83.98437500000001
162.736;83.98437500000001
163.228;83.98437500000001
163.69;83.98437500000001
164.217;83.98437500000001
164.702;83.98437500000001
165.21;83.98437500000001
165.61;83.98437500000001
166.086;83.98437500000001
166.566;82.03125
167.073;82.03125
167.649;82.03125
168.055;82.03125
168.492;82.03125
168.994;82.03125
169.484;82.03125
169.925;82.03125
170.482;82.03125
170.912;50.78125000000001
171.372;50.78125000000001
171.863;50.78125000000001
172.328;50.78125000000001
172.814;50.78125000000001
173.331;50.78125000000001
173.781;70.3125
174.251;70.3125
174.732;70.3125
175.212;70.3125
175.687;70.3125
176.222;70.3125
176.677;70.3125
177.134;70.3125
177.629;70.3125
178.108;70.3125
178.588;70.3125
179.105;72.26562500000001
179.55;72.26562500000001
180.017;72.26562500000001
