time;interpolated Pixel leftCheek
0;211.18449389806173
0.002;211.18437813235082
0.032;211.18264164668722
0.062;211.1809051610236
0.092;211.17916867535996
0.122;211.17743218969633
0.152;211.17569570403273
0.182;211.1739592183691
0.212;211.17222273270548
0.242;211.17048624704185
0.272;211.16874976137825
0.302;211.16701327571462
0.332;211.165276790051
0.362;211.16354030438737
0.392;211.16180381872377
0.422;211.16006733306014
0.452;211.1583308473965
0.482;211.15659436173289
0.512;211.1548578760693
0.542;211.15312139040566
0.572;211.15138490474203
0.602;211.1496484190784
0.632;211.1479119334148
0.662;211.14617544775118
0.692;211.14443896208755
0.722;211.14270247642392
0.752;211.14096599076032
0.782;211.1392295050967
0.812;211.13749301943307
0.842;211.13575653376944
0.872;211.13402004810584
0.902;211.1322835624422
0.932;211.13054707677858
0.962;210.97236105054841
0.992;210.81417502431827
1.022;211.3423494778787
1.052;212.21370417133448
1.082;212.27266039748838
1.112;211.11301892268955
1.142;210.3735475378882
1.172;211.31475651307667
1.202;212.25596548826513
1.232;212.2357993648096
1.262;212.14696359145088
1.292;212.9397098956354
1.322;212.729466809064
1.352;211.40407381306014
1.382;210.20037346870836
1.412;209.18804687587527
1.442;209.13258904063548
1.472;209.53149520933286
1.502;210.04399237901458
1.532;210.3160413080895
1.562;210.34764199655766
1.592;210.21006768704237
1.622;209.22661838760988
1.652;209.74824536456742
1.682;210.32177152346947
1.712;211.14829768079645
1.742;211.51737430245342
1.772;211.25633735169626
1.802;211.20156090316706
1.832;211.0767417198364
1.862;209.97132424928546
1.892;208.8659067787345
1.922;208.84630135116691
1.952;209.04385833219598
1.982;209.31437477501373
2.012;209.64068374743462
2.042;209.85964974854656
2.072;209.8639298070407
2.102;209.84020488482975
2.132;209.79506438913847
2.162;209.761422184373
2.192;209.75460932510111
2.222;209.75439402438485
2.252;209.81355675066885
2.282;209.9704835119932
2.312;210.16930914547765
2.342;210.36813477896214
2.372;210.2455472582711
2.402;210.04287060724383
2.432;209.85861817841948
2.462;209.73007877469163
2.492;209.69851824328526
2.522;210.29732038196835
2.552;210.38688227887945
2.582;210.45888416745356
2.612;210.38155344865632
2.642;210.2587736754417
2.672;210.0570032757599
2.702;209.77624224961102
2.732;209.5286809797252
2.762;209.44711849115492
2.792;209.59787497762545
2.822;209.77444468354497
2.852;209.9510143894645
2.882;209.9177270970768
2.912;209.67458280638192
2.942;209.43143851568703
2.972;209.25121687305705
3.002;209.47999244284904
3.032;209.70876801264103
3.062;210.63289528080404
3.092;211.63428384878605
3.122;211.77914653236235
3.152;211.7458705697699
3.182;211.96271890321154
3.212;212.1173171301706
3.242;212.12666510867024
3.272;212.1769360352042
3.302;212.59551349404697
3.332;212.34837891350887
3.362;212.0782887454059
3.392;211.4157692948825
3.422;210.65514252375397
3.452;210.6539180404152
3.482;210.70693657763283
3.512;210.72297638641325
3.542;210.7143637095689
3.572;210.7179171050678
3.602;210.74997892636875
3.632;210.81962727770832
3.662;210.8892756290479
3.692;210.43980887689733
3.722;210.27610666313768
3.752;210.4014059881838
3.782;210.64094704268115
3.812;210.86858338365974
3.842;210.81929945647485
3.872;210.77001552928996
3.902;210.07314700125394
3.932;210.15519748864642
3.962;210.69146594383832
3.992;211.2277343990302
4.022;211.6011356875795
4.052;211.64880264284366
4.082;211.69646959810783
4.112;211.744136553372
4.142;210.7681648577413
4.172;210.05227108868058
4.202;209.814577522014
4.232;210.16564131370612
4.262;210.47162668671547
4.292;210.1465141981665
4.322;209.82140170961753
4.352;209.87762232242778
4.382;210.0101095555099
4.412;209.9092008088623
4.442;209.66330959554392
4.472;209.57534659001305
4.502;209.80584633791722
4.532;210.13169026245333
4.562;210.45753418698945
4.592;210.75734230016175
4.622;210.96678838562997
4.652;211.15410888937512
4.682;211.34142939312025
4.712;211.29934745975893
4.742;211.2317763667191
4.772;211.28481790336573
4.802;211.39816575485563
4.832;211.4340890478881
4.862;211.39447859010494
4.892;211.3778874492171
4.922;211.2192554057509
4.952;211.0606233622847
4.982;211.15762780922972
5.012;211.2728920054898
5.042;211.39745916515426
5.072;211.23299716436935
5.102;210.80707442158428
5.132;210.7158657742825
5.162;210.64373768297395
5.192;211.12494571546947
5.222;211.60615374796498
5.252;211.3277871751533
5.282;210.85952695101483
5.312;210.39126672687638
5.342;210.62710976143813
5.372;211.05056439396836
5.402;211.4981501629311
5.432;211.4165443971001
5.462;210.9302627517209
5.492;210.7127920935816
5.522;211.18886754629915
5.552;212.21779489949677
5.582;212.2548972223012
5.612;212.4360873397208
5.642;212.15446854051177
5.672;211.7545745158132
5.702;211.5125563250945
5.732;211.47699114804175
5.762;211.441425970989
5.792;211.61902800741092
5.822;211.98315135562314
5.852;212.24573824670492
5.882;212.2263072544797
5.912;211.5754834955516
5.942;210.9246597366235
5.972;210.70212269652438
6.002;211.5064838256874
6.032;212.0706832203519
6.062;212.08472338588874
6.092;212.27038109020742
6.122;210.93006783954897
6.152;210.6200696400763
6.182;210.51613445084075
6.212;211.23571278945417
6.242;211.9917632276979
6.272;211.97426167299128
6.302;211.92590712372925
6.332;211.57386073076256
6.362;211.17509251568745
6.392;210.9100892121386
6.422;210.72252875210492
6.452;210.92250181841362
6.482;211.165534165427
6.512;211.2674174733252
6.542;211.26136328072354
6.572;211.25530908812186
6.602;211.2495884289746
6.632;211.39397978469785
6.662;211.60268897853445
6.692;211.67168042784095
6.722;211.46680594219382
6.752;211.07961522617958
6.782;210.73068861862606
6.812;210.9174595295221
6.842;211.35505952599183
6.872;211.5149928605426
6.902;211.2648738695859
6.932;211.0473040048956
6.962;211.1703133210512
6.992;210.74311777438973
7.022;210.70114229809985
7.052;210.70196905185122
7.082;210.70279580560265
7.112;210.94904298073953
7.142;211.44071057726197
7.172;211.61518724655275
7.202;211.74086531165406
7.232;211.2120173269006
7.262;210.8747363515966
7.292;211.17250622032302
7.322;211.37998329156224
7.352;211.27271512113617
7.382;211.00807189346222
7.412;210.86330835607143
7.442;211.10975219162643
7.472;211.6248326269267
7.502;211.47573216281248
7.532;211.32663169869826
7.562;211.18547718875246
7.592;211.04721211668607
7.622;210.85277999691658
7.652;210.6541612223692
7.682;210.54532676287448
7.712;210.48932376697027
7.742;210.68159957744913
7.772;210.6515762259535
7.802;210.90609255916996
7.832;210.91569939012396
7.862;210.4938181825538
7.892;210.13518826553758
7.922;210.3967044059246
7.952;211.09728560134263
7.982;211.11151105616275
8.012;210.95206183140257
8.042;210.79261260664242
8.072;210.7394250382458
8.102;210.74191101478837
8.132;210.8797382093462
8.162;211.21170004958702
8.192;211.53601885730367
8.222;211.75333520968195
8.252;211.97065156206023
8.282;211.59012790649788
8.312;211.06014424895037
8.342;210.65004292515414
8.372;210.57818312746986
8.402;210.9322114393983
8.432;211.17016214434466
8.462;210.3634143864523
8.492;209.8110947214602
8.522;209.67520841005725
8.552;209.8849964590194
8.582;211.07191916344112
8.612;210.82570714888826
8.642;210.53007669575007
8.672;210.0205333316719
8.702;210.1041833550911
8.732;210.9705423491717
8.762;211.5843695871358
8.792;211.36844962643158
