time;Pixel leftCheek
0;144.53900175570604
0.266;146.3461732124874
0.372;143.63332489237783
0.412;142.9274109014675
0.464;142.0340997158357
0.497;141.70731077241024
0.589;139.94859209506586
0.692;140.37277189356755
0.765;141.13126804935678
0.846;140.45550013126805
0.898;143.0777978805893
0.957;143.94112924805995
1.002;142.93069306930693
1.067;143.6608020698577
1.113;144.45038759689922
1.16;144.55581395348838
1.205;145.4579945799458
1.264;145.8960335057896
1.306;146.97511702389752
1.362;148.89233801428924
1.401;150.4303558802734
1.444;151.1225547961348
1.502;150.24900398406373
1.552;151.4506418769367
1.597;147.27357266435988
1.655;147.3899221453287
1.711;148.68197395476355
1.771;149.2647932373772
1.811;150.80027204715483
1.877;151.1228746316028
1.924;148.70635283363802
1.975;149.43418647166362
2.022;149.80735831809872
2.063;150.02148080438758
2.104;148.5347619047619
2.18;148.8797619047619
2.274;146.0932677253411
2.331;145.7526280474167
2.406;144.0562123577961
2.444;143.03233611966564
2.488;141.86053673559172
2.537;143.10707925200356
2.617;142.83837934105077
2.672;144.63188976377953
2.764;144.5269028871391
2.889;144.59011373578304
2.973;143.41523557904006
3.046;143.08894760017614
3.145;144.1425729442971
3.208;145.24490709648535
3.262;145.2106559211999
3.322;145.06694377597898
3.378;144.6609057099103
3.435;145.19369169258107
3.482;144.86533391915643
3.541;145.13027240773286
3.579;145.04964850615113
3.629;145.2816344463972
3.682;145.84371536244734
3.757;145.66296378582538
3.84;145.7225061097534
3.914;144.80963802878324
3.978;145.6481401384083
4.028;145.8267733564014
4.126;146.35019206145967
4.209;146.64746052069995
4.288;146.57121407121406
4.345;146.34362934362935
4.395;146.55126555126554
4.452;146.5997425997426
4.519;146.2803517803518
4.583;146.45355902777777
4.664;146.634765625
4.701;146.35585878275936
4.749;146.76045050898853
4.811;147.63882815916048
4.872;146.431660899654
4.922;146.66284602076124
4.967;146.86470977709115
5.017;147.0236150960053
5.063;154.16596777753256
5.113;154.27576541612765
5.159;154.34044846916774
5.268;154.17485985338507
5.346;153.52328589909445
5.466;151.79248152976967
5.557;151.62668405041288
5.623;151.58148631029988
5.669;153.3165357766143
5.758;153.8383507853403
5.839;153.61976439790575
5.886;154.40618913655052
5.926;154.56870807184592
5.964;154.63838995888335
6.019;154.69420415224914
6.087;154.97837370242215
6.127;154.68468858131487
6.183;154.82006920415225
6.237;154.27045358202628
6.296;154.15938957185247
6.349;154.13247138618058
6.392;153.994277236117
6.426;153.98444252376837
6.465;154.0965859982714
6.525;154.43042350907518
6.585;154.9083969465649
6.638;154.81382527565734
6.684;155.12606473594548
6.719;154.85775127768312
6.763;155.26810051107324
6.806;155.23040885860306
6.849;155.30172230491175
6.891;155.2381458643419
6.945;155.42568573251117
7.021;154.83050847457628
7.086;154.8281779661017
7.127;155.0739406779661
7.175;155.0250850340136
7.22;155.1987670068027
7.267;155.06823979591837
7.31;155.45257044525704
7.357;155.68702946870295
7.396;155.36649440137813
7.477;155.44681309216193
7.613;154.86665257819104
7.676;155.21914623837702
7.723;155.69383400896095
7.77;155.67121826328142
7.813;155.60274855056903
7.854;155.6411853124329
7.9;155.93632075471697
7.938;155.68310463121784
7.986;155.78301886792454
8.03;155.61213550600343
8.071;154.8881550916063
8.108;155.42373242437154
8.146;155.30907150480257
8.198;155.4017075773746
8.267;155.29997838772422
8.324;155.2580505727253
8.455;155.82126745435016
8.511;155.77529538131043
8.551;155.6219119226638
8.598;155.27865655471288
8.663;154.95427952329362
8.709;155.13383620689655
8.759;154.7551724137931
8.812;155.19245689655173
8.855;154.94913793103447
8.889;155.01752511220346
8.935;154.690318444112
8.975;154.37815845824412
9.017;154.40406852248395
9.057;154.71947266047115
9.148;154.3724940719983
9.215;154.52037076956242
9.27;154.78594524682043
9.32;155.0519877675841
9.389;154.76387068588903
9.427;154.8961316520624
9.497;154.95148536011968
9.562;154.75336610386836
9.607;154.27380952380952
9.656;154.6124574829932
9.695;154.4916344916345
9.755;154.33676533676532
9.808;154.3972455347536
9.864;154.45104368409727
9.9;154.80715363068305
9.973;154.9063710718898
10.034;154.71093413689195
10.079;154.75871717606543
10.116;154.12715146299485
10.165;154.54388984509467
10.216;154.092082616179
10.279;153.90809628008753
10.359;153.48424507658643
10.402;153.8847069002812
10.472;153.49311235471373
10.533;153.86676711149377
10.603;154.34113785557986
10.649;154.39409190371993
10.729;154.18965891809688
10.77;154.3745383445579
10.806;154.25344904316867
10.857;154.35981308411215
10.913;153.5551846906987
10.953;151.9449401523395
11.006;151.75669205658323
11.047;151.8852530541012
11.095;152.1943717277487
11.135;151.93543607112616
11.18;152.18839966130398
11.218;152.46833261525205
11.26;152.797931925894
11.311;152.7582440663726
11.396;152.4795211090107
11.433;152.8331939799331
11.484;152.3354933110368
11.533;151.8434364548495
11.57;151.51986823141857
11.625;150.77005890717044
11.66;150.33516148689824
11.729;150.32723948811702
11.815;151.2296907216495
11.88;151.059793814433
11.947;151.94257986251517
12.001;152.1661949049737
12.043;151.637
12.12;151.68396226415095
12.184;151.37838392124692
12.262;151.064807219032
12.332;150.8082444626743
12.414;150.75145590682197
12.463;150.52142262895174
12.511;150.2704987320372
12.557;149.58241758241758
12.606;149.6113074204947
12.645;149.640407399709
12.683;149.03868724190394
12.732;148.89067594001304
12.77;148.02719164672612
12.86;147.90472046987165
12.909;146.93071038251367
12.959;147.31650273224045
13.013;146.94426229508196
13.058;146.1099827139153
13.098;146.5870786516854
13.174;147.5720940550133
13.243;147.71140195208517
13.316;147.3835403726708
13.387;147.48048833660346
13.447;147.09832134292566
13.519;145.60333261198875
13.576;145.41937639198218
13.619;145.57238307349667
13.689;144.99420935412027
13.758;146.98148556314746
13.824;146.56050253471457
13.876;147.41128499008155
13.915;148.22336156932678
13.964;146.897447380206
14.021;147.62360053739363
14.085;147.65113687026303
14.129;148.47503343736068
14.167;148.64978902953587
14.242;149.9654867256637
14.334;150.48053097345132
14.379;150.79889380530975
14.411;150.5349966880106
14.453;150.7591079708545
14.508;150.8714948112166
14.553;150.7096989966555
14.595;150.4860646599777
14.646;150.98877161464182
14.698;151.09544127554457
14.734;151.05751811594203
14.781;151.3052536231884
14.821;151.08426714477812
14.859;151.08426714477812
14.896;151.0188764044944
14.958;151.39280898876405
15.026;150.50299933348145
15.075;150.2817151744057
15.122;150.5292157298378
15.164;150.3812486114197
15.206;150.86317681419905
15.255;150.53493596944506
15.291;150.68802474591251
15.343;150.1866990720283
15.41;151.10510248582642
15.467;150.65425989672977
15.525;150.68524096385542
15.576;150.61919104991395
15.62;151.39353859496964
15.683;151.4167389418907
15.725;151.35089266034825
15.77;151.38086841525237
15.814;150.6806259642936
15.907;148.15367727771678
15.957;147.32761276127613
16.009;146.72585258525854
16.071;148.67307692307693
16.119;148.57194570135746
16.158;149.1876699909338
16.199;149.20512239347235
16.241;149.98971663619744
16.284;148.9077243293247
16.332;148.67622571692877
16.412;149.00346901017576
16.458;147.95816280127332
16.546;146.89504636959964
16.592;147.46030309884642
16.662;149.31081708449398
16.731;149.2200557103064
16.774;148.59943912129003
16.855;146.8931993456415
16.893;143.31988472622479
16.966;143.02161383285303
17.036;144.89183673469387
17.076;145.7172335600907
17.115;146.96984126984128
17.161;146.96984126984128
17.213;148.9764982373678
17.262;148.33184488836662
17.313;143.80231481481482
17.36;146.41372869484007
17.403;146.6002801774457
17.436;146.0914427636035
17.514;147.1292343387471
17.555;146.792343387471
17.615;146.4665750915751
17.67;145.72893772893772
17.723;145.81954022988506
17.769;145.47103448275863
17.829;146.71515287769785
17.872;149.41963470319635
17.911;149.4458904109589
17.969;149.84520547945206
17.999;149.84839715048975
18.039;149.80431878895814
18.078;149.16918906708833
18.12;149.33318274226338
18.155;147.90100744634253
18.208;148.12242663162505
18.279;148.04774419623303
18.322;149.2682384341637
18.371;150.3767793594306
18.424;150.39790925266905
18.463;151.4159272404614
18.503;151.37827715355806
18.549;151.7008151575237
18.614;151.3651795429815
18.652;150.99586507072905
18.691;150.80530004380202
18.753;150.9922839506173
18.798;151.0273368606702
18.843;150.67592592592592
18.893;150.80842151675486
18.98;151.19417475728156
19.021;151.39827890556046
19.091;151.31398586421076
19.135;151.0040693938745
19.175;152.14151150054764
19.24;151.89550930996714
19.288;152.12777655597097
19.334;151.29140092368596
19.377;151.52616534740545
19.421;151.77748460861918
19.462;151.91156615661566
19.499;151.8724122412241
19.544;151.33753375337534
19.58;151.04476275738585
19.647;151.89079563182528
19.694;152.26944506351683
19.751;152.02317806997993
19.793;152.14210870988867
19.836;152.03972931674306
19.873;151.41344463971882
19.954;151.84441964285713
20.008;151.89285714285714
20.044;151.85245535714284
20.089;152.15008802816902
20.122;152.5257482394366
20.19;152.40713028169014
20.249;152.57642808760443
20.325;152.45879431022803
20.372;151.19340363473188
20.412;151.6875283446712
20.449;151.65124716553288
20.536;151.97755102040816
20.576;152.35059037238875
20.618;152.1855131698456
20.661;151.65540389348848
20.713;151.8017453569031
20.763;151.16659252669038
20.814;151.40324733096085
20.86;151.15702846975088
20.899;150.82024202420243
20.967;151.2609699769053
21.013;151.53579676674366
21.05;151.47924270072994
21.112;151.1970802919708
21.171;150.67508031206975
21.237;150.38572739788893
21.286;150.0978627671541
21.34;149.89898762654667
21.379;151.3917840375587
21.423;151.31103286384976
21.484;151.0571817562968
21.536;151.22418879056048
21.606;151.38871187983614
21.654;151.46495220755577
21.699;151.64087391898042
21.747;150.34795127353266
21.784;150.90099667774086
21.823;151.31252806466097
21.872;151.54498657117279
21.929;150.9433751119069
21.986;151.97013223894209
22.016;151.9001367989056
22.051;152.05403556771546
22.121;151.7523396484821
22.168;151.75051358137412
22.242;151.6870577493723
22.311;151.5131248573385
22.352;151.43620178041542
22.391;151.18237565296388
22.449;152.15361721611723
22.503;151.60714285714286
22.547;152.02083333333334
22.591;152.5489332096475
22.634;152.57792207792207
22.669;151.95143884892087
22.742;152.38399280575538
22.789;152.3037320143885
22.833;153.11843600818366
22.888;152.8811093430325
22.953;152.20554797635288
23.001;152.46755295178008
23.041;151.88778729157278
23.084;151.81478143307797
23.122;151.11590356115903
23.18;151.1063445473019
23.22;151.35786859336193
23.262;151.12864455820164
23.299;151.28711328733584
23.351;151.66013799243268
23.443;151.848277385159
23.519;152.17932862190813
23.564;152.31327753901832
23.61;152.1035562513979
23.661;152.23663609930665
23.72;151.3795918367347
23.777;151.6172335600907
23.819;151.5943396226415
23.876;152.5483292217986
23.919;153.06234581744786
23.99;153.4252074456156
24.047;153.03139717425432
24.08;153.4326858673811
24.123;153.59611520428666
24.182;153.4005770084332
24.232;153.29383044829117
24.275;153.5870924519875
24.339;153.13599821348816
24.406;151.94435754189945
24.452;152.47642458100557
24.511;152.3219800181653
24.551;152.3718800091596
24.589;152.06823906572018
24.632;151.63659262651706
24.668;151.57178841309823
24.712;151.1889168765743
24.77;150.33624551971326
24.837;150.02777777777777
24.907;152.09840126097725
24.947;152.00765593334833
25.012;152.37052585064075
25.07;151.99403446752098
25.124;153.87198391420912
25.207;153.71744312026001
25.26;154.40476706392198
25.311;154.17955555555557
25.381;154.39555555555555
25.42;154.27866666666668
25.462;154.22417582417583
25.529;153.63260821797408
25.589;154.12283014722038
25.647;154.14414414414415
25.708;153.30400890868597
25.75;153.37527839643653
25.804;153.07629979743416
25.85;152.45644834571235
25.914;152.64933603421113
25.97;152.5261634379871
26.027;152.22422623023826
26.064;153.5151050788091
26.107;153.6573992994746
26.155;153.47416812609458
26.185;153.75021891418564
26.221;153.00570926657883
26.291;153.310496267018
26.343;152.81482291211194
26.393;153.0625273283778
26.441;153.22847533632287
26.48;153.23340807174887
26.516;152.81902245706738
26.566;153.36961911201263
26.61;153.08857336037863
26.676;153.21523551949517
26.753;152.3577092511013
26.814;152.31982378854624
26.852;152.6907488986784
26.896;152.6511013215859
26.936;152.51285460992906
27.004;152.2584219858156
27.068;152.7160549425805
27.113;152.84665615852285
27.155;152.90517626059795
27.199;153.05310129406516
27.235;152.55105633802816
27.296;152.48967220475976
27.359;153.2837898518186
27.403;152.5257663260773
27.443;152.61683696135051
27.481;152.35739671257218
27.516;151.96756996890272
27.555;152.20890181167525
27.612;152.88123462312683
27.651;152.44424817840584
27.705;153.1611672278339
27.754;153.42289562289562
27.808;153.90998877665544
27.867;153.6094555231907
27.93;153.25790754257906
27.974;153.4981198849812
28.014;153.08992248062015
28.049;153.1437430786268
28.109;153.51339977851606
28.181;154.315188172043
28.259;154.17137096774192
28.319;153.65386313465783
28.393;153.89867549668875
28.447;153.1723675385647
28.491;151.58862433862433
28.563;152.41931216931218
28.606;153.43671181690797
28.64;153.35310602522185
28.697;153.8035964502569
28.751;151.99366085578447
28.803;152.38849898120895
28.861;153.27824315146026
28.924;153.23760800363803
28.969;153.12801273306047
29.013;152.06914893617022
29.057;152.59898242368178
29.109;152.1946420104315
29.156;152.0796586059744
29.196;151.69380952380953
29.268;151.25445897740784
29.344;151.56076099881093
29.413;151.6898929845422
29.462;151.14862948960302
29.493;151.54276937618147
29.525;151.1453213610586
29.603;151.5030718336484
29.656;151.44772304832713
29.705;151.6403345724907
29.746;151.15406162464987
29.785;151.15709617180207
29.822;151.2076099881094
29.894;151.1065398335315
29.938;151.1183151916706
30.002;150.46119261713204
30.072;150.65983801810387
30.119;150.3849452120057
30.158;150.64342536265792
30.231;150.86850725315864
30.299;150.86757136172204
30.356;152.48300970873785
30.408;152.44296116504853
30.454;152.37744979433825
30.504;152.4283618581907
30.549;152.94841075794622
30.63;152.24183162413547
30.676;152.13880276651562
30.713;153.07282845390756
30.837;153.08347447374788
30.908;153.7703685741998
30.944;153.81838021338507
30.992;153.56644034917556
31.026;152.40606206398846
31.07;152.49685990338165
31.137;152.19830917874395
31.174;149.99142923326383
31.233;149.92031503358814
31.262;150.90809167446213
31.311;150.7357343311506
31.344;151.5821394460363
31.382;151.81208213944603
31.426;150.77198316183348
31.466;150.8790926099158
31.506;151.016604303087
31.575;150.58980355472403
31.658;151.15382803298
31.714;150.65159010600706
31.758;150.9499412455934
31.82;151.4288037166086
31.871;151.2889663182346
31.923;150.8851956624234
31.977;151.15865157944367
32.016;151.40247605699602
32.059;151.43120766176128
32.104;151.42546657217105
32.16;151.2334042050555
32.218;150.859437751004
32.273;149.98832321345165
32.317;150.3190098085007
32.358;150.3648269410664
32.406;150.87031360528178
32.46;151.0669653383636
32.521;150.75524640414997
32.57;152.38064516129032
32.618;152.0389486260454
32.69;151.60902612826604
32.732;151.69239904988123
32.768;151.3329381076595
32.829;150.64311121650462
32.873;150.81361157220772
32.915;150.97380840018877
32.975;152.09301216312903
33.018;151.80968280467445
33.097;152.27300115874854
33.143;152.59721900347625
33.182;151.87158533738034
33.25;152.0562689703479
33.334;153.0255742363249
33.385;152.6665877338385
33.432;153.1498224852071
33.495;152.43242603550297
33.544;152.476449704142
33.617;152.6314895681708
33.677;153.01758973140005
33.738;153.1630615640599
33.805;153.19158545281672
33.894;153.2315340909091
33.943;152.88370440549502
33.988;152.69066792989105
34.045;152.83695392695154
34.112;153.10670804487944
34.158;153.15373597517308
34.212;152.57108721624851
34.259;152.4399044205496
34.316;152.34169653524492
34.355;152.5274776890559
34.398;152.1968060122123
34.437;152.1811560150376
34.48;151.84187030075188
34.52;151.67862969004895
34.6;151.7682383298147
34.655;151.53460004691533
34.707;151.43232465399953
34.765;151.67471019635676
34.834;152.36479772888575
34.886;153.36850841830685
34.943;153.46122836139435
34.997;153.41451268674413
35.043;153.0171321286083
35.095;152.96456230931707
35.145;152.9298286787139
35.19;152.97449695835283
35.26;151.10446036514907
35.328;150.8472382713196
35.394;150.72244048994685
35.455;151.91595238095238
35.5;151.29123951537744
35.536;151.1549394221808
35.586;152.50106761565837
35.633;152.1814946619217
35.708;151.80830367734282
35.745;151.05430494314226
35.807;151.2842886980738
35.884;152.38275449101798
35.933;152.397125748503
35.961;151.82513661202185
36.014;152.06438583986696
36.081;152.136136849608
36.148;152.764
36.196;152.28070588235295
36.244;151.0253279059249
36.318;150.03799185888738
36.388;150.0343572241183
36.46;149.7886234357224
36.525;149.39681456200228
36.623;149.53103605659516
36.683;149.80214513920583
36.719;151.52042221202387
36.766;151.68815970628728
36.798;150.95627081021087
36.834;151.3009988901221
36.873;150.973140954495
36.932;150.50089047195013
37.014;150.9517992003554
37.084;151.19591292758773
37.158;150.72301199466904
37.231;150.710911136108
37.27;150.27311586051744
37.317;150.50641169853768
37.37;151.20989606868505
37.456;151.20515137821963
37.533;150.8278355173972
37.605;151.49794238683128
37.648;153.2074630368458
37.687;152.96338887585074
37.762;152.18719667205917
37.814;152.39265079731916
37.878;152.65700593336376
37.951;152.74669100867183
38.05;152.18433707350584
38.113;151.31051064804214
38.203;151.28806961300663
38.255;152.4351724137931
38.297;152.9096551724138
38.333;152.9687068568799
38.386;153.12839392544868
38.424;153.73123543123543
38.47;153.9041958041958
38.507;153.6127394414955
38.581;153.589298123697
38.624;153.6736159369933
38.679;153.318276580959
38.71;152.99637023593468
38.759;152.79196914700543
38.806;152.94078947368422
38.852;152.6700801424755
38.938;152.40427426536064
39.004;152.10353364843573
39.041;152.10353364843573
39.074;152.11472103965943
39.151;153.26770601336304
39.242;153.21113585746102
39.283;153.8641518167091
39.334;153.6431381624624
39.381;153.56931949250287
39.436;153.49042675893887
39.487;153.4978085351788
39.537;153.50148232611176
39.59;153.32793614595212
39.656;153.218244013683
39.701;153.14146567717995
39.753;153.51182745825602
39.787;153.4933638443936
39.833;153.58085654107185
39.88;153.77860987596537
39.936;154.0203988081595
40.006;154.0424020169608
40.066;154.16456566582627
40.102;153.86528379302484
40.148;153.57419648962843
40.191;153.75564166856623
40.236;152.78751445086706
40.287;153.6656647398844
40.325;153.3613037447989
40.374;153.416551086454
40.435;153.8144920889704
40.475;153.95528548498052
40.511;154.2832918833371
40.566;154.50011304544427
40.621;154.238581034083
40.67;153.94713656387665
40.706;153.9841342837434
40.749;153.7953552540814
40.797;153.81260059783858
40.825;153.74206896551723
40.884;153.56988505747125
40.946;153.24654430092906
41.008;153.7675050985724
41.065;153.11301601624183
41.112;152.03291536050156
41.148;152.09135691894312
41.223;152.90886249428962
41.303;153.42028323435358
41.351;153.09365006852445
41.389;152.7483623221143
41.44;152.96543934944657
41.494;152.2963632256607
41.537;152.66349422161795
41.579;152.36437797416724
41.627;152.22048493088602
41.666;153.04400749063672
41.707;152.80922284644194
41.741;152.8614919823379
41.793;151.8343016500116
41.865;150.74731823599524
41.92;151.0340882002384
41.958;152.09519207538054
42.014;152.5975123210514
42.072;151.70804975357896
42.127;151.83126026754283
42.167;152.0495238095238
42.205;151.57619047619048
42.258;151.8148148148148
42.318;151.61609686609685
42.389;151.58817921830314
42.438;151.28050524308867
42.475;150.60382775119618
42.516;150.14424673784103
42.556;149.4170818505338
42.613;149.87006187529747
42.659;149.1282722513089
42.727;148.22060923369824
42.767;149.31401869158879
42.805;149.40420560747663
42.854;149.17760901518864
42.894;148.97893189612935
42.928;147.31718677224035
42.983;147.10572892408013
43.021;148.34097353497165
43.095;148.23807251908397
43.15;148.1541030534351
43.2;148.3404103053435
43.238;148.56118343195266
43.278;148.77704142011834
43.347;149.71715976331362
43.391;150.12340425531914
43.434;150.08794326241136
43.475;149.05701335877862
43.523;149.4270038167939
43.564;147.3672462406015
43.624;149.71157495256168
43.68;150.29340607210625
43.727;150.02290249433108
43.785;151.06617815433935
43.838;150.3043279138997
43.879;150.16349896954432
43.925;150.30844973666132
43.957;149.81795282802838
44.01;149.878075332027
44.052;149.86893098192903
44.086;151.34102857142858
44.161;151.30605714285716
