time;Pixel forehead
0;144.43604447045055
0.266;142.73955597994748
0.372;144.68292094146048
0.412;144.44489359172513
0.464;143.89088743299584
0.497;141.17117331745087
0.589;133.4078618225134
0.692;129.50756402620607
0.765;129.83738095238095
0.846;128.52035714285714
0.898;139.30251399976171
0.957;141.09454976303317
1.002;138.71196682464455
1.067;141.12290127602418
1.113;141.5126316981987
1.16;134.8003851818285
1.205;136.01637467078896
1.264;134.07820909195007
1.306;134.1403870376732
1.362;141.58410626359785
1.401;150.30358917725013
1.444;149.78111540585311
1.502;148.10149528881607
1.552;145.05315444489963
1.597;140.2440776074606
1.655;141.4738985957766
1.711;144.5912702403701
1.771;144.36759529317106
1.811;151.6060732547219
1.877;151.28164457894187
1.924;150.54322809088225
1.975;150.99370512442215
2.022;151.3045146060785
2.063;150.98819710829153
2.104;150.1298490349704
2.18;150.40760557997325
2.274;149.589361103293
2.331;149.29984051036683
2.406;146.27782388197326
2.444;146.32276683463124
2.488;145.91873568483737
2.537;147.6627110908261
2.617;147.82619808306708
2.672;143.78417536927273
2.764;144.60927650766772
2.889;145.69677297958415
2.973;147.42657849442884
3.046;147.6553129812483
3.145;147.73871206513692
3.208;147.9853195951491
3.262;148.30473237895504
3.322;147.83432767324462
3.378;148.00734281780635
3.435;144.90057933096617
3.482;146.26290084777
3.541;146.06339845189828
3.579;145.8924622189458
3.629;145.7665868042757
3.682;146.8384870237438
3.757;147.8065028496683
3.84;147.2859011492105
3.914;147.80833486322746
3.978;148.5584181605261
4.028;148.64949103684353
4.126;148.08202009031424
4.209;147.27877614966363
4.288;147.70014595876665
4.345;147.89189928845101
4.395;147.61220580186097
4.452;148.42380352644835
4.519;147.97139258726162
4.583;147.10592346984498
4.664;147.1134510260776
4.701;147.72804583296033
4.749;147.64989705487423
4.811;148.34323988644428
4.872;147.84473304473303
4.922;147.67195767195767
4.967;147.10681466654535
5.017;147.2840505868438
5.063;154.24128832681285
5.113;155.58666309108787
5.159;155.5562706713149
5.268;156.128095110396
5.346;155.54465004022526
5.466;155.12479856759177
5.557;155.12524619516563
5.623;155.10841539838853
5.669;154.61606594755767
5.758;155.17091993335086
5.839;155.22783478032096
5.886;155.6201293028132
5.926;156.18434387558972
5.964;156.09820024462695
6.019;155.97206753292673
6.087;156.22328294881993
6.127;155.84999558030583
6.183;155.58286926544682
6.237;155.6099797231773
6.296;154.82535484439742
6.349;154.0565106232919
6.392;153.866084810015
6.426;153.8290302546358
6.465;153.49188182060155
6.525;153.4176204418419
6.585;154.97780859916782
6.638;154.92415048543688
6.684;156.09460406447093
6.719;156.0280308339173
6.763;155.94963209530482
6.806;156.03267344078486
6.849;155.83019357068787
6.891;155.76322156930522
6.945;155.50916004147945
7.021;155.94946455438534
7.086;155.7235153553412
7.127;155.84202141782458
7.175;155.51392515230634
7.22;155.32967798085292
7.267;155.28163620539598
7.31;153.45541689274734
7.357;153.3945559775728
7.396;154.93392108938548
7.477;155.11539804469274
7.613;155.29057868736768
7.676;155.43154551870148
7.723;155.9340250066507
7.77;155.83461913629512
7.813;155.68525292175931
7.854;155.55437594789902
7.9;154.73493871164044
7.938;155.02103799008955
7.986;154.87090324263235
8.03;154.892723637312
8.071;154.70543887991383
8.108;154.97325435289895
8.146;155.21724563569035
8.198;155.0703579615588
8.267;154.53750550903482
8.324;154.34561480828557
8.455;154.91243309642888
8.511;155.01035360182505
8.551;154.85022374309028
8.598;155.75671262699564
8.663;155.73376269956458
8.709;155.15592007678214
8.759;155.29997382427362
8.812;155.12346217607538
8.855;154.9755693220487
8.889;155.70323741007195
8.935;155.70278776978418
8.975;154.9775714035395
9.017;154.866654985106
9.057;155.76545068177793
9.148;156.01007868446644
9.215;156.0949518168155
9.27;156.14357704889045
9.32;154.68815485704138
9.389;154.72580358728467
9.427;155.17460739952088
9.497;155.1218170526129
9.562;154.97542365362435
9.607;154.22385914480776
9.656;154.0204814947898
9.695;154.05644743656137
9.755;153.81296392197478
9.808;155.26397178513292
9.864;155.3634472779888
9.9;155.1332514044944
9.973;155.46676791138108
10.034;155.26969805252813
10.079;155.04573878863678
10.116;154.61524869688134
10.165;154.07880554819332
10.216;154.17086315045498
10.279;153.36464673193967
10.359;153.5561436005998
10.402;154.7944758206848
10.472;154.90183615819208
10.533;154.68953036723164
10.603;154.7775163398693
10.649;155.36217864923748
10.729;154.4466433102926
10.77;154.6744626455828
10.806;153.93960699477194
10.857;153.68244095907698
10.913;153.81521543176493
10.953;155.06591801332968
11.006;155.2452296174564
11.047;154.23006955591225
11.095;154.55109684323168
11.135;153.6568177471792
11.18;153.83954867087397
11.218;154.27809039753132
11.26;154.16799782174624
11.311;154.68430574400725
11.396;154.6887381275441
11.433;154.58046132971506
11.484;154.07788331071913
11.533;153.87553143374038
11.57;153.8339740724184
11.625;155.00755219902265
11.66;154.78151932474455
11.729;154.67036872501112
11.815;154.15808985788684
11.88;154.09612498896638
11.947;154.66759027529497
12.001;154.589202717197
12.043;155.11321776814734
12.12;154.57876591230553
12.184;154.90700141442716
12.262;155.35829207920793
12.332;155.49690594059405
12.414;155.8173207036536
12.463;155.22841677943165
12.511;152.55594900849857
12.557;152.50150495750708
12.606;154.27855077701483
12.645;154.19714492229852
12.683;154.73091883481717
12.732;154.85547584060853
12.77;155.39221372704105
12.86;155.2457157922489
12.909;155.12927556569022
12.959;154.80336783020522
13.013;154.62883704613225
13.058;152.43148247019042
13.098;152.7320697633031
13.174;153.8964433267469
13.243;153.73702173522543
13.316;153.2984551823244
13.387;154.9724373986669
13.447;154.73076923076923
13.519;155.71270767849126
13.576;155.33540155553612
13.619;155.11386874071485
13.689;153.92196102420695
13.758;157.03123036884142
13.824;155.77304137126447
13.876;156.9462442789195
13.915;157.1033369214209
13.964;155.0161892901619
14.021;156.33899661981854
14.085;153.91546649968691
14.129;152.7385275963861
14.167;153.95498707549692
14.242;156.28723881266254
14.334;155.93830149762354
14.379;155.96977849520223
14.411;153.8571942769729
14.453;154.1258885989382
14.508;154.42949698551246
14.553;155.71258424891516
14.595;154.83011725602438
14.646;156.257779886148
14.698;156.3370018975332
14.734;154.228806508274
14.781;154.11352500693354
14.821;156.08077890617722
14.859;156.08077890617722
14.896;156.81974563089028
14.958;157.3685607100375
15.026;154.80539551897576
15.075;153.94769090077733
15.122;154.25907636031093
15.164;154.9058984910837
15.206;153.48073579207468
15.255;153.58799304475153
15.291;155.44050655175445
15.343;155.05047928942045
15.41;156.1190368014539
15.467;155.12654403270238
15.525;154.80956189460588
15.576;155.26099706744867
15.62;156.08814990762735
15.683;155.8646080760095
15.725;156.0205565529623
15.77;156.20089766606822
15.814;156.14183123877916
15.907;156.11109075922704
15.957;154.39312275789658
16.009;153.28768921165457
16.071;153.79996467367306
16.119;154.17839795107304
16.158;155.72046240669943
16.199;155.91616602949208
16.241;156.67946010467358
16.284;155.40786465477822
16.332;155.1169638774577
16.412;155.73150434385002
16.458;155.00929384965832
16.546;153.39533394327538
16.592;153.36001829826168
16.662;155.86532976827095
16.731;155.60053475935828
16.774;155.79454049135578
16.855;155.2338489535942
16.893;149.6699718002365
16.966;148.60029109433276
17.036;152.56985758067424
17.076;154.07057869118444
17.115;155.44005768884082
17.161;155.44005768884082
17.213;155.13073763171994
17.262;155.098499732095
17.313;151.27209172259506
17.36;154.16064723761846
17.403;154.94207044519936
17.436;156.74290635481825
17.514;155.55680410546805
17.555;155.55901610334453
17.615;153.40887563585335
17.67;152.06393615155235
17.723;151.47455197132618
17.769;150.72517921146954
17.829;153.10749621178357
17.872;153.71889443520058
17.911;153.9767054908486
17.969;153.92096505823628
17.999;154.20333853067962
18.039;154.3467852884527
18.078;154.15069733743886
18.12;154.17451548632494
18.155;154.8678405931418
18.208;155.06357738646895
18.279;154.85820203892493
18.322;155.1543428831287
18.371;154.7618008185539
18.424;154.81109595270578
18.463;155.27364987314243
18.503;155.2899031563845
18.549;154.81662482065997
18.614;154.74636554813935
18.652;154.7427996708421
18.691;154.04187680115274
18.753;151.52798831156971
18.798;151.48068669527896
18.843;151.3796913523879
18.893;151.80001826317232
18.98;153.4392397081344
19.021;153.81118818124494
19.091;155.64095169430425
19.135;155.40194664744052
19.175;153.53298317457492
19.24;153.90438885426866
19.288;154.4188641886419
19.334;153.7439474394744
19.377;154.1776613690846
19.421;154.19541862736392
19.462;153.12315048718875
19.499;152.7512630819199
19.544;152.36142186936124
19.58;152.08235513322154
19.647;153.1479674796748
19.694;153.26124661246612
19.751;153.37831978319784
19.793;154.81616700386243
19.836;154.90996873275702
19.873;154.54001468428783
19.954;154.50406278855033
20.008;154.47617728531856
20.044;154.83434903047092
20.089;155.84891952309985
20.122;155.9832339791356
20.19;156.19830476900148
20.249;155.51552572706936
20.325;155.46362416107382
20.372;155.3693497044111
20.412;155.07702642185401
20.449;154.9473354231975
20.536;154.97931034482758
20.576;155.9242491756528
20.618;155.83807147313073
20.661;155.9348531266895
20.713;156.14570192827537
20.763;156.88847451607174
20.814;156.9116497957734
20.86;156.92550168708934
20.899;156.1893029922953
20.967;155.20513053761485
21.013;155.39497862275994
21.05;155.57518315018314
21.112;155.85961538461538
21.171;155.40709168404825
21.237;155.39575587195066
21.286;155.2402585579024
21.34;155.4734158776402
21.379;154.43147959655778
21.423;154.6735449245859
21.484;155.05718219366682
21.536;155.02147774208353
21.606;155.81085121350685
21.654;155.89359831164262
21.699;155.60358775940907
21.747;156.03757303370787
21.784;155.9751011235955
21.823;155.78873861928756
21.872;155.2945977113457
21.929;155.34081433513705
21.986;155.81738664762585
22.016;155.8264905390932
22.051;155.9757229560871
22.121;155.1525167037862
22.168;155.44641425389756
22.242;156.22097991091718
22.311;156.0261794382329
22.352;156.21416234887738
22.391;156.93519368459704
22.449;154.68943525279602
22.503;154.85904427396247
22.547;154.52980866993252
22.591;154.8899074074074
22.634;154.85564814814813
22.669;155.53303330333034
22.742;155.82142214221423
22.789;155.91287128712872
22.833;156.5357336710693
22.888;156.84458114709608
22.953;156.6332641832777
23.001;156.42485059316743
23.041;156.5953973775756
23.084;156.4087949335474
23.122;156.59040818125717
23.18;156.27812223206377
23.22;156.34534986713905
23.262;156.27615539770235
23.299;155.862580022801
23.351;156.39472068753838
23.443;156.5057481587929
23.519;156.9364109933537
23.564;156.69228723404257
23.61;157.01701149425287
23.661;156.88018390804598
23.72;156.05121389331916
23.777;155.81516923622186
23.819;155.88723155719293
23.876;155.73099884166444
23.919;155.66034037244944
23.99;155.6574890849149
24.047;155.72048471888087
24.08;156.67386530014642
24.123;156.4831625183016
24.182;155.75954130084213
24.232;155.9734814549364
24.275;155.8060329394916
24.339;155.8545470819907
24.406;155.27251032583754
24.452;155.23955943093162
24.511;153.5802837263938
24.551;154.1510994003271
24.589;154.3169180447029
24.632;154.31564601126658
24.668;154.02589496638197
24.712;153.89532982009814
24.77;153.67745169522422
24.837;153.52014218009478
24.907;151.99854756717502
24.947;152.10139796659405
25.012;154.49907054970345
