time;interpolated Pixel forehead
0;242.93440497796215,227.09515167228415,227.3720508166969
0.015;242.92937888828757,227.09253442475827,227.36413574238287
0.045;242.91932670893843,227.08729992970655,227.3483055937548
0.075;242.9092745295893,227.0820654346548,227.3324754451267
0.105;242.89922235024017,227.07683093960307,227.31664529649862
0.135;242.88917017089102,227.07159644455135,227.30081514787057
0.165;242.8791179915419,227.0663619494996,227.28498499924248
0.195;242.86906581219276,227.06112745444787,227.2691548506144
0.225;242.8590136328436,227.05589295939612,227.25332470198632
0.255;242.8489614534945,227.0506584643444,227.23749455335823
0.285;242.83890927414535,227.04542396929264,227.22166440473015
0.315;242.8288570947962,227.04018947424092,227.20583425610207
0.345;242.8188049154471,227.03495497918917,227.190004107474
0.375;242.80875273609794,227.02972048413744,227.17417395884593
0.405;242.7987005567488,227.02448598908572,227.15834381021784
0.435;242.78864837739965,227.01925149403397,227.14251366158976
0.465;242.77859619805054,227.01401699898224,227.12668351296168
0.495;242.7685440187014,227.0087825039305,227.1108533643336
0.525;242.75849183935225,227.00354800887877,227.0950232157055
0.555;242.74843966000313,226.99831351382701,227.07919306707745
0.585;242.73838748065398,226.9930790187753,227.06336291844937
0.615;242.72833530130484,226.98784452372357,227.0475327698213
0.645;242.71828312195572,226.98261002867181,227.0317026211932
0.675;242.70823094260658,226.9773755336201,227.01587247256512
0.705;242.69817876325743,226.97214103856834,227.00004232393704
0.735;242.6881265839083,226.96690654351661,226.98421217530895
0.765;242.67807440455917,226.96167204846486,226.9683820266809
0.795;242.66802222521002,226.95643755341314,226.95255187805282
0.825;242.6579700458609,226.9512030583614,226.93672172942473
0.855;242.64791786651176,226.94596856330966,226.92089158079665
0.885;242.63786568716262,226.94073406825794,226.90506143216857
0.915;242.62781350781347,226.9354995732062,226.88923128354048
0.945;242.61776132846435,226.93026507815446,226.8734011349124
0.975;242.6077091491152,226.9250305831027,226.85757098628434
1.005;242.59765696976606,226.919796088051,226.84174083765626
1.035;242.58760479041695,226.91456159299923,226.82591068902818
1.065;242.5775526110678,226.9093270979475,226.8100805404001
1.095;243.7625475078861,228.82539873214606,228.79865085894804
1.125;244.94754240470436,230.7414703663446,230.78722117749598
1.155;246.13253730152266,232.65754200054315,232.77579149604392
1.185;247.31753219834093,234.5736136347417,234.76436181459187
1.215;247.8142132208049,235.39195763038927,235.5993636938372
1.245;247.784536574645,235.37086284361555,235.55222500185116
1.275;247.75485992848508,235.34976805684184,235.50508630986513
1.305;247.78496230703118,235.45171375212448,235.5966904487886
1.335;248.11395980910737,236.16886185768885,236.38200874225964
1.365;248.44295731118356,236.8860099632532,237.16732703573072
1.395;248.77195481325975,237.60315806881758,237.95264532920177
