Count;Frequencies rightCheek
35.995;50.78125000000001
36.47;50.78125000000001
36.979;50.78125000000001
37.418;50.78125000000001
37.93;50.78125000000001
38.403;50.78125000000001
38.877;50.78125000000001
39.317;50.78125000000001
39.798;50.78125000000001
40.303;50.78125000000001
40.776;50.78125000000001
41.309;50.78125000000001
41.778;50.78125000000001
42.287;50.78125000000001
42.695;50.78125000000001
43.172;50.78125000000001
43.675;50.78125000000001
44.202;48.828125
44.6;50.628125000000004
45.209;52.42812500000001
45.583;54.228125000000006
46.101;56.02812500000001
46.57;57.82812500000001
47.009;59.62812500000001
47.529;61.42812500000001
48;63.228125000000006
48.439;65.02812500000002
49.015;66.82812500000001
49.424;68.62812500000001
49.928;70.42812500000001
50.414;72.22812500000002
50.889;74.02812500000002
51.414;75.82812500000001
51.861;77.62812500000003
52.373;79.42812500000002
52.833;81.22812500000002
53.269;83.02812500000003
53.778;84.82812500000003
54.28;86.62812500000003
54.712;88.42812500000004
55.2;90.22812500000003
55.72;92.02812500000003
56.159;93.82812500000003
56.747;95.62812500000004
57.085;97.42812500000004
57.563;99.22812500000003
58.138;101.02812500000005
58.608;105.46875000000001
59.079;105.46875000000001
59.553;104.86875
60.042;103.06875000000001
60.481;101.26875000000001
60.927;99.46875000000001
61.521;97.66875
61.924;95.86875
62.45;94.06875000000001
62.855;92.26875
63.399;90.46875
63.804;88.66875
64.326;83.98437500000001
64.858;83.98437500000001
65.262;83.98437500000001
65.733;83.98437500000001
66.206;83.98437500000001
66.712;83.98437500000001
67.193;83.98437500000001
67.652;83.98437500000001
68.142;83.98437500000001
68.683;83.98437500000001
69.089;83.98437500000001
69.596;83.98437500000001
70.148;83.98437500000001
70.521;83.384375
71.08;81.58437500000001
71.553;79.78437500000001
71.974;77.984375
72.523;76.184375
72.938;74.384375
73.454;72.584375
73.908;70.784375
74.386;68.984375
75.438;64.453125
75.438;65.053125
75.846;66.853125
76.333;68.653125
76.844;70.453125
77.321;72.25312500000001
77.906;74.05312500000001
78.247;75.853125
78.756;80.078125
79.228;80.078125
79.67;80.078125
80.116;80.078125
80.61;78.878125
81.147;77.078125
81.676;75.278125
82.112;73.478125
82.555;71.678125
83.002;69.878125
83.508;68.078125
83.977;66.27812499999999
84.482;64.47812499999999
84.985;62.67812499999999
85.398;60.87812499999999
86.006;56.64062500000001
86.36;56.64062500000001
86.898;56.64062500000001
87.343;56.64062500000001
87.848;56.64062500000001
88.325;56.64062500000001
88.878;56.64062500000001
89.315;56.64062500000001
89.729;56.64062500000001
90.24;56.64062500000001
90.719;56.64062500000001
91.258;56.64062500000001
91.703;56.64062500000001
92.21;56.64062500000001
92.643;56.64062500000001
93.118;56.64062500000001
93.555;56.64062500000001
94.073;56.64062500000001
94.558;56.64062500000001
95.028;55.440625000000004
95.493;50.78125000000001
95.996;50.78125000000001
96.444;50.78125000000001
96.92;50.78125000000001
97.519;50.78125000000001
97.965;50.78125000000001
98.374;50.78125000000001
98.882;50.78125000000001
99.39;50.78125000000001
100.046;50.78125000000001
100.314;50.78125000000001
100.802;50.78125000000001
101.366;52.73437500000001
101.783;52.73437500000001
102.235;52.73437500000001
102.747;52.73437500000001
103.238;52.73437500000001
103.641;52.73437500000001
104.161;52.73437500000001
104.678;52.73437500000001
105.116;52.73437500000001
105.629;52.73437500000001
106.143;52.73437500000001
106.548;52.73437500000001
107.091;52.73437500000001
107.496;52.73437500000001
108.006;52.73437500000001
108.439;52.73437500000001
108.981;52.73437500000001
109.486;52.73437500000001
109.965;52.73437500000001
110.369;52.73437500000001
110.844;52.73437500000001
111.362;52.73437500000001
111.871;52.73437500000001
112.292;52.73437500000001
112.799;52.73437500000001
113.241;52.73437500000001
113.804;52.73437500000001
114.251;52.73437500000001
114.766;52.73437500000001
115.156;52.73437500000001
115.667;52.73437500000001
116.311;54.53437500000001
116.694;56.33437500000001
117.133;60.54687500000001
117.608;60.54687500000001
118.053;60.54687500000001
118.589;60.54687500000001
119.004;60.54687500000001
119.5;60.54687500000001
120.009;60.54687500000001
120.515;60.54687500000001
120.989;60.54687500000001
121.397;60.54687500000001
121.942;60.54687500000001
122.359;60.54687500000001
