Count;Frequencies leftCheek
35.995;50.78125000000001
36.47;50.78125000000001
36.979;50.78125000000001
37.418;50.78125000000001
37.93;50.78125000000001
38.403;50.78125000000001
38.877;52.581250000000004
39.317;54.38125000000001
39.798;56.181250000000006
40.303;57.98125000000001
40.776;59.781250000000014
41.309;64.453125
41.778;64.453125
42.287;64.453125
42.695;64.453125
43.172;64.453125
43.675;64.453125
44.202;64.453125
44.6;64.453125
45.209;64.453125
45.583;64.453125
46.101;64.453125
46.57;64.453125
47.009;64.453125
47.529;64.453125
48;64.453125
48.439;64.453125
49.015;62.50000000000001
49.424;62.50000000000001
49.928;62.50000000000001
50.414;62.50000000000001
50.889;62.50000000000001
51.414;62.50000000000001
51.861;62.50000000000001
52.373;62.50000000000001
52.833;62.50000000000001
53.269;62.50000000000001
53.778;63.10000000000001
54.28;64.9
54.712;66.7
55.2;68.50000000000001
55.72;70.30000000000001
56.159;72.10000000000001
56.747;73.90000000000002
57.085;75.70000000000002
57.563;80.078125
58.138;80.078125
58.608;80.078125
59.079;80.078125
59.553;80.078125
60.042;80.078125
60.481;80.078125
60.927;80.078125
61.521;80.078125
61.924;80.078125
62.45;80.078125
62.855;80.078125
63.399;80.078125
63.804;80.078125
64.326;80.078125
64.858;80.078125
65.262;80.078125
65.733;80.078125
66.206;80.078125
66.712;80.078125
67.193;80.078125
67.652;80.078125
68.142;80.078125
68.683;78.278125
69.089;76.478125
69.596;72.26562500000001
70.148;72.26562500000001
70.521;72.26562500000001
71.08;72.26562500000001
71.553;72.26562500000001
71.974;72.26562500000001
72.523;72.26562500000001
72.938;70.3125
73.454;70.3125
73.908;70.3125
74.386;70.3125
75.438;70.3125
75.438;70.3125
75.846;70.3125
76.333;70.3125
76.844;70.3125
77.321;70.3125
77.906;70.3125
78.247;70.3125
78.756;70.3125
79.228;70.3125
79.67;69.7125
80.116;67.9125
80.61;66.1125
81.147;64.3125
81.676;62.512499999999996
82.112;60.71249999999999
82.555;58.91249999999999
83.002;54.6875
83.508;54.6875
83.977;54.6875
84.482;54.6875
84.985;54.6875
85.398;54.6875
86.006;54.6875
86.36;54.6875
86.898;54.6875
87.343;56.487500000000004
87.848;58.28750000000001
88.325;60.0875
88.878;61.8875
89.315;63.6875
89.729;65.48750000000001
90.24;67.28750000000001
90.719;69.0875
91.258;70.88750000000002
91.703;72.68750000000001
92.21;74.48750000000001
92.643;76.28750000000001
93.118;78.08750000000002
93.555;79.88750000000002
94.073;81.68750000000001
94.558;83.48750000000003
95.028;85.28750000000002
95.493;87.08750000000002
95.996;88.88750000000003
96.444;90.68750000000003
96.92;92.48750000000003
97.519;94.28750000000004
97.965;96.08750000000003
98.374;97.88750000000003
98.882;99.68750000000003
99.39;101.48750000000004
100.046;103.28750000000004
100.314;105.08750000000003
100.802;106.88750000000005
101.366;108.68750000000004
101.783;113.28125000000001
102.235;113.28125000000001
102.747;111.48125
103.238;109.68125
103.641;107.88125000000001
104.161;106.08125
104.678;104.28125
105.116;102.48125
105.629;100.68124999999999
106.143;98.88125
106.548;97.08125
107.091;95.28125
107.496;93.48124999999999
108.006;91.68124999999999
108.439;89.88125
108.981;88.08124999999998
109.486;86.28124999999999
109.965;84.48124999999999
110.369;82.68124999999998
110.844;80.88124999999998
111.362;79.08124999999998
111.871;77.28124999999997
112.292;75.48124999999997
112.799;73.68124999999998
113.241;71.88124999999997
113.804;70.08124999999997
114.251;68.28124999999997
114.766;66.48124999999996
115.156;64.68124999999996
115.667;62.881249999999966
116.311;61.08124999999996
116.694;56.64062500000001
117.133;56.64062500000001
117.608;56.64062500000001
118.053;56.64062500000001
118.589;56.64062500000001
119.004;56.64062500000001
119.5;56.64062500000001
120.009;56.64062500000001
120.515;56.64062500000001
120.989;58.59375000000001
121.397;58.59375000000001
121.942;58.59375000000001
122.359;58.59375000000001
122.876;58.59375000000001
123.359;58.59375000000001
123.832;58.59375000000001
124.311;58.59375000000001
124.783;58.59375000000001
125.261;58.59375000000001
125.812;58.59375000000001
126.218;58.59375000000001
126.69;58.59375000000001
127.173;58.59375000000001
127.64;58.59375000000001
128.146;58.59375000000001
128.653;58.59375000000001
129.176;58.59375000000001
