time;interpolated Pixel leftCheek
1.575;227.35694220118683,200.7478879669696,204.39001213963266
1.605;227.46585519478475,200.8081695054422,204.58488924789117
1.635;227.57476818838265,200.86845104391477,204.77976635614968
1.665;227.3062857775163,200.54456707760255,204.42303465525615
1.695;226.96232428575712,200.14385001033338,203.95598119253222
1.725;226.61836279399793,199.7431329430642,203.48892772980827
1.755;226.51908902505204,199.63054468221583,203.34384981283208
1.785;226.7868468403261,199.95014963099865,203.68173521447753
1.815;227.05460465560017,200.26975457978148,204.01962061612298
1.845;227.32236247087422,200.5893595285643,204.35750601776843
1.875;227.59012028614828,200.90896447734713,204.69539141941388
1.905;227.38004361748781,200.59300636453975,204.41972504677065
1.935;227.07440005204046,200.1499356394143,204.0213483192697
1.965;226.7687564865931,199.7068649142889,203.62297159176876
1.995;226.823505849781,199.7184436439892,203.7050828653528
2.025;227.29013284569479,200.24962175063317,204.33632328303403
2.055;227.7567598416086,200.78079985727715,204.96756370071526
2.085;228.15579009530552,201.24959110889773,205.5149127226916
2.115;227.94644966905022,201.1569006653081,205.30723918332404
2.145;227.7371092427949,201.0642102217184,205.0995656439565
2.175;227.5277688165396,200.97151977812877,204.89189210458895
2.205;227.58689932002048,201.02869836199525,204.85487978973933
2.235;227.85133112271134,201.20048267273998,204.9483731171681
2.265;228.11576292540224,201.37226698348468,205.04186644459688
2.295;228.3801947280931,201.5440512942294,205.13535977202565
2.325;228.65804150797175,201.87219007266265,205.50179234985734
2.355;228.93588828785042,202.20032885109592,205.86822492768906
2.385;229.21373506772906,202.52846762952916,206.23465750552074
2.415;229.2913165395567,202.64378282350424,206.34644850285204
2.445;229.2529549383022,202.6358843633193,206.310815427262
2.475;229.2803761869451,202.69735366790758,206.3411660135797
2.505;229.42142235813807,202.8786400207405,206.48548837955613
2.535;229.5584289496911,203.0519417475728,206.63194689614593
2.565;229.5782877316858,202.99368932038837,206.84035378052369
2.595;229.59814651368052,202.9354368932039,207.04876066490144
2.625;229.10874624408558,202.47536500518248,206.50497179475184
2.655;228.51749416417272,201.93492922499368,205.81074377369677
2.685;228.1097534093504,201.50458904498143,205.32492635936632
2.715;227.84234484430317,201.1584396180454,204.9984817619429
2.745;227.57493627925592,200.81229019110935,204.6720371645195
2.775;227.38298125554167,200.54165720608353,204.4165377150302
2.805;227.56829393849225,200.64860643060865,204.51576400521125
2.835;227.75360662144283,200.75555565513378,204.61499029539232
2.865;227.93891930439338,200.8625048796589,204.71421658557335
2.895;228.39200202694144,201.47446382237987,205.3625973002266
2.925;228.8862801401968,202.16411656790018,206.0954633109525
2.955;229.38055825345214,202.8537693134205,206.8283293216784
2.985;229.86564322904627,203.41407256113632,207.44845789255905
3.015;230.34022176159903,203.82654781136128,207.9397436750451
3.045;230.58179102279263,204.0413262925921,208.179293311792
3.075;229.89132319854963,203.4653176978463,207.41189836558246
3.105;229.2008553743066,202.88930910310052,206.64450341937294
3.135;228.93505652775605,202.6799084903126,206.36609356755235
3.165;228.88159217005173,202.65381186850362,206.33217626292625
3.195;228.82812781234742,202.62771524669466,206.29825895830015
3.225;228.77466345464313,202.60161862488567,206.26434165367405
3.255;228.58342225023745,202.42244482818163,206.02481054867815
3.285;228.30032981469753,202.14121958154746,205.64820357676908
3.315;228.01723737915765,201.85999433491332,205.27159660485998
3.345;227.89475167607793,201.74058272198923,205.09157639448568
3.375;228.41469290283905,202.26842564390535,205.6979032302505
3.405;228.93463412960017,202.79626856582144,206.3042300660153
3.435;229.4545753563613,203.32411148773753,206.9105569017801
3.465;229.3878411874097,203.14630521150278,206.79668744926323
3.495;229.20377193931554,202.82736909563786,206.53877873909
3.525;229.0197026912214,202.50843297977295,206.28087002891678
3.555;229.01141794154586,202.48121293055885,206.31375294379546
3.585;229.20402976149154,202.78738267180285,206.67896914444776
3.615;229.36266816332332,203.04394946083283,206.98573343567784
3.645;229.2155458021302,202.85408967993675,206.7664305421081
3.675;229.06842344093712,202.66422989904066,206.54712764853835
3.705;228.921301079744,202.47437011814458,206.3278247549686
3.735;228.7741787185509,202.2845103372485,206.10852186139883
3.765;228.6270563573578,202.0946505563524,205.88921896782907
3.795;228.19377247038813,201.67533965239915,205.39609128172802
3.825;227.510097248364,201.0552590157709,204.66336690216207
3.855;226.82642202633986,200.43517837914263,203.93064252259612
3.885;226.14274680431572,199.81509774251438,203.19791814303017
3.915;225.45907158229159,199.19501710588614,202.4651937634642
3.945;224.77539636026745,198.57493646925786,201.73246938389826
3.975;225.08267178805517,198.84855034542682,202.00251824883318
4.005;225.46072940511516,199.1859995439384,202.3441937740896
4.035;225.83878702217513,199.52344874245,202.68586929934602
4.065;226.21684463923512,199.8608979409616,203.02754482460244
4.095;226.59490225629511,200.19834713947319,203.3692203498589
4.125;226.9793537592006,200.56321680453487,203.76251433493078
4.155;227.37484924674834,200.97544909363768,204.24496747786577
4.185;227.7703447342961,201.38768138274045,204.72742062080076
4.215;228.16584022184384,201.79991367184323,205.20987376373577
4.245;228.56133570939159,202.212145960946,205.69232690667076
4.275;228.46684124190193,202.0723336391874,205.6070894840802
4.305;228.29696370440652,201.84759137729628,205.43451505140882
4.335;228.1270861669111,201.62284911540516,205.2619406187374
4.365;228.10707821021592,201.60064148696574,205.25894406410927
4.395;228.2369398343209,201.780968491978,205.42552538752443
4.425;228.36680145842587,201.96129549699026,205.5921067109396
4.455;228.49666308253086,202.14162250200252,205.75868803435472
4.485;228.62966494625445,202.32421401193858,205.9290382198444
4.515;228.8537337589173,202.57247616466444,206.20868540549463
4.545;229.07780257158012,202.82073831739032,206.4883325911449
4.575;229.301871384243,203.06900047011618,206.7679797767952
4.605;229.52594019690582,203.31726262284204,207.04762696244546
4.635;229.44471436624073,203.3063260246917,207.0456457081665
4.665;229.15995877335698,203.12259025929058,206.85591216060138
4.695;228.87520318047325,202.9388544938894,206.66617861303627
4.725;228.5904475875895,202.75511872848827,206.47644506547113
4.755;228.30569199470577,202.57138296308713,206.286711517906
4.785;228.29417215185447,202.48058986529603,206.12950462853698
4.815;228.2920742314181,202.39300168707769,205.97341934807122
4.845;228.28997631098173,202.30541350885935,205.8173340676055
4.875;228.28787839054536,202.217825330641,205.66124878713975
4.905;228.31544320953074,202.20638904541192,205.62026413713653
4.935;228.376908302141,202.28198349502773,205.71082306480477
4.965;228.43837339475124,202.35757794464354,205.801381992473
4.995;228.5079742918353,202.43281011523865,205.89666325944805
5.025;228.6507974291835,202.50478177464748,206.03444558018398
5.055;228.79362056653179,202.57675343405631,206.17222790091995
5.085;228.93644370388,202.64872509346515,206.31001022165592
5.115;228.96735899130522,202.69909826407337,206.34972657549122
5.145;228.95031377162053,202.74021493948132,206.34741465779763
5.175;228.93326855193584,202.78133161488927,206.34510274010407
5.205;228.88601222733155,202.7638736018015,206.32687803184157
5.235;228.78657308513885,202.6452411267665,206.28116759441457
5.265;228.68713394294613,202.5266086517315,206.2354571569876
5.295;228.5876948007534,202.4079761766965,206.1897467195606
5.325;228.51678218324477,202.29657874546967,206.0561749672133
5.355;228.46488724885882,202.19000467678163,205.8640290049192
5.385;228.4129923144729,202.08343060809358,205.67188304262507
5.415;228.36109738008693,201.97685653940553,205.47973708033092
5.445;228.32883146838617,201.8894058705564,205.32384478721394
5.475;228.57137187427773,202.06968279945184,205.6755038625768
5.505;228.8139122801693,202.24995972834725,206.02716293793964
5.535;229.05645268606085,202.4302366572427,206.37882201330248
5.565;229.17379192840022,202.64367733957138,206.53661259136996
5.595;229.2374735292172,202.87133105908575,206.61131667059655
5.625;229.30115513003415,203.0989847786001,206.68602074982314
5.655;229.03239814240922,202.96218875905137,206.43102139605216
5.685;228.18942904747558,202.1958886447572,205.60653429437625
5.715;227.34645995254195,201.42958853046304,204.78204719270033
5.745;226.50349085760828,200.66328841616885,203.95756009102442
5.775;226.23851780423672,200.37466415977661,203.6434205786041
5.805;226.0891439591776,200.18157507496474,203.43135058403487
5.835;225.93977011411846,199.98848599015287,203.21928058946568
5.865;225.7903962690593,199.795396905341,203.00721059489646
5.895;225.77289269968787,199.69762301169825,202.99376692644043
5.925;225.90609801681666,199.70878076510593,203.20732477354233
5.955;226.0393033339454,199.71993851851363,203.4208826206442
5.985;226.1725086510742,199.7310962719213,203.63444046774606
6.015;226.1098697387673,199.64900966423758,203.41821384433996
6.045;226.04047757716947,199.56370773375758,203.18716706677841
6.075;225.97108541557168,199.47840580327758,202.95612028921687
6.105;226.6761427558226,200.1666678757976,203.70181809370192
6.135;227.8974997639727,201.37063928365095,205.0986789528847
6.165;228.75141195795476,202.2043065611642,206.0572817455114
6.195;228.59485091297475,202.01963748024212,205.8106748551089
6.225;228.43828986799474,201.83496839932008,205.56406796470642
6.255;228.28172882301473,201.650299318398,205.3174610743039
6.285;228.1462132002269,201.52723214073234,205.24451528772684
6.315;228.01303595768263,201.41100961898402,205.19086517935258
6.345;227.87985871513837,201.2947870972357,205.13721507097833
6.375;227.9915338469165,201.4246438011213,205.31356593327789
6.405;228.47048754017814,201.92361934345772,205.83491825158816
6.435;228.9494412334398,202.42259488579415,206.35627056989844
6.465;229.4283949267015,202.92157042813056,206.8776228882087
6.495;229.77669137958858,203.29832072373105,207.24844318084732
6.525;229.82012093826833,203.38987877694768,207.26802208025214
6.555;229.86355049694808,203.4814368301643,207.28760097965693
6.585;229.90698005562783,203.57299488338094,207.30717987906172
6.615;229.68411926787766,203.47490273843505,207.1577185935999
6.645;229.4422377410968,203.36326415076326,206.99618300921904
6.675;229.20035621431595,203.25162556309147,206.83464742483815
6.705;229.12010467761127,203.18507870654258,206.7340655461352
6.735;229.14760646762403,203.14859300407565,206.67411947121758
6.765;229.1751082576368,203.11210730160872,206.61417339629992
6.795;229.18606623954184,203.04994599382678,206.5386983639596
6.825;229.1308489890161,202.885082264785,206.4011075019287
6.855;229.0756317384904,202.72021853574327,206.26351663989774
6.885;229.02041448796464,202.5553548067015,206.12592577786683
6.915;228.97138161387568,202.4245760794796,206.02446112580733
6.945;228.9294165985716,202.3327516400519,205.9642835708581
6.975;228.88745158326753,202.24092720062418,205.90410601590887
7.005;228.85591427051943,202.16071814510659,205.85576870006904
7.035;229.12678033189454,202.4173552229828,206.15079831840228
7.065;229.3976463932696,202.673992300859,206.4458279367355
7.095;229.6685124546447,202.9306293787352,206.74085755506874
7.125;229.65522124819176,202.88178105948688,206.69852529544607
7.155;229.4998514078248,202.68019004167633,206.48751209684548
7.185;229.34448156745782,202.47859902386574,206.27649889824488
7.215;229.16956365982116,202.30034153976632,206.09322706961862
