time;Pixel forehead
0;242.93440497796215,227.09515167228415,227.3720508166969
1.065;242.5775526110678,226.9093270979475,226.8100805404001
1.198;247.8310299869622,235.4039113428944,235.62607561929596
1.3;247.73012939001848,235.33218906786374,235.46580406654343
1.401;248.837754313675,237.74658768993046,238.10970898789597
1.503;248.57703374313365,237.07533350771646,237.36855872351558
1.57;248.84645772978666,237.65262048986042,238.0350276534106
1.64;248.86307053941908,237.68827800829877,237.91701244813277
1.743;248.21937020375762,236.79227308811855,236.7073299814766
1.88;248.63256784968684,237.19154488517745,237.50026096033403
1.981;248.5602614379085,236.96627450980392,237.3040522875817
2.082;248.71439831844455,237.4256437204414,237.71124540199685
2.188;247.39008961518186,234.67264101212442,234.6352134949921
2.295;247.95905059989568,235.9227960354721,235.9509650495566
2.396;248.22934549356222,236.82108369098714,236.72719957081546
2.464;249.51963906581742,239.20249469214437,239.32377919320595
2.534;248.9562783257798,237.92375366568916,237.91229005598507
2.6;248.99573447080778,238.1684884030925,238.3092508664356
2.668;249.505042462845,239.1977176220807,239.44532908704883
2.77;248.6262277674542,237.2020175205734,237.58800106185294
2.869;249.15571581196582,238.60256410256412,238.7134081196581
2.971;249.77136752136752,239.9158653846154,240.21073717948718
3.039;250.0199415049189,240.15341664450943,240.57245413453867
3.115;248.9664553618595,237.689381933439,237.9825673534073
3.237;249.42849590272272,239.16098334655035,239.4842717420037
3.339;248.95332464146023,238.14993481095175,238.1368970013038
3.44;249.07793209876544,238.09619341563786,238.29758230452674
3.541;248.56153050672182,237.0791106514995,237.1551189245088
3.612;249.18859649122808,238.70768833849328,238.9200206398349
3.779;249.7581766675251,239.34354880247233,239.80736543909347
3.947;249.82033036848793,239.50444726810673,240.0874205844981
4.114;249.05929363237948,238.0304202113947,238.37973704563032
4.249;248.92047817047816,238.03534303534303,238.1122661122661
4.35;249.04946349123267,237.86678879874378,237.8968856320335
4.484;248.69916361735494,237.38342916884474,237.46863565081026
4.617;248.3921210540047,236.77824158622488,237.14609966084006
4.756;248.6968905147635,237.17663966553437,237.46015155474262
4.891;248.6101384896786,237.3080742095636,237.32009406846095
4.992;249.2102948784273,238.16037247801344,238.43507501293325
5.094;249.08898085876876,238.21883083290223,238.3962752198655
5.194;248.7659574468085,237.18203309692672,237.39296033622276
5.307;248.6509062253743,237.33018124507487,237.65432098765433
