time;interpolated Pixel rightCheek
0;149.15337423312883,129.61104294478528,128.72711656441717
0.015;149.13103640021728,129.59294888891316,128.7127879999876
0.045;149.0863607343942,129.55676077716893,128.68413087112842
0.075;149.0416850685711,129.5205726654247,128.65547374226924
0.105;148.99700940274803,129.48438455368048,128.62681661341006
0.135;148.95233373692494,129.44819644193626,128.59815948455088
0.165;148.90765807110185,129.41200833019204,128.5695023556917
0.195;148.86298240527876,129.3758202184478,128.54084522683252
0.225;148.81830673945566,129.3396321067036,128.51218809797334
0.255;148.7736310736326,129.30344399495934,128.48353096911416
0.285;148.7289554078095,129.2672558832151,128.45487384025498
0.315;148.68427974198642,129.2310677714709,128.42621671139582
0.345;148.63960407616332,129.19487965972667,128.39755958253664
0.375;148.59492841034023,129.15869154798244,128.36890245367746
0.405;148.55025274451717,129.12250343623822,128.34024532481828
0.435;148.50557707869407,129.086315324494,128.3115881959591
0.465;148.46090141287098,129.05012721274977,128.28293106709992
0.495;148.4162257470479,129.01393910100552,128.25427393824074
0.525;148.3715500812248,128.9777509892613,128.22561680938156
0.555;148.32687441540173,128.94156287751707,128.19695968052238
0.585;148.28219874957864,128.90537476577285,128.1683025516632
0.615;148.23752308375555,128.86918665402862,128.13964542280405
0.645;148.19284741793246,128.8329985422844,128.11098829394487
0.675;148.14817175210936,128.79681043054018,128.0823311650857
0.705;148.1034960862863,128.76062231879595,128.0536740362265
0.735;148.0588204204632,128.7244342070517,128.02501690736733
0.765;148.0141447546401,128.68824609530748,127.99635977850815
0.795;147.96946908881702,128.65205798356325,127.96770264964897
0.825;147.92479342299393,128.61586987181903,127.93904552078979
0.855;147.88011775717086,128.5796817600748,127.91038839193062
0.885;147.83544209134777,128.54349364833058,127.88173126307144
0.915;147.79076642552468,128.50730553658636,127.85307413421226
0.945;147.7460907597016,128.47111742484213,127.82441700535308
0.975;147.7014150938785,128.43492931309788,127.7957598764939
1.005;147.65673942805543,128.39874120135366,127.76710274763474
1.035;147.61206376223234,128.36255308960943,127.73844561877556
1.065;147.56738809640925,128.3263649778652,127.70978848991638
1.095;155.01272060888854,134.83603361904386,134.24061545924724
1.125;162.4580531213678,141.3457022602225,140.77144242857813
1.155;169.9033856338471,147.85537090140116,147.302269397909
1.185;177.3487181463264,154.36503954257984,153.83309636723988
1.215;180.5553080172526,157.1303070697619,156.53259211243383
1.245;180.5205064564029,157.0322090391819,156.3022463332878
1.275;180.4857048955532,156.9341110086019,156.0719005541418
1.305;180.43098447993384,156.83938961670907,155.8657404925158
1.335;180.27666979046606,156.7615514182521,155.7805090184902
1.365;180.1223551009983,156.68371321979518,155.69527754446457
1.395;179.96804041153052,156.60587502133825,155.61004607043895
1.425;180.4528003375695,157.12280244333706,156.1995662880203
1.455;181.09732891748513,157.78842127044982,156.95777442850337
1.485;181.74185749740076,158.45404009756257,157.71598256898645
1.515;182.65311263373536,159.31861622041785,158.61925746004272
1.545;183.9644576046984,160.48162828688695,159.74013247695876
1.575;185.05318829948638,161.4453883558668,160.66110138722826
1.605;185.02884761339922,161.41288843740045,160.58253976426505
1.635;185.00450692731206,161.38038851893413,160.50397814130187
1.665;185.25090134445182,161.64244334516223,160.75862859603515
1.695;185.55144278223696,161.96340912032926,161.0799214663077
1.725;185.8519842200221,162.28437489549626,161.40121433658027
1.755;185.6447578004303,162.09051266313534,161.24121827931054
1.785;184.6758795947731,161.12440841948253,160.35928883072737
1.815;183.70700138911587,160.15830417582973,159.4773593821442
1.845;182.73812318345867,159.19219993217692,158.595429933561
1.875;181.76924497780146,158.2260956885241,157.71350048497786
1.905;182.60928971172123,159.0741353012174,158.55525980575663
1.935;183.8111190335564,160.28500368517996,159.74175688040782
1.965;185.01294835539153,161.49587206914248,160.92825395505898
1.995;185.35424938600494,161.8136679340531,161.24030734534867
2.025;184.71208951236488,161.11080949147575,160.5529965249395
2.055;184.06992963872483,160.4079510488984,159.8656857045303
2.085;183.41743769942065,159.7066842062657,159.16677835305455
2.115;182.67195716913926,159.01974176313448,158.36350222197953
2.145;181.92647663885785,158.33279932000323,157.5602260909045
2.175;181.18099610857647,157.64585687687202,156.75694995982948
2.205;181.11359753519685,157.55873708281376,156.64094402922888
2.235;181.5647322229774,157.93030519687014,157.05049766369692
2.265;182.01586691075792,158.3018733109265,157.46005129816498
2.295;182.46700159853847,158.67344142498288,157.86960493263302
2.325;183.31424025077914,159.38032017808808,158.62930762329592
2.355;184.1614789030198,160.08719893119329,159.38901031395883
2.385;185.00871755526046,160.7940776842985,160.14871300462173
2.415;187.35718670089136,162.98902178374405,162.4069703286263
