time;Pixel leftCheek
0;234.78733949087632,208.85830141923856,213.71592701058796
1.065;235.18825910931173,209.6378767431399,214.35110211426002
1.198;229.73485741220836,202.9877445203865,206.95121376384634
1.3;228.5541237113402,201.51194939081537,205.4170571696345
1.401;228.9431123648331,201.97649271274096,205.9057357780912
1.503;227.21115258982735,200.50419972001868,204.6343910405973
1.57;227.33879003558718,200.73784104389085,204.35753262158957
1.64;227.5929203539823,200.87849796699354,204.81224587419277
1.743;226.41198589894242,199.5027027027027,203.2086956521739
1.88;227.63474658869396,200.96223196881093,204.75170565302145
1.981;226.6057465850212,199.47056052755534,203.41050400376824
2.082;228.17672413793105,201.2588601532567,205.53568007662835
2.188;227.43705463182897,200.9313539192399,204.80190023752968
2.295;228.3801947280931,201.5440512942294,205.13535977202565
2.396;229.31561222035123,202.64878518162135,206.36901611739236
2.464;229.22865925750767,202.63088200520218,206.2882478127217
2.534;229.55776699029127,203.05388349514564,206.625
2.6;229.60145631067962,202.9257281553398,207.08349514563108
2.668;228.26128492954382,201.70074038691186,205.50991163123956
2.77;227.35209580838324,200.52383233532933,204.4
2.869;227.96362766212013,200.87676477626226,204.7274467575975
2.971;229.64417324718832,203.22158411103135,207.21919119406556
3.039;230.71988458764125,204.15652801154124,208.3327723010339
3.115;228.97069943289225,202.69730623818526,206.38870510396976
3.237;228.7532777115614,202.5911799761621,206.2507747318236
3.339;227.79076343072572,201.63501413760602,204.9703110273327
3.44;229.54123222748814,203.41208530805687,207.01161137440758
3.541;228.9215324255712,202.33833371797832,206.14331871682438
3.612;229.37738039944264,203.06293543892244,207.00766372503483
3.779;228.55839925546766,202.00604932526755,205.78687761749651
3.947;224.7298180121325,198.53359776014932,201.6836210919272
4.114;226.83433874709976,200.4120649651972,203.58561484918795
4.249;228.61406844106463,202.2671102661597,205.75665399239543
4.35;228.04214739816342,201.5104779844596,205.1756534024017
4.484;228.62219598583235,202.3159386068477,205.91971664698937
4.617;229.61556772197096,203.4165674839324,207.15948583670556
4.756;228.29620014160963,202.56525843757376,206.28038706632051
4.891;228.28675949964597,202.17111163559122,205.5780033042247
4.992;228.49369197810046,202.42561294929777,205.88288502737444
5.094;228.9792906450845,202.6703165912878,206.3513449178767
5.194;228.92247324613555,202.807372175981,206.3436385255648
5.307;228.54791914387633,202.3605231866825,206.1714625445898
5.443;228.3126621079934,201.87738740863003,205.3004008488564
5.544;229.12921480782833,202.48431973591133,206.48431973591133
5.644;229.34148681055157,203.2431654676259,206.73333333333332
5.75;226.36299600845268,200.53557173045317,203.82014557407842
5.881;225.7107302183611,199.692416060108,202.8941065977929
5.986;226.17694882831182,199.7314681970349,203.64155906264946
6.087;225.94332855093256,199.4442850310856,202.86370157819226
6.157;228.79316156994943,202.25355164941007,206.12304358295208
6.258;228.26607271851674,201.6318324103058,205.29280038526366
6.363;227.79995236961182,201.22505358418672,205.1050250059538
6.486;229.76366251198465,203.27085330776606,207.2425695110259
6.587;229.9098753595398,203.5790987535954,207.30848513902205
6.687;229.1036036036036,203.20697012802276,206.77003319108582
6.789;229.197109689647,203.08291873963515,206.5662165363658
6.901;228.99096528768425,202.46742748454588,206.05254398478365
7.004;228.84688540180693,202.15216357584404,205.84593437945793
7.105;229.75880114176974,203.0161750713606,206.83920076117982
7.206;229.23572267920093,202.33748531139835,206.12878965922445
7.307;228.49327146171694,201.92064965197216,205.72969837587007
7.445;229.20533642691416,202.8661252900232,206.2538283062645
7.546;228.78900791802516,202.21122496506754,205.84653004191895
7.648;228.80032580870375,202.95112869443798,206.47358622294624
7.75;229.30254257056217,203.62491252624213,207.20830417541404
