time;Pixel rightCheek
0;149.15337423312883,129.61104294478528,128.72711656441717
1.065;147.56738809640925,128.3263649778652,127.70978848991638
1.198;180.5750289017341,157.18589595375724,156.66312138728324
1.3;180.45670359484512,156.85236264978522,155.87994573818676
1.401;179.93717747363698,156.59030738164685,155.59299977563384
1.503;182.12857464535014,158.8534113938302,158.1709074532763
1.57;185.0572450805009,161.45080500894454,160.67419499105546
1.64;185.00045014629754,161.3749718658564,160.49088453747467
1.743;186.0323090826932,162.47695436059647,161.5939900587438
1.88;181.6077652768586,158.06507831458197,157.56651224354732
1.981;185.65392399370361,162.14166854058917,161.56105239487295
2.082;183.49198575244878,159.7753784505788,159.24710596616205
2.188;180.85795454545453,157.3481818181818,156.40886363636363
2.295;182.46700159853847,158.67344142498288,157.86960493263302
2.396;185.3193717277487,161.05326656043707,160.4272706578648
2.464;192.61260426320666,167.9812326227989,167.51251158480073
2.534;187.7116633087083,163.1542422207298,162.42623684799642
2.6;187.65256324154913,163.340944705619,162.37407656145064
2.668;191.36307901907358,166.74000908265214,166.02702089009992
2.77;188.32805530776093,164.34545049063337,163.50691347011596
2.869;188.76325328500226,164.57566832804713,163.85772541912098
2.971;188.94540099682828,164.9157227004984,164.17082011780698
3.039;191.9828178694158,167.49072164948453,166.8831615120275
3.115;191.6406463359126,167.4954483386436,166.81315430131997
3.237;195.94066666666666,171.34666666666666,170.81688888888888
3.339;192.9572819831784,169.17817618415228,167.8937583001328
3.44;185.79336513443192,162.25997398091934,161.60646140503036
3.541;186.81074508069864,162.88945390227724,162.06676984302453
3.612;186.26975417032486,162.39596136962248,161.76646180860405
3.779;189.9219811527504,166.00416392724085,164.83760683760684
3.947;188.79372972972973,164.84583783783785,164.52454054054053
4.114;186.2242102937928,162.55997349237907,161.62425447316105
4.249;185.21614409606406,161.69824327329331,160.39982210362464
4.35;187.7625754527163,163.63156718086296,162.66398390342053
4.484;186.16098864395457,162.48964595858382,161.74126029837453
4.617;186.3632507256084,162.56441169903997,161.67626702388927
4.756;187.35147849462365,163.06608422939067,161.98499103942652
4.891;187.30331541218638,163.40837813620072,162.6211917562724
4.992;188.96865970215603,164.97977328295175,163.64858857523893
5.094;188.4752167148255,164.71126917092687,163.94954434318737
5.194;186.01621141461248,162.57739284921163,161.79080612924716
5.307;186.7508327781479,163.26027093049078,162.05707306240285
5.443;189.70869662418957,165.8128772635815,165.03398166778447
5.544;188.7359713838587,164.57478202548626,163.6007154035323
5.644;184.28555304740405,160.88871331828443,159.8512415349887
5.75;192.818100956193,168.9328441183011,168.160996219702
5.881;195.81343117633978,171.57505003335558,170.972426061819
5.986;190.75831287659005,166.8716804284758,165.871903592948
6.087;191.05355947333186,166.88931042178086,165.9444320464182
6.157;184.7191364965145,160.9154486170452,160.41960872498314
6.258;187.12840116932765,163.04677310546435,162.5504834720036
6.363;189.73928980526918,165.80847651775485,165.45910652920963
6.486;182.33573519477596,158.93740148615177,158.07700968250393
6.587;182.0965998648953,158.80094573294303,158.1076334158973
6.687;184.39737793851717,160.4873417721519,159.62160940325498
6.789;185.1382760973391,161.79713440982488,160.59790766431658
6.901;182.9791902284551,159.677900927392,159.1859307848903
7.004;182.0511196561864,158.98914272788963,158.32707532232527
7.105;185.91859925788498,161.77574211502784,161.08209647495363
7.206;187.08047016274864,163.23530741410488,162.5110759493671
7.307;185.5241758241758,162.02967032967032,161.0553846153846
7.445;185.85054945054944,162.38087912087911,161.29164835164835
7.546;185.99276157051986,162.25663522702348,161.62250493529282
7.648;188.14771968854282,164.31123470522803,163.6004449388209
7.75;186.00587339569284,162.38307591907767,161.72634326734828
7.851;190.31483126110123,166.18627886323267,165.74800177619895
7.921;189.23643670462155,164.9803527573119,164.35744585845055
8.026;189.51039363113665,165.63688633348076,165.10858027421494
8.142;190.4453781512605,166.4186200796108,165.8843432109686
8.276;191.6529093369418,167.4192602616148,166.70365358592693
8.377;186.21607929515417,162.684140969163,162.02621145374448
8.479;193.17627194957225,169.18527690229627,168.20868977937866
8.581;188.83198601704174,164.93227004588158,164.2918942538781
8.682;185.97880244755245,162.38548951048952,161.71503496503496
8.782;187.729010989011,163.9591208791209,162.9021978021978
8.885;188.20021978021978,164.15252747252748,163.1178021978022
8.987;186.0010931351115,162.534980323568,162.0728027984259
9.088;188.45961917268548,164.79689209892754,163.9198949441891
9.189;186.7634035163881,163.27783807249838,162.67332320382027
9.324;186.69306282722513,162.83158813263526,162.05061082024432
9.424;188.0534584333406,164.38228234780712,163.5457124154484
9.525;185.54638058084092,161.59341135674035,161.07997399219767
9.626;185.9037711313394,162.32293021239704,161.40593844820114
9.728;183.1315732989912,159.91500321957503,158.82850397080918
9.828;184.8517391304348,161.31695652173914,160.1195652173913
9.964;181.79261179520415,158.36746597537265,157.66169799092677
10.066;184.27837305926087,160.65799256505576,159.81521976820468
10.167;182.8105126541207,159.38957386978151,158.4964308890331
10.267;187.530276816609,163.39143598615917,162.68598615916954
10.367;187.87651384083046,163.55017301038063,162.66111591695503
10.489;190.8643707482993,166.43792517006804,165.5127551020408
10.625;191.223055496036,166.56117420184273,165.7542318405828
10.726;189.92959554889794,165.59319494971112,164.66680933019472
10.826;187.18533475026567,163.17832093517535,162.03910733262487
10.927;189.23335530652605,164.99648428916723,164.27774115578993
11.029;187.94962486602358,163.8840300107181,162.59957127545553
11.129;187.88336267605635,163.42077464788733,162.2293133802817
11.262;185.26625320786997,161.3562874251497,160.34281437125748
11.398;187.2851148409894,163.01015901060072,162.32950530035336
11.5;186.23692775005424,162.3697114341506,161.07029724452158
11.6;188.90050963882118,164.60137380899624,163.72590294704187
11.701;185.2235092235092,161.43672243672245,160.33697983697985
11.803;188.57530255490812,164.4251456745854,163.3646346929628
11.875;183.57684969260123,160.25397498410007,159.22874708501166
11.946;190.60018132366272,166.25815956482322,165.53603807796918
12.049;184.9834728482507,161.1047435071904,160.2369607211848
12.151;191.00827185334228,166.26179298010283,165.57813547954393
12.286;187.19011489269457,163.0279644482983,161.78127032300023
12.385;188.62618679620226,164.47538087878118,163.07860454846545
12.487;186.08537886872998,162.35346851654216,161.51163287086447
12.587;189.7441604230939,165.55839576906126,164.26751873071836
12.689;186.71643394199785,162.75832438238453,161.5076262083781
12.79;189.3829078801332,165.2801331853496,163.9165371809101
12.896;187.94111349036402,163.5558886509636,162.82612419700214
13.032;190.71513680494263,166.4724183583407,165.295013239188
13.133;187.4299424184261,163.3145660055449,162.1955640861591
13.234;189.06200353045014,164.77824360105913,163.5278022947926
13.336;185.85897162363986,161.92105824621294,160.81416684446341
13.437;188.516592920354,164.8146017699115,163.65530973451328
13.545;186.07268862911795,162.4595111583422,161.05547290116897
13.68;191.1256135653726,167.04127621597502,165.7623828647925
13.782;186.10499359795134,162.33845497225778,161.33269312846778
13.893;188.79607150739352,164.38931803133966,163.35709556389318
13.995;185.57924888605984,161.9072777424146,160.6104392106938
14.096;189.55420353982302,165.42212389380532,164.21327433628318
14.196;185.6465590484282,162.02612574341546,160.65845369583687
14.262;185.0877230246389,162.02209005947324,160.85896346644012
14.33;188.01318681318682,164.1410989010989,163.29538461538462
14.431;185.28013510660756,161.58581380620646,160.5423263668989
14.532;188.12278397898885,164.15101772816809,162.93893630991465
14.599;185.02393952120957,160.92335153296935,159.98992020159596
14.701;186.2064049133582,162.70607589383636,161.71792059662206
14.769;184.05081898362033,160.44204115917682,159.28265434691306
14.84;183.71377572448552,160.11591768164638,159.35279294414113
14.941;186.30890741553313,162.42738043001316,161.13317244405442
15.041;185.5763609404787,161.83012073713198,160.41220080491422
15.141;187.05791083916083,162.94973776223776,161.61013986013987
15.209;185.8989123480486,162.4205587545319,161.30240989550012
15.309;188.69770013268464,164.54732419283502,163.71605484298982
15.376;188.2205016357688,164.22769901853871,163.81003271537622
15.478;188.65801526717559,164.52344601962923,163.7339149400218
15.578;189.491414369634,165.2112516945323,164.25282422051515
15.68;187.27740684902002,163.26599181563645,162.18113288821883
15.747;189.10865724381625,164.79593639575972,163.96532685512366
15.815;185.996138996139,161.9997854997855,161.01694551694553
15.916;187.64720194647202,163.56204379562044,162.49303251493032
16.051;186.41969243912857,162.63092695429305,161.02584365655702
16.117;186.00747543784706,162.33938487825716,161.2206322084579
16.185;187.22684475585723,163.47624261002846,162.21742938471644
16.252;187.61092077087795,163.6967880085653,162.5306209850107
16.353;186.72904782799475,162.64370337867487,161.26151820974113
16.454;185.68835324232083,161.68643344709898,160.87585324232083
16.554;189.48202866593164,165.2952590959206,164.109592061742
16.655;186.97865983781477,162.9167733674776,162.07020913358943
16.727;187.38625693555272,163.06295347844645,162.3299189073837
16.837;189.20184696569922,164.85026385224273,163.95668425681617
16.938;187.32735042735044,163.3613247863248,162.25064102564102
17.04;187.1381970465065,163.07361692748512,162.01895525677762
17.108;186.33015873015873,162.4831746031746,161.41164021164022
17.176;187.2826468010517,163.1498685363716,162.1262050832603
17.242;185.48699513639247,161.74497779657432,160.80735884965108
17.309;185.71220131105943,161.6923239585536,160.9149925988581
17.376;187.86105032822758,163.5785557986871,162.5019693654267
17.447;186.19970382906706,162.00338481066214,160.84768352020308
17.549;186.9867218110579,162.60230735742272,162.03678711362647
17.65;187.02305721605467,162.93189581554228,161.79056362083688
17.752;187.22807399347116,163.0742110990207,162.40544069640913
17.822;185.9995737425405,161.9386189258312,160.82693947144074
17.889;185.7802642796249,161.87510656436487,161.18606138107418
17.957;188.16586643387168,163.6012658227848,162.400480139677
18.058;186.12425277540564,161.8603757472246,161.09906063193853
18.125;187.2859025032938,162.89240228370664,161.97957839262187
18.261;185.00891530460623,161.07323285926554,160.30290808745488
18.328;184.8301845819761,160.85038002171552,159.67774158523343
18.428;187.29466207490313,162.78390012914335,162.24149806284976
18.529;186.86224709427464,162.36418424451142,161.30111924235902
18.596;187.58067356372442,162.9700638344706,162.36099493726613
18.663;186.43874278383578,161.80179602309173,160.8434894162925
18.732;187.7307946290997,163.4816200748404,162.5445740699978
18.868;185.44574717544234,161.3071839693029,160.48497122148797
18.969;186.2022373327484,161.93441544198288,160.83461285369597
19.07;186.3526023890785,162.1160409556314,161.06548634812287
19.136;186.73485494880546,162.0494880546075,161.00511945392492
19.203;186.22108695652173,161.8036956521739,160.56673913043477
19.27;186.55353319057815,161.90235546038545,161.04304068522484
19.369;186.23108876257106,161.83843463052034,161.0277656318321
19.444;185.8684153945388,161.57815523543323,160.59578585250483
19.58;187.04006129597198,162.75634851138355,161.6624343257443
19.647;187.47039897039897,163.02938652938653,162.02595452595452
19.714;187.38288288288288,162.99270699270699,161.72758472758474
19.781;187.68171854449804,163.40925032880315,162.24112231477423
19.882;186.98987287222582,162.76427494074554,161.5897435897436
19.983;186.59546925566343,162.6623516720604,161.72189859762676
20.084;187.67078993055554,163.14887152777777,161.75716145833334
20.153;188.53957612456747,163.66976643598616,162.66803633217992
20.232;188.18995633187774,163.60174672489083,162.42663755458514
20.333;187.73646288209608,163.52248908296943,162.27751091703055
20.401;187.6969501718213,163.15141752577318,161.88981958762886
20.494;189.67365661861075,164.94648318042815,163.6389252948886
20.596;187.72970062459618,163.4469093258669,162.16842558690502
20.699;185.94889562581204,161.84603724556084,160.5320485058467
20.765;186.32565647869134,162.23611708996987,160.87128712871288
20.835;188.06106213717482,163.7486562029671,162.5166630832079
20.937;188.6007310255859,164.1778112233928,162.586110513868
21.038;188.14202711426728,163.86442866365397,162.6578437701743
21.21;187.51803349076857,163.17625590382139,161.975740661228
21.382;187.695737277077,163.28969117007395,161.9976076555024
21.516;188.98159246575344,164.7435787671233,163.27739726027397
21.65;186.8048780487805,162.55039930930283,161.01575652924672
21.755;188.53535135135135,164.70702702702704,163.05794594594596
21.855;189.10486486486485,164.66594594594594,163.6797837837838
21.955;189.11041756349547,164.93542832544125,163.53422298751613
22.056;187.97863616745792,163.49093655589124,162.27168752697455
22.157;186.373795761079,162.11004067651467,160.70306144294582
22.427;188.11288581912368,163.92229656809843,162.52795165119792
22.561;188.0525522291622,163.93172517768684,162.50312298083136
22.695;187.08460055686442,163.03062754337117,161.2463054187192
22.796;189.50394910048266,164.8106625713032,163.523694602896
22.904;188.28763849663264,163.50097762328915,161.8996306756463
23.005;187.04250217959896,162.08587619877943,160.22362685265912
23.139;185.6145227321698,161.13962508080155,159.56690368455074
23.24;187.06312364425162,162.30130151843818,160.46681127982646
23.307;186.22318152385063,161.32916037124974,159.46578890567667
23.373;185.75415497517807,161.30843945607597,159.26052233973667
23.44;188.33122132401135,163.66528293642125,161.68582040637972
23.508;186.31528593172428,161.83474668406174,160.07697325505544
23.574;187.1849860184986,162.62508066250805,160.67778016777802
23.643;187.07377930737792,162.3697569369757,160.81996128199611
23.778;187.18417080008626,162.59542807849903,160.99072676299332
23.879;188.31856077226854,163.55726195699867,161.6520403685827
23.981;186.82150537634408,162.30236559139786,160.22043010752688
24.081;186.58129032258066,162.04387096774192,160.28279569892473
24.182;187.31393336218088,162.5417568152315,160.73647771527476
24.252;186.70955165692007,162.27615334632878,160.27550357374918
24.32;188.36774334351813,163.6625927542558,161.84024443474465
24.386;187.33376651505307,162.3019276586528,160.49880875027074
24.467;188.38805646036917,163.64364820846905,161.80456026058633
24.571;187.70541125541126,163.15,161.30714285714285
24.643;187.80800865800865,163.12467532467534,161.10714285714286
24.708;189.8745889059417,164.58188993641744,162.7535628151721
24.774;187.22959621993127,162.71971649484536,160.96756872852234
24.875;189.72968236582693,164.82146768893756,163.28346111719605
24.977;187.2645479922697,162.51363538758858,160.91196048958557
25.079;190.69079378963482,165.05138858517384,163.10955609009403
25.179;186.39791578051893,161.9849000425351,160.4732028923862
25.246;186.40876222883878,162.02594640578477,160.33432581880052
25.348;190.39300918664574,165.177010979162,163.47725745014563
25.415;185.02073882047958,160.55152300712896,158.44307625837115
25.483;192.81259913890779,167.31248583729888,165.3757081350555
25.55;185.94189536878216,161.3589193825043,159.72191252144083
25.651;194.25848679831373,168.56512092300866,166.90259596183714
25.721;187.22647185217016,162.50966910184786,160.63751611516975
25.793;187.38998710786421,162.2359260850881,160.82595616673828
25.861;189.09201235657545,164.08715798764342,162.06023830538393
25.962;190.49603939199315,165.18218796831513,163.415970884179
26.061;188.92339409722223,163.70855034722223,161.99609375
26.164;191.36102719033232,166.1012084592145,164.4596460940872
26.298;188.70157513835676,163.57237122179652,161.7820349084717
26.367;191.24120819848974,165.9831715210356,164.17454153182308
26.483;189.34387689677283,164.00897627698225,162.73434494550116
26.55;190.58220502901355,165.17171717171718,163.52654201590371
26.617;189.3723313407344,164.06831767719896,162.66994022203244
26.683;190.25799527795664,164.8521141875939,163.13243185232884
26.767;189.8899613899614,164.3009438009438,162.55791505791507
26.868;188.66077512776832,163.21124361158434,161.5442930153322
27.004;190.14442295293358,164.91360412637007,163.0909090909091
27.106;190.5121531512153,165.3357711335771,163.63174876317487
27.208;189.33240701154338,164.1248396750748,162.19495510902095
27.309;190.14441825583887,165.2176987358046,163.39361474180416
27.411;188.5445819112628,163.5844709897611,162.07636518771332
27.512;190.6420042643923,165.10319829424307,163.6226012793177
27.612;190.23901918976546,164.52985074626866,163.17526652452025
27.679;187.1439019143902,162.23338352333835,160.39040653904064
27.746;188.6589644843817,163.3780487804878,161.88104407359864
27.813;189.82375726275015,164.34366257800733,162.70023671185712
27.886;190.0442402222697,164.33404573626842,162.48065826031203
27.985;188.13679245283018,163.1503001715266,161.20475986277873
28.087;188.18479184367035,162.98449447748513,161.6195836873407
28.187;187.61646458200383,162.63263135503084,160.99893639651137
28.288;190.88573273079405,165.58058962771682,163.77706046911987
28.389;189.77578857630007,164.62936913895993,162.85294117647058
28.493;190.31750106974755,164.88682071031238,163.09649122807016
28.602;187.71599402092676,162.7057441810805,160.82340380098228
28.668;189.83776878858845,164.37960400255483,162.96210347030018
28.734;189.54566744730678,164.27954013199914,162.41856504151585
