Count;Frequencies forehead
30.245;74.21875
30.687;74.21875
31.197;74.21875
31.656;74.21875
32.146;74.21875
32.636;74.21875
33.083;74.21875
33.585;74.21875
34.063;74.21875
34.534;74.21875
35.017;74.21875
35.509;74.21875
35.988;74.21875
36.509;74.21875
36.93;74.21875
37.455;74.21875
37.892;74.21875
38.419;74.21875
38.867;74.21875
39.332;74.21875
39.827;74.21875
40.284;74.21875
40.797;74.21875
41.269;74.21875
41.727;74.21875
42.213;74.21875
42.686;74.21875
43.166;74.21875
43.674;74.21875
44.148;74.21875
44.622;74.21875
45.096;74.21875
45.584;74.21875
46.06;74.21875
46.565;74.21875
47.045;74.21875
47.523;74.21875
47.996;74.21875
48.5;74.21875
48.974;74.21875
49.421;74.21875
49.886;74.21875
50.393;74.21875
50.852;74.21875
51.324;74.21875
51.818;74.21875
52.295;74.21875
52.779;74.21875
53.266;74.21875
53.737;74.21875
54.27;74.21875
54.693;74.21875
55.193;74.21875
55.677;74.21875
56.135;74.21875
56.623;74.21875
57.122;74.21875
57.598;74.21875
58.051;74.21875
58.56;74.21875
59.055;74.21875
59.55;74.21875
59.998;74.21875
60.46;74.21875
60.94;74.21875
61.45;74.21875
61.883;74.21875
62.375;74.21875
62.865;74.21875
63.356;74.21875
63.827;74.21875
64.33;82.03125
64.826;82.03125
65.3;82.03125
65.743;82.03125
66.204;82.03125
66.715;82.03125
67.19;82.03125
67.692;82.03125
68.127;82.03125
68.618;82.03125
69.101;82.03125
69.589;82.03125
70.068;82.03125
70.524;82.03125
71.017;82.03125
71.52;82.03125
72.005;82.03125
72.469;82.03125
72.955;82.03125
73.428;82.03125
73.92;82.03125
74.389;82.03125
74.843;82.03125
75.355;82.03125
75.807;82.03125
76.303;82.03125
76.775;82.03125
77.253;82.03125
77.742;82.03125
78.208;78.12500000000001
78.684;78.12500000000001
79.175;78.12500000000001
79.648;78.12500000000001
80.145;78.12500000000001
80.607;78.12500000000001
81.099;78.12500000000001
81.593;78.12500000000001
82.074;78.12500000000001
82.535;78.12500000000001
83.013;78.12500000000001
83.504;78.12500000000001
83.963;78.12500000000001
84.447;78.12500000000001
84.925;78.12500000000001
85.454;78.12500000000001
85.915;78.12500000000001
86.393;78.12500000000001
86.883;78.12500000000001
87.323;78.12500000000001
87.858;78.12500000000001
88.31;78.12500000000001
88.8;78.12500000000001
89.293;78.12500000000001
89.745;78.12500000000001
90.224;78.12500000000001
90.683;78.12500000000001
91.177;78.12500000000001
91.665;78.12500000000001
92.133;78.12500000000001
92.61;78.12500000000001
93.084;78.12500000000001
93.586;78.12500000000001
94.07;78.12500000000001
94.554;78.12500000000001
95.022;78.12500000000001
95.508;78.12500000000001
96.009;78.12500000000001
96.451;78.12500000000001
96.96;82.03125
97.408;82.03125
97.932;82.03125
98.39;82.03125
98.871;82.03125
99.349;82.03125
99.829;82.03125
100.317;82.03125
100.826;82.03125
101.25;82.03125
101.741;82.03125
102.214;82.03125
102.73;82.03125
103.233;82.03125
103.68;82.03125
104.187;82.03125
104.631;82.03125
105.083;82.03125
105.573;82.03125
106.099;82.03125
106.524;82.03125
107.016;82.03125
107.526;82.03125
107.98;82.03125
108.467;82.03125
108.943;82.03125
109.413;82.03125
109.896;82.03125
110.385;82.03125
110.845;82.03125
111.324;82.03125
111.827;82.03125
112.296;82.03125
112.824;82.03125
113.248;82.03125
113.727;78.12500000000001
114.219;78.12500000000001
114.704;78.12500000000001
115.18;78.12500000000001
115.703;78.12500000000001
116.15;78.12500000000001
116.621;78.12500000000001
117.106;78.12500000000001
117.587;78.12500000000001
118.063;78.12500000000001
118.585;78.12500000000001
119.014;78.12500000000001
119.503;78.12500000000001
119.989;82.03125
120.45;82.03125
120.93;82.03125
121.474;82.03125
121.91;82.03125
122.366;82.03125
122.875;82.03125
