time;Pixel leftCheek
0;183.71156971075723
0.966;183.56884406019853
1.033;183.98366954851105
1.1;183.482261461202
1.167;181.82074554294977
1.243;181.53688989784337
1.31;181.0498623927473
1.376;181.46658014276443
1.444;181.46658014276443
1.478;181.44258567484164
1.544;181.6225832656377
1.611;181.6225832656377
1.679;181.70006548788473
1.746;181.07449246889325
1.813;180.8552996896946
1.881;181.1102146199774
1.948;181.1102146199774
1.984;181.45925805929045
2.05;181.45925805929045
2.117;182.80722501214967
2.153;182.57755400357317
2.189;182.82458989767744
2.29;181.30618205419438
2.325;181.50251500892423
2.358;180.70512611879576
2.425;180.70512611879576
2.462;181.55718954248366
2.499;181.55718954248366
2.534;181.11593021359857
2.573;180.96657427034077
2.64;180.98484107579463
2.712;181.04058679706603
2.797;181.09459901800327
2.862;180.88216039279868
2.929;180.77486142810565
2.996;181.29843363561417
3.063;181.88035305655444
3.129;181.88035305655444
3.164;181.59355904211395
3.231;181.45485714285715
3.298;180.8422857142857
3.332;181.00264200792603
3.399;181.07414134742405
3.433;180.7263364394311
3.47;180.7263364394311
3.506;181.11438931926818
3.542;181.19581341684523
3.609;180.55726691790923
3.689;180.9343125928371
3.756;180.9343125928371
3.79;181.03402926187735
3.858;181.03402926187735
3.926;180.79911228012494
3.964;180.8609022556391
4.032;180.94083033671134
4.068;181.12524557956777
4.134;180.43189259986903
4.168;180.5254515599343
4.205;180.5254515599343
4.246;180.69261083743842
4.28;181.2173769952279
4.314;181.2173769952279
4.38;180.3513777922713
4.415;180.3513777922713
4.449;180.37288414133116
4.484;180.1102711585867
4.519;180.1102711585867
4.553;179.80219240837695
4.621;180.29712041884818
4.655;180.40979551451187
4.725;180.26071428571427
4.795;180.26071428571427
4.862;180.37460840890355
4.928;180.25426759876441
4.995;179.86181108762804
5.063;179.82638087386644
5.099;179.36850783182192
5.171;179.34058207979072
5.205;179.75343361674297
5.239;179.32739748407124
5.273;179.32739748407124
5.307;179.82213047068538
5.374;179.8916597853014
5.408;179.39986974926734
5.448;179.627808531423
5.515;180.27334662678632
5.549;180.27334662678632
5.587;180.3317065235074
5.619;180.3317065235074
5.652;180.3317065235074
5.687;180.9364114360828
5.72;180.7509037134407
5.788;180.2276382734285
5.86;180.59081967213115
5.926;180.59081967213115
6;180.1008084474509
6.067;180.3271737337073
6.102;180.2882882882883
6.168;180.34987714987716
6.204;180.32976092333058
6.239;180.32976092333058
6.304;180.32976092333058
6.371;180.2236342630797
6.408;180.38768773725036
6.475;180.6412935323383
6.509;180.6412935323383
6.543;181.1425500248057
6.577;181.1425500248057
6.611;181.45773366418527
6.682;181.55246357832706
6.749;181.55246357832706
6.821;180.4121421520237
6.889;180.4121421520237
6.956;179.46618037135278
7.024;178.82226271326817
7.089;178.82226271326817
7.125;179.25829892650702
7.193;179.46424442609413
7.26;179.35713124085217
7.293;179.35713124085217
7.327;179.9073919572835
7.361;179.9073919572835
7.404;179.1288524590164
7.472;179.1288524590164
7.509;180.35150812064964
7.543;180.35150812064964
7.576;179.91800297569847
7.611;179.91800297569847
7.654;180.04787759131293
7.688;180.04787759131293
7.762;180.2107638308541
7.829;180.2107638308541
7.864;179.59267772122803
7.931;178.945108169196
7.997;178.6251210849209
8.123;179.95387945387947
8.189;179.99690402476782
8.223;180.20482320351962
8.259;179.67007926023777
8.293;179.67007926023777
8.328;179.85367851876126
8.364;179.1650008192692
8.402;179.77442983186282
8.478;178.91210254702847
8.515;178.49813463098135
8.549;178.49813463098135
8.584;178.42968369829683
8.651;179.25728959575878
8.718;179.78528827037772
8.752;179.54546922952673
8.819;179.54546922952673
8.853;179.45926047120417
8.89;179.45926047120417
8.957;179.10560519902518
9.024;179.51661184210528
9.09;179.36118421052632
9.127;179.3489320071743
9.194;179.59367356921572
9.261;179.32667203867848
9.295;179.32667203867848
9.329;178.97984676882078
9.395;178.97984676882078
9.428;178.16366508688785
9.494;178.16366508688785
9.529;179.0572607260726
9.597;179.1825082508251
9.63;178.84760827407885
9.664;178.9967679379444
9.731;179.24341463414635
9.765;179.24341463414635
9.803;179.3950097213221
9.836;179.3950097213221
9.906;179.41684278979028
9.974;179.63680702324825
10.008;180.18800461361016
10.075;179.98088647223597
10.142;179.66178623718886
10.193;179.36310395314788
10.26;179.9793915603533
10.327;179.59154929577466
10.36;179.59154929577466
10.394;180.33786439567638
10.427;179.1789235493777
10.461;179.1789235493777
