time;interpolated Pixel rightCheek
0;207.0044011317196
0.023;207.02283453833405
0.053;207.046878112179
0.083;207.07092168602395
0.113;207.09496525986887
0.143;207.11900883371382
0.173;207.14305240755877
0.203;207.16709598140372
0.233;207.19113955524867
0.263;207.21518312909362
0.293;207.23922670293857
0.323;207.26327027678352
0.353;207.28731385062844
0.383;207.31135742447339
0.413;207.33540099831833
0.443;207.35944457216328
0.473;207.38348814600823
0.503;207.40753171985318
0.533;207.43157529369813
0.563;207.45561886754305
0.593;207.479662441388
0.623;207.50370601523295
0.653;207.5277495890779
0.683;207.55179316292285
0.713;207.5758367367678
0.743;207.59988031061275
0.773;207.6239238844577
0.803;207.64796745830262
0.833;207.67201103214757
0.863;207.69605460599252
0.893;207.72009817983746
0.923;207.7441417536824
0.953;207.76818532752736
0.983;207.79587030821523
1.013;207.8263398941359
1.043;207.7776777287533
1.073;207.57075206076408
1.103;207.4946359789101
1.133;208.59580617227323
1.163;209.69697636563637
1.193;210.01175656583592
1.223;210.20555369016415
1.253;210.3571335923212
1.283;210.42427905013582
1.313;210.5211871044839
1.343;210.88595852763294
1.373;211.250729950782
1.403;211.2872070930969
1.433;211.2872070930969
1.463;211.36588901910642
1.493;211.3929240698604
1.523;211.32275955135339
1.553;211.27364438839848
1.583;211.27364438839848
1.613;211.27479615341787
1.643;211.29207262870852
1.673;211.3093491039992
1.703;211.1302951073384
1.733;210.90215849268975
1.763;210.71235803778362
1.793;210.5518734697394
1.823;210.40562238612299
1.853;210.28783827136203
1.883;210.17790643091848
1.913;210.17790643091848
1.943;210.17790643091848
1.973;209.98453278761036
2.003;209.89944838455477
2.033;209.89944838455477
2.063;209.81917598767393
2.093;209.63393199487197
2.123;209.48920478536473
2.153;209.50654470903643
2.183;209.39457498817222
2.213;209.56891308670072
2.243;209.81482814007742
2.273;210.0607431934541
2.303;210.35403313416623
2.333;210.7347450605356
2.363;211.11037423022265
2.393;211.11037423022265
2.423;211.11037423022265
2.453;210.68732342724812
2.483;210.5513428120063
2.513;210.44136917802155
2.543;210.21294809412845
2.573;210.00141265107519
2.603;209.98973037106325
2.633;209.9780480910513
2.663;209.9284750602536
2.693;209.86737006182543
2.723;209.85184614464387
2.753;209.91505318597922
2.783;209.97826022731456
2.813;210.23746666504303
2.843;210.6681725746155
2.873;211.09643415856158
2.903;211.5204737255166
2.933;211.86313681546116
2.963;211.67685280483755
2.993;211.4905687942139
3.023;211.4371797085218
3.053;211.39855672559983
3.083;211.3856823979592
3.113;211.3856823979592
3.143;211.41686628354313
3.173;211.42361879785096
3.203;211.29020775095734
3.233;211.15931814263072
3.263;211.06372867424236
3.293;210.96813920585396
3.323;211.25001228276102
3.353;211.19210072088538
3.383;210.9562132385061
3.413;210.71134789531874
3.443;210.5412640582924
3.473;210.5549231335151
3.503;210.69151388574207
3.533;210.6391225007934
3.563;210.70855142777214
3.593;210.83918820925194
3.623;210.93749401877673
3.653;210.99885014606718
3.683;211.06020627335764
3.713;211.07247749881572
3.743;211.07247749881572
3.773;210.9467609013066
3.803;210.82104430379746
3.833;210.82104430379746
3.863;210.82743158972448
3.893;210.86575530528665
3.923;210.90407902084883
3.953;210.84855257133034
3.983;210.68880831723456
4.013;210.47476458455822
4.043;210.3828864028509
4.073;210.41165556842307
4.103;209.98859534838834
4.133;209.5655351283536
4.163;209.4878159283676
4.193;209.47684744687598
4.223;208.94112072899986
4.253;208.2487097152478
4.283;208.21834891459358
4.313;208.21834891459358
4.343;208.2309482820311
4.373;208.24398211041478
4.403;208.24702333703763
4.433;208.25914208897353
4.463;207.89117740399874
4.493;207.32307204062204
4.523;207.32018153088634
4.553;207.29850270786875
4.583;207.23068886681784
4.613;207.16287502576694
4.643;207.41683172430987
4.673;207.42900703828718
4.703;207.20198978325857
4.733;207.03551046290426
4.763;207.03551046290426
4.793;207.03551046290426
4.823;207.05514324970562
4.853;207.0761783784214
4.883;207.3067184827863
4.913;207.627046433858
4.943;207.74571683000423
4.973;207.66272967122495
5.003;207.67005723057298
5.033;207.925750264771
5.063;208.18144329896907
5.093;207.82260111022998
5.123;207.6932348535502
5.153;207.62123757988525
5.183;207.86792156862745
5.213;208.38313885589355
5.243;208.33037935323384
5.273;208.33037935323384
5.303;208.4186480288106
5.333;208.62444703630044
5.363;208.84832763331536
5.393;209.25209362224845
5.423;209.46692851531816
5.453;209.3780761529414
5.483;209.23616386399118
5.513;209.094251575041
5.543;209.08479075577765
5.573;209.89612963595494
5.603;210.36941064939168
5.633;210.36941064939168
5.663;210.1673896143403
5.693;209.649061233807
5.723;209.30234075172245
5.753;209.3251205225564
5.783;209.34790029339035
5.813;209.3733218829442
5.843;209.39927183624204
5.873;209.4139768097775
5.903;209.4139768097775
5.933;209.3513564369131
5.963;209.08298341035152
5.993;208.81461038378993
6.023;208.71630609245017
6.053;208.66976185096058
6.083;208.93636323449425
6.113;209.32061028402492
6.143;209.4347865733675
6.173;209.59926902691512
6.203;210.01528230148793
6.233;210.02914941064034
6.263;210.2321145881834
6.293;210.48582106011224
6.323;210.4990383842429
6.353;210.373025149122
6.383;210.46721083307995
6.413;210.81171850848395
6.443;210.75634424802655
6.473;210.70096998756912
6.503;210.6972783702053
6.533;210.77532101335868
6.563;210.80783878133926
6.593;210.69912418059468
6.623;210.5084726150982
6.653;210.33760351595114
6.683;210.17243005344233
6.713;210.17243005344233
6.743;210.17243005344233
6.773;210.0694485498748
6.803;209.9407216704154
6.833;209.86348554273977
6.863;209.86348554273977
6.893;209.84036790312047
6.923;209.66698560597567
6.953;209.4936033088309
6.983;209.3845376065215
7.013;209.28261819252714
7.043;209.2452477407292
7.073;209.2452477407292
7.103;209.34160431820024
7.133;209.48353918955067
7.163;209.4479794113035
7.193;209.4124196330563
7.223;209.70915264006933
7.253;210.00588564708238
7.283;210.07512334871876
7.313;210.06292650519805
7.343;210.05438871473353
7.373;210.24656544176318
7.403;210.72700725933728
7.433;210.74302198658975
7.463;210.74302198658975
7.493;210.2242466170425
7.523;209.82898919262556
7.553;209.8950024162566
7.583;210.04683283060803
7.613;210.05232237167803
7.643;210.1346654877281
7.673;210.16485796361314
7.703;210.1104016773289
7.733;210.00148910476042
7.763;209.89620695127758
7.793;209.89620695127758
7.823;209.89620695127758
7.853;210.00021695623693
7.883;210.08790918046657
7.913;210.15110018881913
7.943;210.18695453114717
7.973;210.18180387443843
8.003;210.12345528938212
8.033;209.85231499093535
8.063;209.58117469248862
8.093;209.31003439404188
8.123;209.03889409559514
8.153;208.7198934757017
8.183;208.40089285580828
8.213;208.37944125018427
8.243;209.10840222446663
8.273;209.6774548311076
8.303;209.76710903017113
8.333;209.97752067264264
8.363;209.895177541519
8.393;209.7910183878088
8.423;209.68961557704455
8.453;209.58971646038893
8.483;209.41685840464112
8.513;208.87920565343225
8.543;208.843362136685
8.573;208.83151161485804
8.603;208.77326176253098
8.633;208.68986434702094
8.663;208.63918554282836
8.693;208.63758465561202
8.723;208.6283476410711
8.753;208.58251057827925
8.783;208.58251057827925
8.813;208.58251057827925
8.843;209.00950671870908
8.873;209.18742177722152
8.903;209.21395781658944
8.933;209.27519483051543
8.963;209.34904221822185
8.993;209.47333110105015
9.023;209.59761998387845
9.053;209.56323903285968
9.083;209.52338670825998
9.113;209.34653199469602
9.143;209.2047653187587
9.173;209.13018500758838
9.203;209.08902613341326
9.233;209.12585061222683
9.263;209.16022012578617
9.293;209.16022012578617
9.323;208.57257073523783
9.353;208.44664586583463
9.383;208.44664586583463
9.413;209.0050540591237
9.443;209.4703942201979
9.473;209.4703942201979
9.503;209.3561941544928
9.533;209.0355683575057
9.563;209.1052096370463
9.593;209.1748509165869
9.623;209.22424705514166
9.653;209.44180117775676
9.683;209.4216456601775
9.713;209.23369030095853
9.743;209.12091708542712
9.773;209.16491045646745
9.803;209.32988559786867
9.833;209.32988559786867
9.863;209.4225411673475
9.893;209.52549180010178
9.923;209.6132898459604
9.953;209.68950061948703
9.983;209.75567516120043
10.013;209.71823039472665
10.043;209.27977845847155
10.073;208.84132652221646
10.103;208.9396187626052
10.133;209.07624987275423
10.163;208.82895200311452
10.193;208.41711314213677
10.223;208.42625484692974
10.253;208.43539655172268
10.283;208.69517700022703
10.313;209.0312388055131
10.343;209.18806764797995
10.373;209.31050920211493
10.403;209.67827126513376
10.433;210.13152955896152
10.463;210.13110448913062
10.493;210.12472844166703
10.523;210.11835239420344
10.553;210.11728971962617
10.583;209.95095401548116
10.613;209.8396447350979
10.643;209.84925544606955
10.673;209.8569440148469
10.703;209.8614008516421
10.733;209.92825340356967
10.763;209.99510595549725
10.793;210.00624804748517
10.823;209.88738145771322
10.853;209.7755070202808
10.883;209.7784199129159
10.913;209.78812955503292
10.943;209.75643302376506
10.973;209.1450500651083
11.003;209.19894689607784
11.033;209.32676370367255
11.063;209.40272402124904
11.093;209.56371872838426
11.123;209.74993689464728
11.153;209.77996104795292
11.183;209.834992397946
11.213;210.24012450156343
11.243;210.40827040922812
11.273;210.41842551959098
11.303;210.42519559316622
11.333;210.38175584884848
11.363;210.12111738294197
11.393;209.8604789170355
11.423;209.83441507044483
11.453;209.72877338468192
11.483;209.66634875218566
11.513;209.66634875218566
11.543;209.71260341949278
11.573;209.8978861878555
11.603;210.30092065150873
11.633;210.27353314458415
11.663;210.26349105871182
11.693;210.10957254136554
11.723;209.89287587268188
11.753;209.974695555907
11.783;209.95021450393943
11.813;209.21578294491232
11.843;208.76582256816798
11.873;208.34747010056614
11.903;208.53805645179168
11.933;208.79014055953508
11.963;208.69776321124476
11.993;208.6550362023447
12.023;208.86056089039582
12.053;209.06608557844692
12.083;209.17756463325213
12.113;209.28904368805735
12.143;209.31505546751188
12.173;209.5558276872872
12.203;209.95711472024607
12.233;210.21126317445336
12.263;210.1792410860015
12.293;209.8590202014828
12.323;209.53879931696406
12.353;209.80711883542992
12.383;209.9072327044025
12.413;209.9234131182452
12.443;209.9537513942003
12.473;209.98408967015538
12.503;209.98914604948123
12.533;209.98914604948123
12.563;209.7361703128182
12.593;209.52535719893234
12.623;209.54255611639098
12.653;209.51885810415175
12.683;209.06967925422657
12.713;209.06967925422657
12.743;209.1628423805698
12.773;209.1567810427914
12.803;209.07827688592914
12.833;208.954723890634
12.863;208.938250157928
12.893;209.0715179132699
12.923;209.40468730162462
12.953;209.70707129505274
12.983;209.80935022145798
13.013;209.9116291478632
13.043;210.24187220994725
13.073;210.60718667752033
13.103;210.70135869077916
13.133;210.63017796815953
13.163;210.55259243193288
13.193;210.33066842576372
13.223;209.82006747970945
13.253;209.35273546710053
13.283;209.4911685227262
13.313;209.6296015783519
13.343;209.49561722320817
13.373;209.35280127589326
13.403;209.2396217088389
13.433;209.0435810194636
13.463;208.80867061270197
13.493;208.71296470324282
13.523;208.13872924648786
13.553;208.13872924648786
13.583;208.16640630281512
13.613;208.19961877040782
13.643;207.96875399616368
13.673;207.73357482459522
13.703;207.8450646491198
13.733;207.92215306879646
13.763;207.6896288448423
13.793;208.00075971519644
13.823;208.10603174603173
13.853;208.10603174603173
13.883;208.00691362138298
13.913;207.8813639968279
13.943;207.8813639968279
13.973;207.7321123317141
14.003;207.09246233836927
14.033;206.83660234103132
14.063;206.83660234103132
14.093;206.70693332765126
14.123;206.38276079420106
14.153;206.38276079420106
14.183;206.38276079420106
14.213;206.37438546581475
14.243;205.90364955233323
14.273;205.2923772722659
14.303;205.4291688393182
14.333;205.79476723419455
14.363;205.39145278915487
14.393;205.73140547617217
14.423;206.07135816318947
14.453;206.1166851881251
14.483;206.05031610993342
14.513;206.1509148154547
14.543;206.35987340266965
14.573;206.56883198988461
14.603;206.8572557519926
14.633;206.68128457291814
14.663;206.60959119496854
14.693;206.58280192693928
14.723;206.6438751320938
14.753;206.71065693147884
14.783;206.62741864440466
14.813;206.66200062912867
14.843;206.73942634905202
14.873;206.88017449996835
14.903;207.07632977800353
14.933;207.1919642210997
14.963;207.06489602726458
14.993;207.0799556681444
15.023;207.0799556681444
15.053;207.0799556681444
15.083;206.87654935311681
15.113;206.6112367682982
15.143;206.4695426338256
15.173;206.4895033959593
15.203;206.509464158093
15.233;206.51610472391405
15.263;206.4028635229213
15.293;206.28962232192856
15.323;206.26697408173
15.353;206.26697408173
15.383;206.2714913572832
15.413;206.31666411281492
15.443;206.36183686834664
15.473;206.40700962387837
15.503;206.4521823794101
15.533;206.4973551349418
15.563;206.54866291050732
15.593;206.60533882860238
15.623;206.65155919685168
15.653;206.67338328212747
15.683;206.69447989789407
15.713;206.69447989789407
15.743;206.701900119804
15.773;206.5935513665978
15.803;206.44256515175593
15.833;206.34563775357347
15.863;206.30301602262017
15.893;206.24714847326345
15.923;205.82814185308803
15.953;205.40913523291263
15.983;205.38120145823427
16.013;205.38120145823427
16.043;205.90890195716366
16.073;206.3255076142132
16.103;206.3255076142132
16.133;206.40617766429622
16.163;206.7086903521075
16.193;207.00262271077136
16.223;207.04772552415852
16.253;207.0928283375457
16.283;207.05440362738426
16.313;206.9950970363357
16.343;206.52586747734105
16.373;205.74316741344646
16.403;204.96046734955186
16.433;204.96046734955186
16.463;204.96046734955186
16.493;204.8670049438623
16.523;204.83148924240007
16.553;205.16861354372986
16.583;204.94374311659948
16.613;204.93624743569512
16.643;204.87997196669423
16.673;204.59897728590929
16.703;204.4375695880388
16.733;204.32664785997844
16.763;204.07067464137762
16.793;203.83364908312222
