time;interpolated Pixel leftCheek
0;183.71156971075723
0.023;183.70817148098203
0.053;183.7037390073622
0.083;183.69930653374234
0.113;183.69487406012252
0.143;183.6904415865027
0.173;183.68600911288286
0.203;183.681576639263
0.233;183.67714416564317
0.263;183.67271169202334
0.293;183.6682792184035
0.323;183.66384674478368
0.353;183.65941427116383
0.383;183.654981797544
0.413;183.65054932392417
0.443;183.64611685030434
0.473;183.64168437668448
0.503;183.63725190306465
0.533;183.63281942944482
0.563;183.628386955825
0.593;183.62395448220516
0.623;183.6195220085853
0.653;183.61508953496548
0.683;183.61065706134565
0.713;183.60622458772582
0.743;183.60179211410596
0.773;183.59735964048613
0.803;183.5929271668663
0.833;183.58849469324647
0.863;183.58406221962665
0.893;183.5796297460068
0.923;183.57519727238696
0.953;183.57076479876713
0.983;183.67409828857635
1.013;183.85984104453715
1.043;183.90883252055448
1.073;183.68432143668474
1.103;183.40786522605637
1.133;182.66390287460015
1.163;181.91994052314394
1.193;181.7236370327818
1.223;181.61158875181874
1.253;181.46419922544098
1.283;181.24612720823376
1.313;181.06880410865716
1.343;181.25822126775586
1.373;181.44763842685455
1.403;181.46658014276443
1.433;181.46658014276443
1.463;181.45317146951345
1.493;181.48349421820438
1.523;181.56531130492985
1.553;181.6225832656377
1.583;181.6225832656377
1.613;181.6248621545273
1.643;181.6590454878716
1.673;181.69322882121588
1.703;181.47597963033553
1.733;181.19587230839906
1.763;181.01887639058913
1.793;180.9207303700524
1.823;180.89278717944205
1.853;181.00524964868447
1.883;181.1102146199774
1.913;181.1102146199774
1.943;181.1102146199774
1.973;181.35260589727812
2.003;181.45925805929045
2.033;181.45925805929045
2.063;181.7208038859646
2.093;182.32437117828965
2.123;182.76894651072024
2.153;182.57755400357317
2.183;182.78341724866007
2.213;182.4637801130874
2.243;182.01276788234986
2.273;181.56175565161232
2.303;181.37910572309403
2.333;181.30920861131733
2.363;180.70512611879576
2.393;180.70512611879576
2.423;180.70512611879576
2.453;181.34993087185688
2.483;181.55718954248366
2.513;181.38068581092963
2.543;181.08146345746215
2.573;180.96657427034077
2.603;180.9747534369619
2.633;180.98293260358304
2.663;181.00264873675633
2.693;181.02587612061942
2.723;181.0475766138932
2.753;181.06663975069458
2.783;181.08570288749596
2.813;181.04230643333753
2.843;180.94425783708925
2.873;180.864544144864
2.903;180.8164998323149
2.933;180.80611947034495
2.963;181.04055478713983
2.993;181.2749901039347
3.023;181.5329384768886
3.053;181.79349941163798
3.083;181.88035305655444
3.113;181.88035305655444
3.143;181.76563545077823
3.173;181.57492744370631
3.203;181.51282211568088
3.233;181.43657142857143
3.263;181.1622857142857
3.293;180.888
3.323;180.9601947537271
3.353;181.02505224866422
3.383;181.0570668782902
3.413;180.9309275617799
3.443;180.7263364394311
3.473;180.7586741794175
3.503;181.08205157928177
3.533;181.17545739245097
3.563;180.9956719768802
3.593;180.70975563407305
3.623;180.62324991102162
3.653;180.76464203911956
3.683;180.9060341672175
3.713;180.9343125928371
3.743;180.9343125928371
3.773;180.98417092735724
3.803;181.03402926187735
3.833;181.03402926187735
3.863;181.01675595439556
3.893;180.91311610950478
3.923;180.80947626461403
3.953;180.84301568377975
3.983;180.88323510182104
4.013;180.9184974905294
4.043;180.99717943869524
4.073;181.0727188386815
4.103;180.7575583933639
4.133;180.44239794804628
4.163;180.51169288933647
4.193;180.5254515599343
4.223;180.59883855981417
4.253;180.800650928748
4.283;181.2173769952279
4.313;181.2173769952279
4.343;180.8368621939288
4.373;180.4432261925849
4.403;180.3513777922713
4.433;180.36276350647947
4.463;180.26783894823336
4.493;180.1102711585867
4.523;180.0740265997385
4.553;179.80219240837695
4.583;180.0205430012319
4.613;180.23889359408685
4.643;180.3700278336894
4.673;180.3714603413925
4.703;180.3075683861935
4.733;180.26071428571427
4.763;180.26071428571427
4.793;180.26071428571427
4.823;180.30831182973367
4.853;180.3593091983259
4.883;180.33631815113202
4.913;180.28161778288694
4.943;180.16640420074881
4.973;179.9906774047176
5.003;179.8576428271855
5.033;179.84201185052598
5.063;179.82638087386644
5.093;179.444820005496
5.123;179.35919924781152
5.153;179.3475635177985
5.183;179.48629438695033
5.213;179.65318982082022
5.243;179.32739748407124
5.273;179.32739748407124
5.303;179.76392658990724
5.333;179.84911199576027
5.363;179.8802445246928
5.393;179.61683594163532
5.423;179.4853467925757
5.453;179.6759830161516
5.483;179.96502992452324
5.513;180.25407683289487
5.543;180.27334662678632
5.573;180.31020550892595
5.603;180.3317065235074
5.633;180.3317065235074
5.663;180.52175663888823
5.693;180.9026827592388
5.723;180.72781847344015
5.753;180.49696607343478
5.783;180.2661136734294
5.813;180.35374292575582
5.843;180.5050685085486
5.873;180.59081967213115
5.903;180.59081967213115
5.933;180.54446725898572
5.963;180.34581405979102
5.993;180.14716086059633
6.023;180.17851593377773
6.053;180.2798735246388
6.083;180.30939753008718
6.113;180.2985530985531
6.143;180.32654803563895
6.173;180.34708322952346
6.203;180.33031970740132
6.233;180.32976092333058
6.263;180.32976092333058
6.293;180.32976092333058
6.323;180.29966530325945
6.353;180.2521459031471
6.383;180.27684079524315
6.413;180.40661354285393
6.443;180.5201683764754
6.473;180.63372321009686
6.503;180.6412935323383
6.533;180.99512164466822
6.563;181.1425500248057
6.593;181.29087173745492
6.623;181.47374435389938
6.653;181.51377107818465
6.683;181.55246357832706
6.713;181.55246357832706
6.743;181.55246357832706
6.773;181.17235643622595
6.803;180.69722250859954
6.833;180.4121421520237
6.863;180.4121421520237
6.893;180.3556668218344
6.923;179.93210184541456
6.953;179.50853686899475
6.983;179.2105071835839
