time;Pixel rightCheek
0;207.0044011317196
0.966;207.77860420952683
1.033;207.84665295141636
1.1;207.3845189595738
1.167;209.84379905808478
1.243;210.33475177304965
1.31;210.48470996216898
1.376;211.2872070930969
1.444;211.2872070930969
1.478;211.4280063291139
1.544;211.27364438839848
1.611;211.27364438839848
1.679;211.31280439905734
1.746;210.80329929300865
1.813;210.44488375770996
1.881;210.17790643091848
1.948;210.17790643091848
1.984;209.89944838455477
2.05;209.89944838455477
2.117;209.4857368006304
2.153;209.50654470903643
2.189;209.37218104399938
2.29;210.20009505703422
2.325;210.61454372623575
2.358;211.11037423022265
2.425;211.11037423022265
2.462;210.5513428120063
2.499;210.5513428120063
2.534;210.2764087270444
2.573;210.00141265107519
2.64;209.9753222257152
2.712;209.82867022948759
2.797;210.0077568466044
2.862;210.9409529840114
2.929;211.88797468354431
2.996;211.47194039315156
3.063;211.3856823979592
3.129;211.3856823979592
3.164;211.46364211191906
3.231;211.16569077385662
3.298;210.95220762778922
3.332;211.35722195855087
3.399;210.83040658123716
3.433;210.5412640582924
3.47;210.5412640582924
3.506;210.70517296096477
3.542;210.61710568073627
3.609;210.9088611593745
3.689;211.07247749881572
3.756;211.07247749881572
3.79;210.82104430379746
3.858;210.82104430379746
3.926;210.90791139240505
3.964;210.82436934792955
4.032;210.33920355386323
4.068;210.48216560509553
4.134;209.5514331210191
4.168;209.47684744687598
4.205;209.47684744687598
4.246;208.25658103393593
4.28;208.21834891459358
4.314;208.21834891459358
4.38;208.24702333703763
4.415;208.24702333703763
4.449;208.26991431291654
4.484;207.32307204062204
4.519;207.32307204062204
4.553;207.29850270786875
4.621;207.14479133482
4.655;207.56521739130434
4.725;207.03551046290426
4.795;207.03551046290426
4.862;207.0824889170361
4.928;207.78721040939385
4.995;207.6018724214535
5.063;208.18144329896907
5.099;207.75083267248215
5.171;207.57803921568626
5.205;208.3993725490196
5.239;208.33037935323384
5.273;208.33037935323384
5.307;208.43041718555418
5.374;208.93041718555418
5.408;209.5060487038492
