time;interpolated Pixel forehead
2.764;231.2965627258439,229.26817749012122,231.08800822317878
2.794;231.10567211424356,229.03960699951307,230.868278258335
2.824;231.04861465498388,228.98910639236928,230.7859167591084
2.854;231.06903954707934,229.04169887565226,230.78308437155482
2.884;231.08946443917478,229.0942913589352,230.78025198400127
2.914;231.10988933127024,229.1468838422182,230.77741959644771
2.944;231.13031422336567,229.19947632550117,230.77458720889416
2.974;231.14112128641028,229.21596506778272,230.78657145301918
3.004;231.14457353900423,229.20484506694558,230.80988606254553
3.034;231.14802579159817,229.1937250661084,230.83320067207185
3.064;231.12613462749914,229.15410761410428,230.82132092745704
3.094;230.97752637993506,228.97200290626532,230.63346941213652
3.124;230.828918132371,228.78989819842636,230.445617896816
3.154;230.68030988480695,228.6077934905874,230.2577663814955
3.184;230.6867367076725,228.64281430219145,230.2938723398062
3.214;230.73192229814546,228.7321164936563,230.38596766652475
3.244;230.77710788861842,228.8214186851211,230.4780629932433
3.274;230.8506876875395,228.9252154569366,230.58939642972965
3.304;230.96685879913278,229.0507540992781,230.72958703086763
3.334;231.08302991072603,229.17629274161956,230.86977763200565
3.364;231.19920102231927,229.30183138396106,231.00996823314367
3.394;231.21793167794837,229.3131072934061,231.05665311566383
3.424;231.2171742423846,229.30153065627186,231.08463685446043
3.454;231.21641680682086,229.2899540191376,231.11262059325705
3.484;231.2156593712571,229.27837738200336,231.14060433205364
3.514;231.1942396721615,229.26160605595743,231.14597632180963
3.544;231.14182657776811,229.23704269654397,231.1174306880047
3.574;231.08941348337476,229.2124793371305,231.0888850541998
3.604;231.03700038898137,229.18791597771704,231.06033942039488
3.634;231.10022587449618,229.29487541031247,231.15838506779488
3.664;231.1717112585758,229.41122932805138,231.26547294956666
3.694;231.24319664265548,229.52758324579028,231.37256083133843
3.724;231.31468202673514,229.6439371635292,231.4796487131102
3.754;231.3469318855909,229.6771986842831,231.51145706800645
3.784;231.30071069399887,229.54427541106705,231.3927063691516
3.814;231.25448950240684,229.411352137851,231.27395567029677
3.844;231.20826831081482,229.27842886463492,231.15520497144192
3.874;231.1620471192228,229.14550559141887,231.0364542725871
3.904;231.20952158734224,229.21410937324413,231.06335284235152
3.934;231.28551212580868,229.34404747616892,231.13457945039136
3.964;231.3615026642751,229.47398557909372,231.20580605843122
3.994;231.3970042254122,229.53700142293306,231.2297878154009
4.024;231.32116109889367,229.41598105428727,231.1238462319276
4.054;231.24531797237515,229.2949606856415,231.01790464845425
4.084;231.16947484585663,229.17394031699573,230.91196306498094
4.114;231.0936317193381,229.05291994834997,230.8060214815076
4.144;231.2158799604089,229.25798337811506,230.95371013739458
4.174;231.38765104337705,229.54456775748287,231.16480635312163
4.204;231.46276182795108,229.6703769109932,231.26140900616787
4.234;231.41147068385592,229.58594153838226,231.2082893080161
4.264;231.36017953976076,229.5015061657713,231.15516960986434
4.294;231.3088883956656,229.41707079316035,231.1020499117126
4.324;231.25759725157044,229.33263542054942,231.04893021356085
4.354;231.30267231721726,229.37135816443424,231.10955448917994
4.384;231.35463068355992,229.4188779166402,231.1783033343541
4.414;231.40658904990258,229.46639766884616,231.24705217952825
4.444;231.45854741624527,229.51391742105213,231.3158010247024
4.474;231.48663032322452,229.54641278889696,231.3620308872024
4.504;231.3595227443415,229.48124965839457,231.26188736232038
4.534;231.2324151654585,229.41608652789222,231.16174383743834
