time;interpolated Pixel leftCheek
1.234;214.2431964435714,204.82003005728654,207.72811721539207
1.264;214.36602065143865,204.98055832412953,207.90448170155196
1.294;214.4888448593059,205.1410865909725,208.08084618771187
1.324;214.59734370138648,205.28437084321007,208.237197450667
1.354;214.65877348445363,205.37099619031554,208.327790980235
1.384;214.7202032675208,205.45762153742103,208.41838450980302
1.414;214.78163305058797,205.54424688452653,208.50897803937104
1.444;214.84306283365513,205.630872231632,208.59957156893904
1.474;214.84310249184855,205.64027289562594,208.6771788228857
1.504;214.82445819899343,205.6261703951946,208.75083373207804
1.534;214.80581390613833,205.61206789476327,208.8244886412704
1.564;214.7871696132832,205.59796539433194,208.89814355046272
1.594;214.79014342931802,205.56935461144357,208.9316378077709
1.624;214.8363534631327,205.51172726364115,208.88481076131077
1.654;214.8825634969474,205.4540999158387,208.83798371485065
1.684;214.92877353076207,205.39647256803627,208.79115666839053
1.714;214.94694776301353,205.46041844447154,208.74531421431183
1.744;214.96311943801047,205.53304812263806,208.6995420882604
1.774;214.97929111300743,205.60567780080459,208.65376996220894
1.804;214.91194008109355,205.52010139853485,208.5542515521912
1.834;214.74913452699585,205.25371804719512,208.3933088176405
1.864;214.44306082903103,204.90667576952876,208.0841576670178
1.894;213.7429997354316,204.3378214444641,207.36743337219698
1.924;213.0429386418322,203.76896711939946,206.65070907737618
1.954;212.34287754823276,203.20011279433479,205.93398478255537
1.984;212.32826457740924,203.1944019151013,205.870337402143
2.014;212.4850136372797,203.32947689732563,205.96995925033278
2.044;212.64176269715014,203.46455187954993,206.06958109852255
2.074;212.72879908077346,203.51907019874682,206.11247849153486
2.104;212.71126645002605,203.45275352340258,206.070289201781
2.134;212.69373381927863,203.3864368480583,206.02809991202713
2.164;212.6875774920496,203.33995783787145,206.00158883294833
2.194;212.84068941407807,203.57120613988818,206.19457270332038
2.224;212.99380133610654,203.80245444190493,206.3875565736924
2.254;213.11665020994894,203.98927953785562,206.5440225548565
2.284;213.22197837168366,204.15038593555755,206.6793466001634
2.314;213.32730653341835,204.31149233325948,206.81467064547027
2.344;213.43263469515304,204.4725987309614,206.94999469077717
2.374;213.5134802494455,204.5998284989405,207.05254921872935
2.404;213.4719127665267,204.55767511830547,206.9912561599079
2.434;213.43034528360792,204.51552173767044,206.9299631010864
2.464;213.3887778006891,204.4733683570354,206.86867004226494
2.494;213.3472103177703,204.43121497640038,206.80737698344348
2.524;213.34880155214069,204.34178187875528,206.80917042339334
2.554;213.36888937963496,204.23208604524876,206.83800093424517
2.584;213.38897720712924,204.12239021174224,206.86683144509703
2.614;213.41649885901484,204.0276858710104,206.88819825989853
2.644;213.4568607530308,203.95887592688936,206.8966732360676
2.674;213.4972226470468,203.89006598276836,206.90514821223672
2.704;213.5375845410628,203.82125603864733,206.9136231884058
2.734;213.76371173983202,204.10716312374467,207.1986067976464
2.764;213.9898389386012,204.393070208842,207.48359040688695
2.794;214.2159661373704,204.6789772939393,207.76857401612753
2.824;213.95070225134646,204.4506083354927,207.47760645499906
2.854;213.40094878991593,203.92450061499432,206.85319347944642
2.884;212.85119532848543,203.3983928944959,206.22878050389377
2.914;212.30144186705493,202.87228517399754,205.60436752834113
2.944;211.7516884056244,202.34617745349914,204.97995455278848
2.974;211.5554001897951,202.13739211395907,204.69709297154787
3.004;211.62940892648436,202.17126506574002,204.67541775066348
3.034;211.7034176631736,202.205138017521,204.6537425297791
3.064;211.80651724052936,202.28163479179986,204.68083966681817
3.094;212.05507102121751,202.5712506785681,204.95179859347462
3.124;212.30362480190564,202.86086656533635,205.22275752013104
3.154;212.5521785825938,203.15048245210463,205.4937164467875
3.184;212.84306973025397,203.4839032251428,205.88103889957532
3.214;213.14454521965712,203.82827521974846,206.29745223389602
3.244;213.4460207090603,204.17264721435416,206.7138655682167
3.274;213.70104980064067,204.46861515449243,207.0557604051355
3.304;213.88640929548689,204.69197701292967,207.28587749595144
3.334;214.0717687903331,204.91533887136688,207.51599458676742
3.364;214.2571282851793,205.13870072980413,207.74611167758337
3.394;214.26941982025176,205.09954705065186,207.74362180431845
3.424;214.24709776336948,205.00789026398166,207.69461053823736
3.454;214.22477570648718,204.9162334773115,207.6455992721563
3.484;214.2024536496049,204.82457669064132,207.5965880060752
3.514;214.16326544728955,204.75972733727457,207.55354755807292
3.544;214.09877802682465,204.73508913386297,207.51946333718882
3.574;214.03429060635972,204.71045093045137,207.48537911630473
3.604;213.9698031858948,204.68581272703977,207.45129489542063
3.634;213.8839883256153,204.60238904027506,207.33263217558908
3.664;213.7966500767776,204.51476639041368,207.2079281344041
3.694;213.70931182793993,204.42714374055234,207.08322409321917
3.724;213.62197357910225,204.33952109069097,206.95852005203423
3.754;213.50877706843002,204.2119953810594,206.8266225699731
3.784;213.34386403408874,204.0046635518874,206.6803382061597
3.814;213.17895099974743,203.7973317227154,206.53405384234625
3.844;213.01403796540615,203.5899998935434,206.38776947853282
3.874;212.84912493106486,203.38266806437142,206.2414851147194
3.904;212.7192970784819,203.24458211251707,206.04793196794148
3.934;212.60014732469494,203.12757099288987,205.83999266982653
3.964;212.480997570908,203.01055987326265,205.63205337171158
3.994;212.40646235372202,202.96482903858023,205.51571069760257
4.024;212.45461711218874,203.11511898749592,205.65125873950996
4.054;212.50277187065547,203.2654089364116,205.7868067814173
4.084;212.55092662912222,203.4156988853273,205.92235482332467
4.114;212.59908138758894,203.56598883424297,206.05790286523205
4.144;212.58028428177306,203.5266219267471,205.99734135756776
4.174;212.54474920988653,203.43984080514835,205.88775246251058
4.204;212.5001769729599,203.35447063712277,205.78388959252982
4.234;212.44378690482702,203.27094556223136,205.68751460149514
4.264;212.38739683669417,203.18742048733998,205.5911396104605
4.294;212.33100676856128,203.10389541244857,205.49476461942584
4.324;212.2746167004284,203.02037033755715,205.39838962839116
4.354;212.5342541954522,203.26450551267348,205.66980197270618
4.384;212.81646508784436,203.5320449913618,205.96748484097472
4.414;213.09867598023652,203.7995844700501,206.26516770924326
4.444;213.38088687262865,204.0671239487384,206.5628505775118
4.474;213.61747367143278,204.2865080654793,206.82327016565608
4.504;213.55750386191477,204.19288232956183,206.8414784329926
4.534;213.49753405239673,204.09925659364436,206.85968670032912
4.564;213.43756424287872,204.00563085772689,206.87789496766564
4.594;213.31206124658272,203.8874379277695,206.78448180839416
4.624;213.16661336735427,203.761768025713,206.65709691058984
4.654;213.04119744206156,203.64689110633861,206.50953564017667
4.684;212.93581347070452,203.5428071696463,206.34179799715469
4.714;212.83042949934747,203.43872323295398,206.17406035413268
4.744;212.71613067326973,203.33770401014567,206.00876427902242
4.774;212.5438852915074,203.25660542758354,205.85933839533837
4.804;212.37163990974508,203.1755068450214,205.70991251165432
4.834;212.19939452798275,203.09440826245927,205.56048662797028
4.864;212.02714914622044,203.01330967989713,205.41106074428623
4.894;212.00847185782408,203.04494649919786,205.4090420289931
4.924;212.41210682618413,203.3866056736214,205.8123930267749
4.954;212.81574179454418,203.72826484804494,206.2157440245567
4.984;213.21937676290426,204.06992402246848,206.6190950223385
5.014;213.32634664682274,204.1408463320587,206.69049308868645
5.044;213.40035374358104,204.18168676777853,206.72500749598618
5.074;213.47436084033936,204.22252720349837,206.7595219032859
5.104;213.26146612665065,204.05550251943254,206.55666202970656
5.134;212.7975323288208,203.7065958555542,206.14609966035798
5.164;212.33359853099094,203.3576891916759,205.7355372910094
5.194;212.02637648235003,203.11545389141156,205.4564026774282
5.224;212.5027131796539,203.4065754092172,205.83440684268388
5.254;212.9790498769578,203.69769692702286,206.21241100793952
5.284;213.45538657426167,203.9888184448285,206.5904151731952
5.314;213.52417289515034,204.11459166750547,206.77114253839184
5.344;213.49107162193522,204.19902781640027,206.9025507035737
5.374;213.4579703487201,204.28346396529506,207.03395886875555
5.404;213.4255249345129,204.33016168466733,207.10322536914325
5.434;213.3946098579909,204.288803068487,207.02749465167784
5.464;213.36369478146892,204.24744445230667,206.95176393421244
5.494;213.33277970494692,204.20608583612636,206.87603321674703
5.524;213.30186462842494,204.16472721994603,206.80030249928163
5.554;213.27094955190293,204.1233686037657,206.72457178181622
5.584;213.35050156654142,204.12215136976897,206.7590601613738
5.614;213.4773966202487,204.13813758527945,206.8407852967984
5.644;213.60429167395597,204.15412380078996,206.92251043222296
5.674;213.62821201628603,204.13792068520235,206.94464075310606
5.704;213.47426694805543,204.0661178158998,206.8638345761448
5.734;213.3203218798248,203.99431494659726,206.7830283991835
5.764;213.1663768115942,203.9225120772947,206.70222222222222
5.794;213.24135339425555,203.96341095097915,206.74629842643736
5.824;213.3163299769169,204.0043098246636,206.7903746306525
5.854;213.39130655957825,204.0452086983481,206.83445083486765
5.884;213.40260494587696,204.12721992431577,206.8953445392942
5.914;213.37145120126726,204.2366393851389,206.96744991052833
5.944;213.3402974566576,204.34605884596203,207.03955528176246
5.974;213.3226966172554,204.42203715855516,207.08323452002733
6.004;213.33671922333735,204.4199861252782,207.06058611469737
6.034;213.35074182941932,204.41793509200124,207.03793770936738
6.064;213.36476443550129,204.4158840587243,207.0152893040374
6.094;213.37878704158322,204.41383302544736,206.99264089870744
6.124;213.16962034202237,204.30838048487277,206.79295628271285
6.154;212.9046563160508,204.17707756747376,206.54901261405215
6.184;212.63969229007918,204.04577465007478,206.3050689453914
6.214;212.43728293807112,203.87421569027913,206.10507833519767
6.244;212.32870559700828,203.64227266688854,205.9710173127044
6.274;212.22012825594544,203.41032964349793,205.8369562902111
6.304;212.1048371021016,203.17408267165086,205.6931701132992
6.334;211.79484537760942,202.81302119456652,205.26735445824738
6.364;211.48485365311723,202.45195971748217,204.84153880319553
6.394;211.17486192862503,202.09089824039782,204.4157231481437
6.424;210.86487020413284,201.72983676331347,203.9899074930919
6.454;210.9808666155535,201.77511692410806,204.1153478073548
6.484;211.5837066108746,202.28478752819282,204.87079494369172
6.514;212.12796188114413,202.74492405187013,205.53095407150852
6.544;212.47972448338706,203.0423057399229,205.87802402847348
6.574;212.83148708563002,203.3396874279757,206.22509398543846
6.604;213.18324968787294,203.6370691160285,206.57216394240342
6.634;213.40092861310154,203.84342042275645,206.78331114335722
6.664;213.35044018430145,203.86771096683472,206.72261283228866
6.694;213.29995175550135,203.892001510913,206.6619145212201
6.724;213.24946332670126,203.91629205499126,206.60121621015153
6.754;213.01439665161638,203.71322132168734,206.3437884717272
6.784;212.75882128249984,203.48488822422985,206.06450190804117
6.814;212.5032459133833,203.25655512677235,205.7852153443551
6.844;212.28735414831976,203.10324904602214,205.58369028292
6.874;212.1111459873093,203.02496998197924,205.45992672373592
6.904;211.9349378262988,202.9466909179363,205.3361631645518
6.934;211.75872966528834,202.8684118538934,205.21239960536772
6.964;211.5975613638605,202.80156352805682,205.1033754660072
6.994;211.87254899032985,203.06620661020398,205.4217945015304
7.024;212.14753661679916,203.33084969235117,205.74021353705362
7.054;212.4225242432685,203.59549277449833,206.05863257257684
7.084;212.6975118697378,203.86013585664548,206.37705160810003
7.114;212.81144822733194,204.01336591615402,206.60298625703948
7.144;212.8022277322568,204.08139778188004,206.7581975515325
7.174;212.79300723718163,204.14942964760607,206.91340884602553
7.204;212.85498154775487,204.2597850583,207.11120464499314
7.234;213.20173508092168,204.53943464886552,207.4793384618592
7.264;213.5484886140885,204.81908423943105,207.84747227872523
7.294;213.89524214725535,205.09873382999658,208.21560609559128
7.324;213.85307715711053,205.04329932376504,208.16624445503095
7.354;213.7331284623034,204.92084799817408,208.03338372298535
7.384;213.61317976749626,204.79839667258312,207.90052299093975
7.414;213.59139087172832,204.8027255029202,207.88721609344583
7.444;213.8395414233182,205.15569976205927,208.20268224096907
7.474;214.08769197490807,205.50867402119835,208.51814838849234
7.504;214.33584252649794,205.86164828033745,208.83361453601557
7.534;214.58399307808784,206.21462253947652,209.1490806835388
7.564;214.37061090729182,206.05971910935753,208.87133524253977
7.594;214.04184555589933,205.777846256924,208.44528690441015
7.624;213.5086813289022,205.2632861997794,207.86030535953924
7.654;212.83925118483535,204.5936013394941,207.16936834350744
7.684;212.16982104076848,203.92391647920883,206.47843132747565
7.714;211.58588730724532,203.3375580359615,205.85906587147625
7.744;211.28287035122293,203.02498639155326,205.47486411272615
7.774;210.9798533952005,202.71241474714498,205.09066235397603
7.804;210.67683643917812,202.39984310273672,204.70646059522593
7.834;210.3738194831557,202.08727145832844,204.3222588364758
7.864;210.55733088453184,202.23667845250085,204.51681139167422
7.894;211.47063482200574,203.07905340454425,205.5794954177954
7.924;212.38393875947963,203.92142835658765,206.6421794439166
7.954;213.29724269695353,204.76380330863105,207.7048634700378
7.984;214.21054663442743,205.60617826067445,208.76754749615898
8.014;214.68780647807887,206.30212133388503,209.39305266397497
8.044;215.15003031849506,206.9930150319634,210.00348269874596
8.074;215.18295973523357,207.05385007925526,210.0903323950517
8.104;214.88760518092445,206.63287557006325,209.77679712664866
8.134;214.5048828674147,206.12908389534732,209.35328342374294
8.164;213.55427011910072,205.08698064472594,208.21490989656942
8.194;212.60365737078678,204.04487739410456,207.07653636939594
8.224;211.6530446224728,203.00277414348318,205.93816284222245
8.254;210.41225381268896,201.77428723514114,204.55880334610364
8.284;208.9780109619252,200.4215445549853,203.01878653735463
8.314;207.54376811116146,199.06880187482946,201.4787697286056
8.344;206.4832911758148,198.0596081496298,200.32085541245104
8.374;206.6509022482672,198.17921813357188,200.4184207148211
8.404;206.8185133207196,198.29882811751395,200.5159860171912
8.434;206.98612439317202,198.41843810145602,200.61355131956128
8.464;207.2635648407726,198.5751500888538,200.82600191646682
8.494;207.59591997594725,198.75041307797943,201.09589516064005
8.524;207.92827511112193,198.9256760671051,201.3657884048133
8.554;207.92350402058662,198.85134176031565,201.32494948055148
8.584;207.2444804786313,198.27781286169602,200.66264621941957
8.614;206.565456936676,197.70428396307636,200.00034295828763
8.644;205.88643339472068,197.13075506445674,199.33803969715572
8.674;207.03619294523426,198.23249865437404,200.6288931000832
8.704;208.18595249574787,199.33424224429132,201.91974650301069
8.734;209.33571204626145,200.43598583420862,203.21059990593815
8.764;211.8620039243129,200.73490171794512,203.62376612756898
8.794;215.59276158895997,200.3313433587734,203.26895606556525
8.824;219.32351925360703,199.9277849996017,202.91414600356148
8.854;222.67162568731197,199.54342135714683,202.49170597013733
8.884;222.57587104253773,199.33181016514348,201.46059619392952
8.914;222.48011639776345,199.12019897314016,200.4294864177217
8.944;222.3843617529892,198.90858778113682,199.3983766415139
8.974;222.28860710821496,198.69697658913347,198.36726686530608
9.004;220.96582509753839,198.95541044997856,198.78458898818303
9.034;218.82502484292695,199.5272076793893,200.1675323771165
9.064;216.68422458831552,200.09900490880003,201.55047576604994
9.094;214.54342433370408,200.67080213821077,202.9334191549834
9.124;212.66275415363398,201.18809909723058,204.19035965834937
9.154;213.12325464443592,201.214893622732,204.31327419160817
9.184;213.58375513523785,201.24168814823346,204.43618872486695
9.214;214.04425562603979,201.26848267373492,204.55910325812576
9.244;214.50475611684172,201.29527719923635,204.68201779138457
9.274;214.9197706922982,201.3422524043466,204.8137931399169
9.304;214.69798245291776,201.67175712397957,205.06961990227873
9.334;214.47619421353735,202.00126184361255,205.32544666464054
9.364;214.25440597415695,202.33076656324553,205.58127342700237
9.394;214.03261773477655,202.6602712828785,205.8371001893642
9.424;214.04220176554114,202.8722152879554,206.05691658065166
9.454;214.2060339764024,203.0057854833283,206.2527260578895
9.484;214.3698661872637,203.13935567870118,206.44853553512738
9.514;214.50688748089212,203.2548856724968,206.61712474575333
9.544;214.469637812507,203.2531543560404,206.60878222340196
9.574;214.4323881441219,203.25142303958398,206.60043970105062
9.604;214.39513847573676,203.2496917231276,206.59209717869925
9.634;214.3994688846174,203.32542704819934,206.6142018963801
9.664;214.41645409962243,203.42473917721443,206.64557316537514
9.694;214.43343931462744,203.52405130622952,206.67694443437017
9.724;214.42773610238638,203.52522934919642,206.6808209481851
9.754;214.38800024927625,203.37920626309102,206.64345532922982
9.784;214.3482643961661,203.2331831769856,206.60608971027457
9.814;214.30852854305596,203.0871600908802,206.56872409131932
9.844;214.26879268994583,202.94113700477476,206.53135847236408
9.874;214.1396261910613,202.8788426833632,206.37288785798546
9.904;214.00407178890714,202.82252898800118,206.2057668867909
9.934;213.868517386753,202.76621529263915,206.03864591559636
9.964;213.73296298459888,202.70990159727714,205.87152494440178
9.994;213.652167651965,202.67002533254183,205.74603924455548
10.024;213.62613138885132,202.64658649843324,205.6621888160574
10.054;213.60009512573765,202.62314766432462,205.57833838755934
10.084;213.5943762651822,202.61053018162394,205.52578669731218
10.114;213.72072052125506,202.6682514830747,205.67667680569613
