time;Pixel leftCheek
4.886;211.9008358662614,202.95383738601825,205.30148176291794
4.987;213.25974025974025,204.10408993991084,206.6594301221167
5.088;213.50889748549324,204.24158607350097,206.77562862669245
5.189;211.9469870327994,203.06693363844394,205.39340198321892
5.29;213.55065391372244,204.04704274838963,206.66601600624634
5.395;213.4347994574695,204.34256926952142,207.12594458438286
5.563;213.26167502894634,204.1109610189116,206.7018525665766
5.663;213.68465854130392,204.1642484039466,206.97426968465854
5.764;213.1663768115942,203.9225120772947,206.70222222222222
5.866;213.42129719264278,204.06156824782187,206.85208131655372
5.965;213.3184898354308,204.42265246853825,207.09002904162634
6.1;213.38159156279963,204.41342281879196,206.98811121764143
6.202;212.48071387449625,203.9669928996354,206.15870274419498
6.303;212.1151701595847,203.18611805422034,205.7073639684676
6.44;210.69954128440367,201.53727064220183,203.76280581039757
6.507;212.04588394062077,202.67553499132447,205.44997108155002
6.624;213.41775808936825,203.83532357473035,206.8035439137134
6.727;213.24441448382126,203.9187211093991,206.59514637904468
6.829;212.375458228825,203.1423885780436,205.64557206251206
6.963;211.58839510964486,202.79274209198525,205.09276149815642
7.097;212.8166731745412,203.97481452557594,206.5150331901601
7.198;212.7856308411215,204.2038551401869,207.03757788161994
7.299;213.95303440278315,205.14534209509083,208.2769617317356
7.406;213.52521739130435,204.70859903381643,207.80309178743963
7.54;214.6336231884058,206.28521739130434,209.21217391304347
7.606;213.91033941534235,205.66509711595057,208.27486756915832
7.707;211.65659126365054,203.41049141965678,205.94871294851794
7.852;210.19200930954227,201.8997284716835,204.09173778122576
7.985;214.2409900990099,205.63425742574256,208.8029702970297
8.057;215.35032731600873,207.29240230113072,210.26800238048006
8.13;214.63163123385655,206.26803099543017,209.5050665606994
8.236;211.27279952314723,202.58593284323464,205.48281343135307
8.337;206.4441819255759,198.03169915337665,200.29809017523135
8.444;207.04199475065616,198.45830809610337,200.64607308701798
8.544;208.14984520123838,199.04251805985552,201.54571723426213
8.644;205.88643339472068,197.13075506445674,199.33803969715572
8.748;209.8722665031678,200.9501328428367,203.81299816063765
8.851;222.6812011517894,199.56458247634717,202.59481694775812
8.986;222.25030525030525,198.61233211233213,197.95482295482296
9.121;212.6167041045538,201.18541964468042,204.1780682050235
9.272;214.93455657492353,201.32028542303772,204.7967380224261
9.406;213.94390243902438,202.7920731707317,205.93943089430894
9.51;214.51185410334347,203.255116514691,206.61823708206686
9.611;214.3864468864469,203.24928774928776,206.59015059015059
9.712;214.44363044363044,203.5836385836386,206.6957671957672
9.846;214.2661436330718,202.93140213236774,206.5288674311004
9.979;213.66518578352182,202.68174474959613,205.7879644588045
10.08;213.57753036437248,202.60283400809718,205.50566801619433
10.152;213.88075657894737,202.74136513157896,205.86780427631578
10.253;214.02277390233894,202.94378334017233,206.29462453836683
10.32;213.6913455719185,202.90800887633648,206.0262255396409
10.433;214.19499287604316,203.3049053531447,206.59373091797272
10.567;213.9563096931518,203.24385287543183,206.29993903678115
10.668;213.97791411042945,203.4680981595092,206.60306748466257
10.769;212.677445432498,201.60711398544868,204.81891673403396
10.877;211.6004896959804,200.6478269740869,203.83187104672515
11.013;210.68373617369932,199.1689881196231,202.78738222040147
11.117;210.681482998771,199.31052847193774,202.4582138467841
11.185;222.4787255909558,196.98232271325796,200.33299075025693
11.286;221.27216622094218,197.95721045052457,199.11149969142153
11.357;221.60845896147404,198.21293969849245,197.68446398659967
11.457;222.6700209643606,197.28364779874215,196.22641509433961
11.593;222.909887359199,197.64956195244056,196.53900709219857
11.662;222.66385846672284,197.46988205560237,196.62468407750632
11.771;223.0887573964497,197.66863905325442,197.0376162299239
11.872;223.73316337369874,198.57403866581686,197.53919694072658
11.98;223.96982020547946,198.8326198630137,198.15710616438355
12.118;224.43516342661823,199.1897030549028,198.50523392437515
12.218;224.38425129087778,199.4343803786575,199.21385542168676
12.288;224.3550170068027,199.48022959183675,198.48299319727892
12.389;224.39774659863946,199.5218962585034,198.93197278911563
12.456;224.39239153665312,199.39623851250266,198.5770463774311
12.556;224.54184549356222,199.64721030042918,198.72961373390558
12.691;224.09018851756642,199.34511568123392,198.70522707797772
12.76;224.22103463018385,199.19217614365112,198.41299700726807
12.862;224.12202954399487,198.7356026546778,197.9066581031899
12.961;223.94970986460348,199.16741886954654,198.20717816462496
13.073;224.31592520954223,199.39222007307114,198.66387277025575
13.207;224.39991527218808,199.68099978818046,198.52277059944927
13.275;224.4072330408731,199.62101433768458,198.98865824951852
13.345;224.6627282491944,200.09237379162192,199.40042964554243
13.424;225.06038386888073,200.30148803105456,199.71382359284019
13.586;224.71609714162906,199.81452826133676,199.67612293144208
13.685;224.23705780845557,199.2972389991372,199.04659188955998
