time;interpolated Pixel rightCheek
3.724;170.85620898684164,166.7064678919459,168.05096606590035
3.754;171.16308755464627,167.0110104199736,168.39971284522005
3.784;171.27472784096264,167.15680391765662,168.60129893332774
3.814;171.386368127279,167.30259741533962,168.80288502143543
3.844;171.49800841359541,167.44839091302265,169.00447110954312
3.874;171.6096486999118,167.59418441070565,169.2060571976508
3.904;172.32020799753568,168.33520536521672,169.86865950437667
3.934;173.21304699425315,169.25738250224072,170.67157109502975
3.964;174.10588599097062,170.17955963926468,171.47448268568286
3.994;174.62371797268477,170.7073201358585,171.92200512449688
4.024;174.1102806631398,170.1504348712694,171.39220739575342
4.054;173.5968433535948,169.59354960668028,170.86240966700998
4.084;173.0834060440498,169.03666434209117,170.33261193826655
4.114;172.5699687345048,168.47977907750206,169.8028142095231
4.144;172.09763989546423,168.0502247744401,169.46992866415275
4.174;171.63558817404976,167.6525032117599,169.18627116462562
4.204;171.58962590476673,167.6629655214012,169.18413726158218
4.234;172.08778061134794,168.20720674100136,169.5501496000943
4.264;172.5859353179291,168.7514479606015,169.91616193860642
4.294;173.08409002451032,169.29568918020163,170.28217427711854
4.324;173.5822447310915,169.8399303998018,170.64818661563064
4.354;173.26579141961125,169.48227794001596,170.37375174087816
4.384;172.8911518211266,169.06020450313116,170.05357063660676
4.414;172.51651222264198,168.63813106624633,169.7333895323354
4.444;172.14187262415734,168.21605762936153,169.41320842806402
4.474;171.76119267508273,167.80002064560222,169.10162441734016
4.504;171.34125044717305,167.42322060715867,168.84592151467527
4.534;170.9213082192634,167.04642056871515,168.5902186120104
4.564;170.50136599135377,166.6696205302716,168.33451570934554
4.594;170.5363639900493,166.63246686893027,168.26323488253217
4.624;170.70982205771165,166.69868384409827,168.24808251358667
4.654;170.5241263582503,166.49080273778495,167.99123578196543
4.684;169.97927689166528,166.00882354999032,167.49269468766846
4.714;169.43442742508023,165.5268443621957,166.99415359337146
4.744;168.91867311404036,165.06216092815228,166.51702784264333
4.774;168.5920373140441,164.70989989349164,166.17910182511258
4.804;168.26540151404782,164.35763885883097,165.84117580758183
4.834;167.93876571405156,164.0053778241703,165.5032497900511
4.864;167.6121299140553,163.65311678950962,165.16532377252034
4.894;167.52791207117917,163.55305560265919,165.0723696277352
4.924;168.1103436103834,164.14654399728684,165.65308813300064
4.954;168.69277514958765,164.74003239191447,166.23380663826606
4.984;169.2752066887919,165.33352078654212,166.81452514353148
5.014;169.42141374614567,165.46244284479565,166.9788705699039
5.044;169.51915141662715,165.53974642122984,167.09695232084377
5.074;169.61688908710863,165.61704999766403,167.2150340717836
5.104;169.88330997890642,165.8680356243485,167.46932045539717
5.134;170.297328689356,166.27099304500194,167.84278589260023
5.164;170.71134739980556,166.6739504656554,168.2162513298033
5.194;171.03198163824666,166.9926772253337,168.51245955711823
5.224;170.88569351664546,166.8902506801362,168.42238173499248
5.254;170.73940539504426,166.78782413493872,168.3323039128667
5.284;170.59311727344306,166.68539758974123,168.24222609074096
5.314;170.01941864523937,166.14495567908853,167.63458370123973
5.344;169.33886739038508,165.49500992707198,166.89755016989463
5.374;168.65831613553078,164.84506417505546,166.16051663854952
5.404;168.11348948554942,164.32100927384326,165.5878300459806
5.434;167.88535358027158,164.0906996911746,165.39861964388942
5.464;167.65721767499372,163.8603901085059,165.20940924179826
5.494;167.42908176971585,163.63008052583723,165.02019883970706
5.524;167.20094586443798,163.39977094316853,164.8309884376159
5.554;166.97280995916014,163.16946136049987,164.6417780355247
5.584;167.6100822650458,163.73086366306916,165.24435175638368
5.614;168.6182438042873,164.63157105931188,166.1862615299356
5.644;169.62640534352877,165.5322784555546,167.1281713034875
5.674;169.99880595382515,165.887490515163,167.47029718321173
5.704;169.27307405048907,165.3004833569484,166.77643270087003
5.734;168.54734214715296,164.7134761987338,166.08256821852834
5.764;167.82161024381688,164.1264690405192,165.38870373618664
5.794;168.66678602295377,164.96654706387932,166.20145078223214
5.824;169.51196180209067,165.80662508723944,167.01419782827764
5.854;170.35713758122756,166.6467031105996,167.82694487432315
5.884;170.51947594336602,166.75443654302006,167.95789288231148
5.914;170.22658936083883,166.37394024814745,167.6343081982617
5.944;169.93370277831167,165.9934439532748,167.3107235142119
5.974;169.6446294600772,165.65848929384177,167.00310272350558
6.004;169.36445375852566,165.42979845043448,166.73273101726744
6.034;169.08427805697414,165.20110760702715,166.46235931102927
6.064;168.80410235542263,164.97241676361983,166.19198760479114
6.094;168.52392665387111,164.7437259202125,165.92161589855297
6.124;169.50935986019743,165.7118237807823,166.91301722943388
6.154;170.81119529349323,166.97911881734635,168.21986181959457
6.184;172.11303072678902,168.2464138539104,169.52670640975523
6.214;173.07941714453133,169.195872908355,170.52005847012447
6.244;173.54263003894343,169.66857798962036,171.0431717358065
6.274;174.00584293335552,170.14128307088572,171.56628500148855
6.304;174.49720470990877,170.64142952793327,172.11740471522467
6.334;175.80488406855517,171.9373758826649,173.48071142252863
6.364;177.1125634272016,173.23332223739652,174.8440181298326
