time;Pixel forehead
6.829;231.27025940076413,229.59561632817213,231.4826060727931
6.963;231.3311111111111,229.47414141414143,231.37818181818182
7.097;231.98407258064515,230.1399193548387,232.00725806451612
7.198;231.1897633016387,229.3018409872547,231.40380335828445
7.299;231.42202945329836,229.61791406092394,231.75448860197702
7.406;231.19176136363637,229.5184659090909,231.63230519480518
7.54;230.90949675324674,229.03835227272728,231.37357954545453
7.606;231.14717368961973,229.46269270298046,231.40308324768756
7.707;232.25982975273612,230.45946493717065,232.67146331576814
7.852;231.99353143319183,230.1724277339802,231.80836870830805
7.985;232.84680266771284,231.19850921930168,233.18732836406434
8.057;232.5947357846092,230.99336949969862,233.00080369700623
8.13;231.9328063241107,230.21383399209486,232.1612648221344
8.236;231.39347826086956,229.67569169960476,231.5213438735178
8.337;231.21309853581323,229.17154728927582,230.79798179659676
8.444;231.6033878504673,229.7336448598131,231.75856697819316
8.544;229.87375685001015,227.5609904607266,229.12137203166228
8.644;230.55067772607728,228.06190572526805,229.56928990491605
8.748;229.31350160256412,226.92347756410257,228.12419871794873
8.851;238.2211065170309,225.30045284504823,227.3807836188226
8.986;237.6516498715669,224.84429954554435,223.9306461173681
9.121;230.17798273155415,226.53983516483515,228.47488226059656
9.272;230.98682658277625,225.75697994494692,227.92371215100275
9.406;230.18854084060268,226.64651070578907,228.62926249008723
9.51;230.66506890353506,227.13521070501298,229.02017175953665
9.611;230.7769383697813,227.3707753479125,229.16043737574552
9.712;230.85328031809146,227.3699801192843,229.27097415506958
9.846;230.8192891373802,227.60403354632587,229.491214057508
9.979;230.7150849150849,227.1976023976024,229.2993006993007
10.08;230.88545636910732,227.41444332998998,229.3853560682046
10.152;229.97864768683274,226.19238015490893,228.1126229851371
10.253;230.28126931794768,226.65773748196992,228.5371934885638
10.32;231.12165401518178,227.50199760287654,229.60427487015582
10.433;230.47341167098187,227.03226448914558,228.66122286397132
10.567;230.9671968190855,227.63797216699803,229.37236580516898
