time;Pixel leftCheek
0;193.60366191973367
0.999;195.1345759552656
1.066;195.1345759552656
1.101;190.67968894649138
1.168;190.67968894649138
1.202;188.36787280701753
1.272;187.0456871345029
1.339;188.07742537313433
1.407;188.00111669458403
1.473;187.98437209302327
1.539;187.95048399106477
1.578;187.65878629932985
1.648;186.63561493411422
1.714;185.34663250366032
1.781;185.72606237461244
1.848;186.8095932883458
1.884;187.5158128352136
1.951;187.46754207508786
2.017;186.95407326407874
2.083;186.4423182066703
2.15;186.8784155510728
2.187;186.38749312305154
2.221;187.29305301645337
2.288;187.29305301645337
2.358;188.6865671641791
2.426;190.46359665089187
2.46;188.84060858540118
2.526;188.84060858540118
2.559;187.27177203918077
2.626;187.27177203918077
2.66;186.3886704789135
2.761;186.86419974851805
2.829;187.26225974492544
2.895;188.38325281803543
2.979;189.69437340153453
3.046;191.42217756667884
3.113;189.64412032816773
3.18;187.75714545785544
3.247;187.75714545785544
3.281;186.58413680189193
3.319;186.58413680189193
3.386;187.1447080291971
3.42;187.1447080291971
3.454;185.94011649071714
3.52;185.91620111731842
3.553;185.91620111731842
3.592;185.91620111731842
3.66;184.54509873687957
3.734;184.26454367550258
3.802;184.52509720749381
3.87;185.2264015762135
3.936;185.2264015762135
3.968;184.4749866476767
4.036;185.01032579668862
4.075;185.07922912205566
4.142;185.00089221984297
4.217;185.03152270703472
4.254;184.4906500445236
4.288;184.4906500445236
4.32;183.4029073941134
4.36;184.04181622397704
4.402;183.82092982146014
4.504;185.19250761785267
4.539;185.19250761785267
4.582;184.4281127363539
4.648;184.44898323225115
4.682;184.57974638328272
4.748;183.80853723879264
4.814;182.26580713528787
4.852;182.9501942776404
4.918;183.91311386940097
4.985;185.60154704083467
5.053;185.31320821529744
5.12;186.3707507082153
5.188;184.78598114214552
5.254;183.61438950912634
5.289;183.61438950912634
5.322;183.52758988964044
5.358;183.52758988964044
5.428;183.94536394376223
5.474;185.07243281722725
5.51;185.07243281722725
5.545;185.07243281722725
5.579;186.23543902868204
5.615;186.23543902868204
5.682;183.83678483678483
5.749;183.83678483678483
5.786;184.36818181818182
5.852;183.8272727272727
5.919;183.55715793176222
5.956;183.55715793176222
5.994;184.36524064171124
6.062;185.1073083778966
6.096;186.85386666666668
6.163;188.4529777777778
6.233;188.29822089131582
6.279;188.54940989959485
6.319;187.0431679721497
6.354;187.0431679721497
6.389;185.80797227036396
6.493;186.7905768231422
6.566;187.76095617529882
6.601;186.88253372033464
6.668;188.1901997609698
6.735;188.52121421179717
6.768;189.2531907554329
6.835;188.5910031023785
6.876;189.17769734574284
6.914;188.54042847270213
6.981;188.54042847270213
7.048;189.96671921527414
7.123;189.25746268656715
7.191;189.25746268656715
7.257;189.65351812366737
7.325;189.76304579339723
7.358;189.34948526801563
7.393;189.34948526801563
7.429;188.67429669753625
7.474;188.27206010833478
7.54;188.92649903288202
7.607;189.53595920520485
7.674;189.51471869012366
7.742;187.37273676880224
7.807;188.86682935332055
7.875;187.89192957991983
7.909;187.99877171433585
7.945;187.99877171433585
7.98;187.04456922267065
8.048;188.44762741652022
8.084;188.711072056239
8.152;189.0072005619951
8.197;189.39585528626625
8.267;189.76590106007066
8.304;189.76590106007066
8.37;188.84840472413185
8.408;188.84840472413185
8.475;188.30005310674457
8.512;188.30005310674457
8.578;189.24257425742573
8.644;189.24257425742573
8.679;189.28677510608205
8.713;188.79352441613588
8.747;188.79352441613588
8.815;188.13065147739408
8.882;187.888732146006
8.95;187.61047434314935
8.983;188.4693483225013
9.05;187.8949587212366
