time;interpolated Pixel leftCheek
0;193.60366191973367
0.009;193.6174539380718
0.039;193.66342733253222
0.069;193.70940072699264
0.099;193.75537412145306
0.129;193.80134751591348
0.159;193.8473209103739
0.189;193.8932943048343
0.219;193.93926769929473
0.249;193.98524109375515
0.279;194.03121448821557
0.309;194.077187882676
0.339;194.1231612771364
0.369;194.16913467159682
0.399;194.21510806605724
0.429;194.26108146051766
0.459;194.30705485497808
0.489;194.3530282494385
0.519;194.3990016438989
0.549;194.44497503835933
0.579;194.49094843281975
0.609;194.53692182728017
0.639;194.58289522174059
0.669;194.628868616201
0.699;194.67484201066142
0.729;194.72081540512184
0.759;194.76678879958226
0.789;194.81276219404268
0.819;194.8587355885031
0.849;194.9047089829635
0.879;194.95068237742393
0.909;194.99665577188435
0.939;195.04262916634477
0.969;195.08860256080519
0.999;195.1345759552656
1.029;195.1345759552656
1.059;195.1345759552656
1.089;192.20707877807112
1.119;190.67968894649138
1.149;190.67968894649138
1.179;189.93174843077927
1.209;188.23565423976606
1.239;187.6690032372598
1.269;187.10235223475354
1.299;187.4614622455932
1.329;187.92343459124905
1.359;188.05498164414894
1.389;188.02131605067086
1.419;187.99807222157298
1.449;187.99046103904536
1.479;187.9812913564816
1.509;187.96588767377318
1.539;187.95048399106477
1.569;187.72610115126867
1.599;187.35183488976514
1.629;186.91333287610132
1.659;186.42078452903857
1.689;185.8348834242868
1.719;185.37494816567167
1.749;185.54484213773978
1.779;185.7147361098079
1.809;186.17888126393385
1.839;186.66404435963537
1.869;187.22155469068537
1.899;187.5050059486183
1.929;187.48339217542767
1.959;187.40530343132917
1.989;187.17190851723413
2.019;186.93856553506637
2.049;186.7059495998807
2.079;186.47333366469505
2.109;186.61155001196082
2.139;186.80681747960375
2.169;186.626320250197
2.199;186.70710249719338
2.229;187.29305301645337
2.259;187.29305301645337
2.289;187.3129603614209
2.319;187.91018071044618
2.349;188.5074010594715
2.379;189.23535568213453
2.409;190.01933927921368
2.439;189.8430423905572
2.469;188.84060858540118
2.499;188.84060858540118
2.529;188.69798708119933
2.559;187.27177203918077
2.589;187.27177203918077
2.619;187.27177203918077
2.649;186.67437980723525
2.679;186.47812648012624
2.709;186.61937279783055
2.739;186.76061911553487
2.769;186.91103033633067
2.799;187.08664504062807
2.829;187.26225974492544
2.859;187.77180205088453
2.889;188.28134435684362
2.919;188.75785869903518
2.949;189.22611605028484
2.979;189.69437340153453
3.009;190.46801705756928
3.039;191.24166071360406
3.069;190.81179970868249
3.099;190.01565467651332
3.129;189.19349946361555
3.159;188.34858534258018
3.189;187.75714545785544
3.219;187.75714545785544
3.249;187.68814494868113
3.279;186.65313731106625
3.309;186.58413680189193
3.339;186.7514714966099
3.369;187.00247353868681
3.399;187.1447080291971
3.429;186.82584556312887
3.459;185.9383047200051
3.489;185.92743409573296
3.519;185.91656347146082
3.549;185.91620111731842
3.579;185.91620111731842
3.609;185.5734255222087
3.639;184.96852741319157
3.669;184.51097717536075
3.699;184.39723863696466
3.729;184.2835000985686
3.759;184.36033541520524
3.789;184.47528550284844
3.819;184.70042329967373
3.849;185.0098222858736
3.879;185.2264015762135
3.909;185.2264015762135
3.939;185.15595642666318
3.969;184.482859282221
3.999;184.7190383185498
4.029;184.95521735487856
4.059;185.05096109113586
4.089;185.06286021711568
4.119;185.02778399224434
4.149;185.0037510653142
4.179;185.0160032601909
4.209;185.0282554550676
4.239;184.7099227455416
4.269;184.4906500445236
4.299;184.11673850844508
4.329;183.54666188083272
4.359;184.02584350323045
4.389;183.8892994222392
4.419;184.0495261208589
4.449;184.452931355092
4.479;184.85633658932508
4.509;185.19250761785267
4.539;185.19250761785267
4.569;184.65920886331864
4.599;184.43348847014562
4.629;184.44297505918982
4.659;184.49128895758489
4.689;184.49795147401863
4.719;184.14740186288677
4.749;183.78516254025467
4.779;183.08392158411615
4.809;182.38268062797763
4.839;182.71606183420403
4.869;183.1982190209727
4.899;183.6359097445002
4.929;184.19031931545726
4.959;184.946334168338
4.989;185.58458593345014
5.019;185.45737762806607
5.049;185.33016932268197
5.079;185.72359783941482
5.109;186.19712432878103
5.139;185.92794744710756
5.169;185.22878440325326
5.199;184.59071586997567
5.229;184.0581742186033
5.259;183.61438950912634
5.289;183.61438950912634
5.319;183.53548076413915
5.349;183.52758988964044
5.379;183.65292210587697
5.409;183.83196812907204
5.439;184.21488041350386
5.469;184.94992533098105
5.499;185.07243281722725
5.529;185.07243281722725
5.559;185.55131772782627
5.589;186.23543902868204
5.619;186.09223579334488
5.649;185.0182115283163
5.679;183.9441872632877
5.709;183.83678483678483
5.739;183.83678483678483
5.769;184.12402644835078
5.799;184.2616391184573
5.829;184.01577134986226
5.859;183.79905177848804
5.889;183.67810485512513
5.919;183.55715793176222
5.949;183.55715793176222
5.979;184.0462606246261
6.009;184.52893205410507
6.039;184.85631487889273
6.069;185.4668939079375
6.099;186.92546865671642
6.129;187.64148855721393
6.159;188.35750845771145
6.189;188.3954966485205
6.219;188.3291722686082
6.249;188.385590981152
6.279;188.54940989959485
6.309;187.41972845401096
6.339;187.0431679721497
6.369;186.5137983856701
6.399;185.90245347736186
6.429;186.18589709835558
6.459;186.4693407193493
6.489;186.75278434034303
6.519;187.136191386924
6.549;187.53497742205687
6.579;187.4346849777407
6.609;187.03867294906718
6.639;187.62419505681427
6.669;188.19514027516124
6.699;188.34335570090485
6.729;188.49157112664844
6.759;189.0535607889868
6.789;189.0456394014905
6.819;188.749137467287
6.849;188.79133772206387
6.879;189.12738664523962
6.909;188.62427964020748
6.939;188.54042847270213
6.969;188.54042847270213
6.999;188.9236110602588
7.029;189.56224870618655
7.059;189.86269492439712
7.089;189.57899231291432
7.119;189.29528970143153
7.149;189.25746268656715
7.179;189.25746268656715
7.209;189.3654778057763
7.239;189.54550300445823
7.269;189.67284653597264
7.299;189.7211675667358
7.329;189.71291724486613
7.359;189.34948526801563
7.389;189.34948526801563
7.419;188.86184907822496
7.449;188.49552488011338
7.479;188.32163881473988
7.509;188.61911105317043
7.539;188.916583291601
7.569;189.1902952268725
7.599;189.46318784134542
7.629;189.5289847077155
7.659;189.51947402932095
7.689;189.04222267806747
7.719;188.09723065395508
7.749;187.53363904713498
7.779;188.2232202399896
7.809;188.83815583057347
7.839;188.40805298936726
7.869;187.97795014816109
7.899;187.96734755715465
7.929;187.99877171433585
7.959;187.61709071766975
7.989;187.2302681012684
8.019;187.84926436326083
8.049;188.45494532317906
8.079;188.67448252294474
8.109;188.81994283041405
8.139;188.95058775942408
8.169;189.15402568005308
8.199;189.40642802266066
8.229;189.56501906857685
8.259;189.72361011449303
8.289;189.76590106007066
8.319;189.55737916553912
8.349;189.14033537647603
8.379;188.84840472413185
8.409;188.84022037163354
8.439;188.594689796684
8.469;188.34915922173448
8.499;188.30005310674457
8.529;188.54282370616244
8.559;188.97124241101753
8.589;189.24257425742573
8.619;189.24257425742573
8.649;189.24888866437664
8.679;189.28677510608205
8.709;188.85155390907073
8.739;188.79352441613588
8.769;188.57906552419
8.799;188.28662158062744
8.829;188.08010116934284
8.859;187.9717790806616
8.889;187.86008796041781
8.919;187.7373271650399
8.949;187.61456636966196
8.979;188.36524238561014
9.009;188.2464508652941
9.039;187.9892614915935
9.069;187.49890311565667
9.099;187.22791770131252
9.129;187.2820379731889
9.159;187.39027851694163
9.189;187.39027851694163
9.219;187.3901143563714
9.249;187.38518953926481
9.279;187.38026472215824
9.309;187.21831310330492
9.339;187.0774672798019
9.369;187.13313834214452
9.399;187.4671647162002
9.429;187.51170156607427
9.459;187.51170156607427
9.489;187.4306820627584
9.519;186.94456504286308
9.549;186.84734163888402
9.579;186.84734163888402
9.609;186.69544505753097
9.639;186.40831848852903
9.669;186.11771120107963
9.699;185.93195360862717
9.729;186.090702156879
9.759;186.244501323153
9.789;186.2547684120718
9.819;186.61157022769888
9.849;187.05500572500307
9.879;187.64478353442158
9.909;188.04240596167494
9.939;187.95261088548418
9.969;187.4138404283395
9.999;187.01194799046743
10.029;186.6147754842944
10.059;186.9462875615224
10.089;187.24137323943663
10.119;187.04798039378224
10.149;186.52054536017934
10.179;186.04585382993676
10.209;186.04585382993676
10.239;186.11017653612765
10.269;186.1816462096731
10.299;186.33107523819726
10.329;186.87030104161497
10.359;187.40952684503267
10.389;188.23730402768896
10.419;188.4352612266294
10.449;188.4352612266294
10.479;188.24095229586737
10.509;188.06823324630113
10.539;188.06823324630113
10.569;188.00963469997413
10.599;187.7166419683391
10.629;187.51317388867676
10.659;187.4730976841372
10.689;187.4730976841372
10.719;187.50866694950852
10.749;187.55979776847977
10.779;187.55979776847977
10.809;187.42434507811458
10.839;187.284221605323
10.869;187.80842844941378
10.899;188.31055853466304
10.929;188.58199362782707
10.959;188.8534287209911
10.989;188.8534287209911
11.019;188.8534287209911
11.049;188.28206571850131
11.079;187.46583285780164
11.109;187.1893031850957
11.139;187.6185392197662
11.169;187.91483292583538
11.199;187.67935731749913
11.229;187.6840464610735
11.259;187.68873560464786
11.289;187.68967343336274
11.319;187.78182887720703
11.349;187.92006204297348
11.379;188.14394926039472
11.409;188.49631755529813
11.439;188.7782121912209
11.469;188.7782121912209
11.499;188.7782121912209
11.529;188.9965405700077
11.559;189.43319732758133
11.589;189.76796750838778
11.619;189.73069785340354
11.649;189.45117544102163
11.679;189.17165302863975
11.709;189.42523060198542
11.739;189.7380415070786
11.769;189.4359391723154
11.799;188.82638021762398
11.829;188.54191937210132
11.859;188.54191937210132
11.889;188.77476327490191
11.919;189.5324439053972
11.949;189.25076849083038
11.979;188.96909307626356
12.009;189.39270341154926
12.039;189.66132102574016
12.069;189.75854134615642
12.099;189.8519744665187
12.129;189.98590093509262
12.159;190.24680631147146
12.189;190.5088010225828
12.219;190.7860464199494
12.249;190.81377095968605
12.279;190.66705669200232
12.309;190.4669917815245
12.339;190.4352665421864
12.369;190.57188097398804
12.399;190.5282864617397
12.429;189.97733812949642
12.459;189.97733812949642
12.489;189.92633293972725
12.519;189.88185579196218
12.549;189.8712497638927
12.579;189.88184334201176
12.609;189.8925750465422
12.639;189.90354533305592
12.669;189.91451561956964
12.699;189.91744102930664
12.729;190.07597713958836
12.759;190.45595640211437
12.789;190.93528258156533
12.819;190.93528258156533
12.849;190.83491223389098
12.879;190.71446781668172
12.909;190.64979993269057
12.939;190.62778469174853
12.969;190.61384170581857
12.999;190.57709028678332
13.029;190.39333319160696
13.059;190.20957609643062
13.089;190.57642181351534
13.119;190.9690571532581
13.149;190.9690571532581
13.179;190.9690571532581
13.209;190.60095106604805
13.239;190.35489958931964
13.269;190.87833760848474
13.299;191.37806473425618
13.329;191.19017595161225
13.359;191.42739197530864
13.389;191.04538504986195
13.419;190.1537346764926
13.449;189.5295065357431
13.479;189.4401228602333
13.509;189.352701684945
13.539;189.29275551275845
13.569;189.23280934057186
13.599;189.09395775477572
13.629;188.93932508625767
13.659;189.12480177897862
13.689;189.57036210088233
13.719;190.02786881757044
13.749;190.50926832382737
13.779;190.8813784475045
13.809;189.72343721506482
13.839;189.96270966626318
13.869;190.0939411690814
13.899;190.023835620607
13.929;189.89689534024808
13.959;189.63734068549195
13.989;189.3950896743862
14.019;189.3950896743862
14.049;189.75762101239815
14.079;190.21078518491305
14.109;190.3532449845477
14.139;190.2238384579121
14.169;189.95620035656142
14.199;189.3084254247442
14.229;188.6822429906542
14.259;188.6822429906542
14.289;188.80355506688656
14.319;188.955195162177
14.349;188.86733433024406
14.379;188.56991018699068
14.409;188.3617132867133
14.439;188.29030941985766
14.469;187.75478041844033
14.499;187.64767461815686
14.529;187.64767461815686
14.559;187.8211863105507
14.589;187.90208387197836
14.619;187.54624277456648
14.649;187.56175132874858
14.679;188.02700795421137
14.709;188.49226457967416
14.739;188.30282917525287
14.769;187.91413967477988
14.799;187.73275124122583
14.829;187.52025831534715
14.859;186.98902600065043
14.889;186.52862466124662
14.919;186.54127809660451
14.949;186.920881157341
14.979;187.22701919183353
15.009;187.3064792595132
15.039;187.30756144124038
15.069;187.31026689555836
15.099;187.2676422107687
15.129;186.99836683044097
15.159;186.7290914501132
15.189;187.46992673368547
15.219;187.7258476742205
15.249;187.7258476742205
15.279;187.92867601732726
15.309;188.33433270354084
15.339;188.42937915591727
15.369;187.67024746524163
15.399;186.91111577456599
15.429;186.55923379933574
15.459;186.22139491774155
15.489;186.8129226630625
15.519;187.06165363464513
15.549;186.94816764048804
15.579;186.83468164633098
15.609;186.27682183500352
15.639;185.70363878860124
