Count;Frequencies rightCheek
35.562;46.875
36.069;46.875
36.456;46.875
36.995;46.875
37.455;46.875
37.894;46.875
38.368;46.875
38.87;46.875
39.383;46.875
39.82;46.875
40.326;46.875
40.806;46.875
41.272;46.875
41.718;46.875
42.228;48.828125
42.739;46.875
43.228;48.675000000000004
43.631;50.475
44.106;52.275000000000006
44.622;54.075
45.143;55.87500000000001
45.58;57.67500000000001
46.096;59.47500000000001
46.571;61.27500000000001
47.047;63.07500000000002
47.516;64.87500000000001
47.954;66.67500000000001
48.459;68.47500000000002
49;70.27500000000002
49.403;72.07500000000002
49.948;73.87500000000003
50.36;75.67500000000003
50.834;77.47500000000002
51.339;79.27500000000003
51.814;81.07500000000003
52.363;82.87500000000003
52.769;84.67500000000004
53.318;82.87500000000003
53.794;81.07500000000003
54.27;79.27500000000003
54.712;77.47500000000002
55.163;75.67500000000003
55.775;73.87500000000003
56.177;72.07500000000002
56.584;70.27500000000002
57.101;68.47500000000002
57.574;66.67500000000001
58.161;64.87500000000001
58.598;60.54687500000001
59.011;60.54687500000001
59.631;60.54687500000001
60.006;62.50000000000001
60.45;62.50000000000001
60.966;62.50000000000001
61.404;62.50000000000001
61.95;62.50000000000001
62.358;62.50000000000001
62.865;62.50000000000001
63.303;62.50000000000001
63.843;62.50000000000001
64.286;62.50000000000001
64.744;62.50000000000001
65.223;62.50000000000001
65.704;62.50000000000001
66.26;62.50000000000001
66.669;62.50000000000001
67.143;62.50000000000001
67.628;62.50000000000001
68.165;64.30000000000001
68.686;66.10000000000001
69.192;67.9
69.665;69.70000000000002
70.042;71.50000000000001
70.597;73.30000000000001
71.035;75.10000000000002
71.585;76.90000000000002
72.064;78.70000000000002
72.461;80.50000000000001
72.993;82.30000000000003
73.496;85.9375
73.865;85.9375
74.436;85.9375
74.876;85.9375
75.347;85.9375
75.865;85.9375
76.269;85.9375
76.783;85.9375
77.354;88.490625
77.755;90.290625
78.201;92.090625
78.739;93.890625
79.245;95.69062500000001
80.059;97.49062500000001
80.193;99.290625
