time;interpolated Pixel forehead
1.982;243.80036956268415,235.03870604969305,234.84214420343335
2.012;243.37653776364635,234.28981446029607,234.12072011083183
2.042;242.95270596460855,233.54092287089907,233.39929601823027
2.072;242.52887416557073,232.79203128150206,232.67787192562875
2.102;242.63155983506934,232.52647526107316,232.632484353032
2.132;242.99750423883614,232.50258702512832,232.92511504043765
2.162;243.36344864260295,232.47869878918348,233.21774572784327
2.192;243.72939304636975,232.45481055323862,233.5103764152489
2.222;244.18270704557358,232.6778629301178,233.9986060616492
2.252;245.0728690219624,234.13561837111718,235.46483050302288
2.282;245.96303099835123,235.59337381211657,236.93105494439655
2.312;246.85319297474004,237.05112925311593,238.3972793857702
2.342;247.008627361423,237.2417499150856,238.65157802723647
2.372;246.94044900341288,237.04672086169842,238.53702968612225
2.402;246.87227064540275,236.85169180831124,238.42248134500804
2.432;246.72680155564603,236.52528589708933,238.0986785299778
2.462;246.42675100239617,235.93612627019792,237.35636676711562
2.492;246.12670044914628,235.34696664330653,236.61405500425343
2.522;245.82664989589642,234.75780701641511,235.87174324139121
2.552;246.08269822228695,235.2339355192849,236.39984149845566
2.582;246.37846789722326,235.78615603142333,237.018683328372
2.612;246.67423757215957,236.33837654356174,237.6375251582883
2.642;246.97000724709585,236.89059705570017,238.25636698820463
2.672;247.12666304293617,237.18154650913766,238.6032609443878
2.702;247.10140068918943,237.1308338088893,238.59453075799686
2.732;247.0761383354427,237.08012110864092,238.58580057160592
2.762;247.05087598169592,237.02940840839256,238.577070385215
2.792;247.02561362794918,236.9786957081442,238.56834019882405
2.822;247.06445728931902,236.9399109107782,238.57482098192585
2.852;247.10787995176858,236.90197810647527,238.58238826284855
2.882;247.15130261421817,236.86404530217231,238.58995554377128
2.912;247.26183956860336,236.99315246751317,238.72769003662077
2.942;247.417119384279,237.23361961261656,238.95220267075476
2.972;247.57239919995465,237.47408675771996,239.17671530488875
3.002;247.7276790156303,237.71455390282335,239.40122793902273
3.032;247.85631628973846,237.9194445832168,239.59002681381835
3.062;247.74517068973958,237.80414708122078,239.45740185456867
3.092;247.6340250897407,237.68884957922475,239.324776895319
3.122;247.52287948974183,237.5735520772287,239.1921519360693
3.152;247.483322932888,237.53951203246547,239.15847312166903
3.182;247.53738281706998,237.6117317394682,239.25418541976418
3.212;247.59144270125196,237.68395144647096,239.3498977178593
3.242;247.64550258543397,237.75617115347367,239.44561001595446
3.272;247.69956246961596,237.82839086047642,239.54132231404958
3.302;247.46491154943527,237.44808362906102,239.06240758092423
3.332;247.23026062925462,237.06777639764562,238.5834928477989
3.362;246.99560970907393,236.6874691662302,238.10457811467356
3.392;246.85867720389322,236.47573464088498,237.85994024514676
3.422;246.78689030871246,236.37638191958652,237.77148695135236
3.452;246.7151034135317,236.2770291982881,237.68303365755793
3.482;246.68331679254158,236.22541764429212,237.64311255442266
3.512;246.78295964389204,236.3306699257185,237.7626543634532
3.542;246.88260249524254,236.43592220714487,237.88219617248376
3.572;246.982245346593,236.54117448857124,238.00173798151434
3.602;246.8813366168067,236.41650232177238,237.8318065394139
3.632;246.7581443780052,236.26628299405962,237.6297114027433
3.662;246.63495213920368,236.11606366634686,237.42761626607276
3.692;246.51175990040215,235.9658443386341,237.22552112940218
3.722;246.4542146197624,235.90461906912435,237.1378536664846
3.752;246.4623162972844,235.93238785781764,237.16461387731997
3.782;246.4704179748064,235.9601566465109,237.19137408815536
3.812;246.4785196523284,235.9879254352042,237.21813429899072
3.842;246.48662132985038,236.01569422389747,237.24489450982608
3.872;246.40837321230921,235.85331140353847,237.17840891534397
3.902;246.32714751562793,235.68437163114316,237.1087079482647
3.932;246.24592181894664,235.51543185874783,237.03900698118542
3.962;246.20701030265505,235.43140394101545,237.00719376863313
3.992;246.231570056948,235.47474380527743,237.03221218787132
4.022;246.2561298112409,235.5180836695394,237.05723060710952
4.052;246.28068956553383,235.5614235338014,237.08224902634768
4.082;246.30524931982674,235.60476339806337,237.10726744558588
4.112;246.33086811387653,235.67593082181224,237.15860177408564
4.142;246.35680922437408,235.75556750279628,237.2179452923607
4.172;246.38275033487162,235.8352041837803,237.27728881063572
4.202;246.3958155862392,235.8700397846946,237.29332085186053
4.232;246.38956704891177,235.83767376550435,237.24438567750994
4.262;246.38331851158438,235.80530774631407,237.19545050315938
