time;interpolated Pixel rightCheek
1.232;174.33739432180596,157.67195884994808,156.60273430655155
1.262;173.7945189940772,157.2463650864642,156.12224746567617
1.292;173.25164366634843,156.82077132298036,155.64176062480078
1.322;172.12260835678822,155.81610054188084,154.65292245710543
1.352;170.48068306312553,154.3047373703677,153.21927687844263
1.382;168.8387577694628,152.7933741988545,151.7856312997798
1.412;167.48111182522024,151.5406331846858,150.60322962693093
1.442;168.68198002575906,152.6154915866171,151.68202310640757
1.472;169.88284822629785,153.69034998854846,152.7608165858842
1.502;171.08371642683665,154.76520839047978,153.83961006536083
1.532;172.28458462737547,155.8400667924111,154.91840354483747
1.562;173.48545282791426,156.91492519434243,155.99719702431412
1.592;173.992975332588,157.38115562907092,156.43866224851482
1.622;173.89382035337985,157.31483659249687,156.32246524934905
1.652;173.7946653741717,157.24851755592283,156.20626825018329
1.682;173.69551039496355,157.18219851934882,156.09007125101755
1.712;173.54780013887986,157.06808873090296,155.92896961380583
1.742;172.72031600653906,156.28490841625165,155.1392030439507
1.772;171.89283187419824,155.50172810160032,154.34943647409557
1.802;171.0653477418574,154.71854778694902,153.55966990424042
1.832;170.176500537759,153.92795421740266,152.77383236013327
1.862;169.19560872602423,153.12624076551367,151.99388835464805
1.892;168.21471691428943,152.3245273136247,151.21394434916283
1.922;167.23382510255465,151.52281386173576,150.4340003436776
1.952;166.25293329081987,150.72110040984677,149.6540563381924
1.982;163.67266073849996,148.2621310754235,147.07701838588443
2.012;160.91467921500396,145.61902219849637,144.30030332837399
2.042;158.15669769150796,142.97591332156927,141.5235882708635
2.072;155.39871616801196,140.33280444464216,138.74687321335304
2.102;154.74489603603084,139.2229336809545,137.8955137030713
2.132;155.14315659980716,138.87968197388656,138.0068319664039
2.162;155.54141716358347,138.53643026681863,138.1181502297365
2.192;155.9396777273598,138.1931785597507,138.2294684930691
2.222;157.72655868392343,139.22008925793116,139.65496480978612
2.252;166.45654160442368,147.0978119823537,147.6513513934252
2.282;175.18652452492395,154.97553470677622,155.64773797706428
2.312;183.9165074454242,162.85325743119876,163.64412456070335
