time;Pixel leftCheek
9.001;224.08427700348432,199.3608449477352,205.91528745644598
9.102;222.963921901528,200.48026315789474,206.42763157894737
9.202;224.24026816608998,201.50237889273356,207.47102076124568
9.302;222.90063025210085,200.44159663865545,206.71659663865546
9.398;223.51127819548873,200.43952738990333,206.856283566058
9.498;221.3436170212766,198.4655319148936,204.3508510638298
9.564;220.28829787234042,196.96468085106383,203.39255319148936
9.632;222.9207330066056,199.9899850841679,206.40144896654593
9.699;224.64256421325274,201.48909993524714,207.69242391538958
9.773;224.97001499250374,201.85178839151854,208.35296637395587
9.908;224.9594823928723,202.31692829868476,208.99469664828172
10.008;224.69192786603693,201.81300987548303,208.2750107342207
10.11;224.3508474576271,201.4561440677966,207.83474576271186
10.277;224.28216892596456,201.5274244004171,207.73096976016683
10.376;224.30811808118082,201.60844608446084,208.24333743337434
10.446;222.7016129032258,199.64640198511165,206.1517783291977
10.513;222.10506072874495,199.14736842105262,205.66356275303644
10.621;223.56836181742392,200.74947894956233,207.2705293872447
10.723;223.09633027522935,200.00478659752693,206.57000398883127
10.825;225.25666666666666,201.97541666666666,209.35875
10.929;223.26850362027352,200.09131134352373,206.91894609814963
11.03;223.8782537405206,201.122156179545,208.13424882147982
11.131;223.85485164394547,201.2886928628709,208.182437850842
11.271;221.30294416243655,198.7677157360406,205.4391878172589
11.372;221.0106205747605,198.06997084548104,204.56268221574345
11.473;221.2082180114967,198.24824355971896,204.91718117947627
11.54;221.4624289623237,198.58703430856661,205.3660282045885
11.641;221.9123404255319,199.08531914893618,206.00021276595746
11.742;222.7459470989761,199.80503412969284,206.43046075085323
11.82;223.01266638042077,200.23207385143837,206.91519965650494
11.954;223.0135650699449,200.18440016956336,206.8736752861382
12.061;221.55145228215767,199.08796680497926,205.7
12.166;221.52660242982824,199.05278592375367,205.38060326770005
12.265;221.57875,198.71541666666667,205.43333333333334
12.399;222.2669172932331,199.41917293233084,206.25417710944026
12.501;222.78386827844935,199.72780325135474,206.83326385994164
12.568;221.61148857319333,198.70372658019355,205.58513485690756
12.64;221.8190240889438,198.95449866172535,205.78505250154416
12.706;221.46190182789073,198.53090983774902,205.1801191209694
12.778;220.17507294706127,197.5248020008337,204.33534806169237
12.844;218.4642561983471,195.89545454545456,202.18305785123968
12.946;219.5427094105481,197.1158221302999,203.30754912099277
13.05;218.9818256075148,196.2007351439657,202.9007555646314
