time;Pixel rightCheek
14.513;188.2885434018138,169.46085508051084,171.02813251897095
14.614;187.9579893597505,169.3179233168226,170.947349110255
14.716;183.4555270863836,164.99524158125914,166.31497071742314
14.781;183.73072666912577,165.13426779786056,166.35909258576172
14.853;179.13909224011712,161.08400439238653,162.4502196193265
14.955;181.28301544050862,163.0297910990009,164.2301544050863
15.055;182.88523697112765,164.1933902306156,165.52315235155257
15.156;180.3651654910472,162.05841924398626,163.22101645867247
15.224;183.3699025622519,165.07939372067847,166.35131721400217
15.366;182.87308730873087,163.975697569757,165.5895589558956
15.47;183.742774566474,165.33471820809248,166.85169797687863
15.573;184.53173739571997,166.08433079434167,167.66177003989844
15.681;184.73521944142183,165.8589046064563,167.40206746463548
15.754;185.41140047350208,166.92642505918775,168.26643598615917
15.888;179.51106235143536,161.14042786615468,162.43609434997256
15.955;182.8337899543379,164.53716894977168,165.77698630136987
16.055;184.68185995221467,166.1275500827054,167.38559088402866
16.121;186.90939226519336,167.59686924493553,169.0854511970534
16.225;185.15062684365782,166.41943215339234,167.913901179941
16.292;184.66500737463127,166.211098820059,167.91980088495575
16.426;185.88923758537936,166.8977293705003,168.40428281336534
16.527;187.549777942265,168.37065136935604,169.93319763138416
16.632;185.75049827867366,166.82696140605182,168.35278130096032
16.738;191.6464171525296,172.23528305435397,173.71149144254278
16.838;186.88341781317885,167.78656770456192,169.23189717595946
16.905;190.0181179515622,170.90367905342947,172.382325753374
16.977;189.35921612127936,170.43409132926604,171.86004806803476
17.113;184.45119539816645,165.46287974114685,166.97159805860147
17.213;190.91639042357275,171.56979742173112,173.3136279926335
17.282;184.51528227256384,165.76321467098165,167.6024811218986
17.349;188.29851576994434,168.9278293135436,170.55194805194805
17.45;183.60745614035088,164.77138157894737,166.14345760233917
17.551;184.2355628654971,165.34831871345028,166.91940789473685
17.685;186.99981426448738,168.07392273402675,169.56296433878157
17.786;180.21004566210047,161.51945205479453,163.09004566210047
17.853;187.67208774583963,168.50491679273827,170.11970499243571
17.955;181.76467391304348,163.2358695652174,164.44130434782608
18.027;190.64105935386928,171.55277986476332,172.86570247933884
18.129;183.07092582566324,164.14528063526438,165.42645731817362
18.297;192.05331841909023,172.58146905294555,174.24235645041014
18.397;184.44023068857044,165.0886053827333,166.4252009786788
18.499;188.4454140694568,169.05681211041852,170.54283170080143
18.6;190.2285201793722,170.9201793721973,172.32053811659193
18.72;188.39825684809676,169.22091782283886,170.52347918890075
18.86;188.187610619469,168.8953982300885,170.43115044247787
18.994;188.87330719885958,169.6008553100499,170.93282252316465
19.099;189.10924968811264,170.0040990910711,171.19907324897522
19.234;187.48599464763603,168.2849241748439,169.635860838537
19.336;187.1999647017296,168.1247793858101,169.22890928344512
19.439;189.18228795438347,169.77868852459017,171.13114754098362
19.574;187.30211105197802,168.43516054638994,169.87564307255633
19.673;189.57515991471215,170.46801705756928,172.02238805970148
19.777;186.55075022065313,167.58781994704324,168.97616946160636
19.879;182.97141353910908,164.2567520168362,165.33111189056473
19.984;183.8138966480447,165.35893854748602,166.16061452513966
20.123;185.32242424242423,166.52034632034633,167.64017316017316
20.224;185.33560209424084,166.42059336823735,167.34904013961605
20.292;183.88165266106444,164.94975490196077,166.11624649859945
20.396;186.11339662447259,167.29606188466948,168.52707454289734
20.465;186.098004900245,167.39009450472523,168.6898844942247
20.579;188.6961579132887,169.75308424391963,171.10697920338384
