time;Pixel forehead
8.46;247.40137142857142,237.86834285714286,239.32708571428572
8.526;247.15489749430523,237.36469248291573,238.97220956719818
8.631;247.12005488223187,237.41001600731764,239.01463526183397
8.765;247.06342350534212,237.438736076381,239.09161172993862
8.899;246.83246814535158,236.46177442189713,238.16257668711657
9.001;246.10402447634738,235.3650270651918,237.15274182160508
9.102;244.51148875059837,234.32288176160841,235.68956438487314
9.202;243.8688130706391,233.3700144161461,234.70999519461796
9.302;244.21184400577755,233.95040924410208,235.2549350024073
9.398;244.58904761904762,234.75857142857143,235.98642857142858
9.498;245.58333333333334,236.22374759152217,237.61392100192677
9.564;245.80443159922928,236.58068400770713,238.08068400770713
9.632;242.76407185628742,231.47640718562874,232.78131736526947
9.699;242.63319522300756,231.09553984889106,232.6775530099927
9.773;243.1111657648795,231.89203148057058,233.3177570093458
9.908;243.34564002914743,232.39349040563516,233.88122419237308
10.008;243.51491442542786,232.70953545232274,234.29364303178485
10.11;243.43887530562347,232.3872860635697,233.90195599022005
10.277;245.17054079696393,235.56451612903226,237.28107210626186
10.376;245.31525343439128,236.1252960682141,237.52558029369968
10.446;245.26238660153524,235.77552919283553,237.24796464294022
10.513;244.89321755456464,235.1950246421028,236.7514667918329
10.621;244.74324636342646,234.88847841145233,236.6513507273147
10.723;245.08261777674633,235.3374332791831,237.24530053376654
10.825;245.63630041724616,236.32800185442744,238.0176170607325
10.929;246.47644341801384,237.67228637413396,239.38129330254043
11.03;246.846565774156,238.0360884749709,239.91245634458673
11.131;246.25757575757575,237.19926538108356,238.84044995408632
11.271;245.2317912218268,235.21020166073546,236.80403321470936
11.372;245.33230183289692,235.10497500595096,236.71102118543203
11.473;244.96806966618288,234.7404450895017,236.27939042089986
11.54;245.53506243996156,235.62680115273776,237.32420749279538
11.641;245.22873253248346,235.34714390782054,236.8244667810738
11.742;245.37154150197628,235.6623023715415,237.3102766798419
11.82;244.8571073558648,234.8185884691849,236.35984095427435
11.954;245.92456479690523,236.05705996131528,237.99782398452612
12.061;245.86320531057373,236.10573731626363,237.87743006164058
12.166;245.31836445284802,235.39825100449067,237.0581422831482
12.265;245.06310794780546,234.7741399762752,236.5682087781732
12.399;245.34133016627078,235.51116389548693,237.26152019002376
12.501;245.5045259647451,235.44449737970461,237.34826107670318
12.568;245.53360343183985,235.61248808388942,237.30076263107722
12.64;245.81673021925644,236.46782650142993,238.32816968541468
12.706;246.2289042072736,237.02305681007843,238.7052531495127
12.778;245.79621406870766,236.47557840616966,238.09277868660902
12.844;244.85470285446888,234.59639681796912,236.37693027608796
12.946;245.05165193113075,234.96021405304793,236.49720800372265
13.05;245.52588619402985,235.5039645522388,237.32066231343285
13.118;245.84188432835822,236.2488339552239,238.05643656716418
13.223;246.9567655994391,237.99065202150035,239.94765132040197
13.324;245.2274208566108,235.7094972067039,237.24767225325886
13.459;244.62413154238072,234.47753589624827,236.25011579434923
13.561;245.6618190212373,236.08079409048938,237.74584487534625
13.629;246.01794340924775,236.63146997929607,238.30526800092017
13.698;245.64617863720073,235.9267955801105,237.44544198895028
13.799;245.24,235.3309090909091,237.07340909090908
13.9;244.78489439853075,234.42929292929293,236.13934802571166
14;244.72852796630002,234.28785396676807,236.09758951556285
14.135;244.42966751918158,234.01627528481748,235.84724482678448
14.209;246.82185218978103,237.64028284671534,239.5109489051095
14.311;247.05239283284192,238.2433658425947,240.3091403946473
14.412;247.14266517357223,238.39036954087345,240.31534154535274
14.513;246.14121037463977,236.9651961870982,238.76169363777433
14.614;246.36481521504214,237.1687918737843,239.1473957207694
14.716;245.86938775510205,235.94629430719655,238.07475832438237
14.781;245.94977654820175,236.3690146839753,238.4858480527772
14.853;245.44785926239933,235.47414158541756,237.31750741839764
14.955;245.64815599830436,236.06040695209833,237.9735057227639
15.055;246.30585729499467,236.87390841320553,238.90607028753993
15.156;245.95034246575344,236.21575342465752,238.22624143835617
15.224;246.2293169282987,236.8725074246924,238.84429359355113
15.366;246.39995760915642,237.3276812208563,239.2526494277236
15.47;246.64175588865098,237.3014989293362,239.5064239828694
15.573;246.32557633753805,237.11722488038276,239.11135276207045
15.681;246.49456285341452,237.27250978686385,239.345802522836
15.754;246.49490570127898,237.2616518534576,239.41318014307393
15.888;245.72565039776393,235.78370242958505,237.7897226402924
15.955;245.74334932402965,235.83122546881813,238.1044483209769
16.055;245.85010940919037,235.96477024070023,237.84551422319475
16.121;246.04160313657155,236.44195164452188,238.35961664125463
16.225;245.71705089169205,235.56894301870378,237.81970421922574
16.292;245.70595911265767,235.4747716398434,237.73836450630708
16.426;245.56368800524362,235.47847935328818,237.5374699584881
16.527;245.8341346153846,235.8387237762238,238.06228146853147
16.632;245.925666812418,236.01945780498468,238.07586357673807
16.738;246.1064017660044,236.50816777041942,238.62891832229582
16.838;245.92251082251082,235.99935064935065,238.15974025974026
16.905;246.2774336283186,236.65929203539824,238.81084070796462
16.977;246.36238938053097,236.54026548672567,238.61526548672566
17.113;245.77772972972974,235.8,237.76475675675675
17.213;246.01871599564745,235.93775843307944,238.17388465723613
17.282;245.5849666164118,235.11458108981262,237.42795606289036
17.349;245.59482001755927,235.5976733977173,237.72300263388937
17.45;245.36570561456753,235.19141556470842,237.35399956644267
17.551;245.48580099718188,235.19293301539128,237.14610882289182
17.685;245.67487901451827,235.57215134183897,237.65112186537615
17.786;244.8810186175904,234.31029317355018,236.12754119409374
17.853;245.43763724198507,235.1743522178305,237.2417654808959
17.955;245.1766602192134,234.58542875564152,236.66193853427896
18.027;246.0720423000661,236.29521921128003,238.4205772196519
18.129;245.2407607521072,234.8469850875297,236.69310568402852
18.297;245.9561691869384,236.0105193951348,238.06026736795968
18.397;246.13989962358846,236.685278126307,238.6056043496445
18.499;246.61738944669943,237.00427259132664,239.12817773979918
18.6;246.65924512298557,237.59966072943172,239.529262086514
18.72;246.66468085106382,237.34297872340426,239.3127659574468
18.86;246.5762066045724,236.74555461473327,238.98391193903473
18.994;246.33723404255318,236.6959574468085,238.74531914893618
19.099;246.51111111111112,237.23365079365078,239.11724867724868
19.234;246.28347789295537,236.64205627247725,238.76327480431564
19.336;246.14285714285714,236.67630301751424,238.65119223464865
19.439;246.64199619369845,237.09515753859168,239.2368365404948
19.574;246.58094022548394,237.10338225909382,239.19570304190597
19.673;247.04222081486174,237.82098374498628,239.86362676799664
19.777;246.8285232778597,237.8089319570255,239.82873393722352
19.879;246.40425084175084,237.28219696969697,239.27041245791247
19.984;246.66610384128325,237.66842549598988,239.37568594343605
20.123;247.0845813119595,238.1664205863742,240.05589538072135
20.224;247.0257655755016,238.12101372756072,240.07370644139388
