time;interpolated Pixel leftCheek
0;228.2382425742574,207.77227722772278,213.8085808580858
0.002;228.2409291721957,207.77724988829743,213.80572149636856
0.032;228.28122814126993,207.85183979691715,213.7628310706101
0.062;228.3215271103442,207.92642970553683,213.71994064485165
0.092;228.36182607941845,208.00101961415655,213.6770502190932
0.122;228.40212504849268,208.07560952277626,213.63415979333473
0.152;228.44242401756694,208.15019943139595,213.59126936757627
0.182;228.4827229866412,208.22478934001566,213.54837894181782
0.212;228.52302195571542,208.29937924863538,213.50548851605936
0.242;228.56332092478968,208.3739691572551,213.4625980903009
0.272;228.60361989386394,208.44855906587478,213.41970766454244
0.302;228.64391886293816,208.5231489744945,213.37681723878399
0.332;228.68421783201242,208.5977388831142,213.33392681302553
0.362;228.72451680108665,208.6723287917339,213.29103638726707
0.392;228.7648157701609,208.7469187003536,213.2481459615086
0.422;228.80511473923517,208.82150860897332,213.20525553575015
0.452;228.8454137083094,208.89609851759303,213.1623651099917
0.482;227.7957180232449,207.6481268296082,211.7860612497627
0.512;226.34966064576628,205.91922365194898,209.92487977699895
0.542;224.9036032682877,204.19032047428976,208.0636983042352
0.572;223.4575458908091,202.46141729663054,206.20251683147146
0.602;222.39502238536636,201.20877563858213,204.82694946637307
0.632;222.38721702802232,201.26585315946338,204.7868208973544
0.662;222.37941167067828,201.3229306803446,204.74669232833574
0.692;222.37160631333424,201.38000820122585,204.7065637593171
0.722;222.3638009559902,201.4370857221071,204.66643519029844
0.752;223.0645193447013,201.58147447376916,205.24992095407106
0.782;223.98087539525525,201.75243620871234,206.02320238434532
0.812;224.89723144580918,201.92339794365552,206.79648381461962
0.842;225.81358749636314,202.0943596785987,207.5697652448939
0.872;226.43000051714898,202.2915741654915,208.13077918830336
0.902;225.8466414188624,202.59379966018278,207.8427231842536
0.932;225.2632823205758,202.89602515487408,207.5546671802038
0.962;224.6799232222892,203.19825064956535,207.26661117615404
0.992;224.09656412400264,203.50047614425662,206.97855517210428
1.022;223.51443798499463,203.07418562689355,206.7378368458954
1.052;222.9327601948152,202.38298019605617,206.51433222071958
1.082;222.35108240463578,201.6917747652188,206.29082759554376
1.112;221.92197401371533,201.20408611643987,205.99660066684703
1.142;221.84886088773249,201.1912699591307,205.53735502993487
1.172;221.77574776174967,201.17845380182152,205.07810939302271
1.202;221.70263463576686,201.16563764451234,204.61886375611056
1.232;221.8207714827488,201.15669519882343,204.5927345285296
1.262;221.95256904208537,201.14802944682168,204.59754218732945
1.292;222.08436660142195,201.13936369481993,204.6023498461293
1.322;222.20401882860207,201.22737643479618,204.74588451937453
1.352;222.3130438901453,201.39998285525323,205.01080533025947
1.382;222.42206895168854,201.57258927571024,205.27572614114442
1.412;222.50790188083977,201.7185534588084,205.49999924429906
1.442;222.38500561846288,201.6247375056767,205.35844297788094
1.472;222.26210935608603,201.530921552545,205.21688671146282
1.502;222.13921309370917,201.43710559941331,205.07533044504473
1.532;222.01631683133232,201.34328964628162,204.9337741786266
1.562;221.89342056895546,201.24947369314992,204.79221791220849
1.592;221.90528450620366,201.26947539468665,204.79520018854407
1.622;222.03506361812381,201.38906754405824,204.92465368978915
1.652;222.16484273004394,201.5086596934298,205.05410719103423
1.682;222.29462184196407,201.62825184280138,205.18356069227931
1.712;222.42898111547612,201.7593022044629,205.32205624869948
1.742;222.6274626512748,202.0507675381837,205.58714057757072
1.772;222.82594418707353,202.34223287190446,205.852224906442
1.802;223.02442572287222,202.63369820562525,206.11730923531323
1.832;222.99517456900293,202.66352727960168,206.1111582762818
1.862;222.6243243806316,202.30090196396156,205.69815438539635
1.892;222.25347419226028,201.93827664832145,205.2851504945109
1.922;221.88262400388896,201.5756513326813,204.87214660362545
1.952;221.51177381551764,201.2130260170412,204.45914271274
1.982;221.5965138693763,201.35703107132355,204.57160126768386
2.012;221.7318750612605,201.55732838893064,204.742444538831
2.042;221.8672362531447,201.7576257065377,204.91328780997813
2.072;222.00259744502893,201.9579230241448,205.08413108112524
2.102;222.2258878087637,201.61652153416063,205.12648376136104
2.132;222.49314275842374,201.00427064038084,205.1045911461412
2.162;222.7603977080838,200.39201974660102,205.08269853092133
2.192;223.02765265774383,199.77976885282123,205.06080591570148
2.222;223.175182365543,199.18223879276457,204.9385986439677
2.252;222.7240858640378,198.65831290132365,204.3148180896643
2.282;222.27298936253257,198.13438700988272,203.69103753536092
2.312;221.82189286102738,197.61046111844178,203.0672569810575
2.342;222.2646523456879,198.03530184544593,203.58520666867295
2.372;222.97945495657277,198.74889763023768,204.45063947339415
2.402;223.6942575674576,199.46249341502943,205.3160722781153
2.432;224.2261145739455,200.04937428027227,205.98903276263175
2.462;224.39208037163937,200.38282530641732,206.27704860673867
2.492;224.55804616933324,200.71627633256236,206.56506445084557
2.522;224.7240119670271,201.0497273587074,206.8530802949525
2.552;225.25610225740309,201.48402880848866,207.3870956600372
2.582;225.81434429725638,201.92553385995825,207.93868241947746
2.612;226.37258633710968,202.3670389114278,208.49026917891774
2.642;226.93082837696295,202.8085439628974,209.041855938358
2.672;227.49422815134548,203.38571046726815,209.68933222830634
2.702;228.06437265549704,204.14028041004818,210.46220251968836
2.732;228.6345171596486,204.8948503528282,211.23507281107035
2.762;229.20466166380012,205.64942029560822,212.00794310245237
2.792;229.77480616795168,206.40399023838825,212.78081339383436
2.822;229.3436222406879,206.012357176405,212.31934762300455
2.852;228.8409148540373,205.5388524712244,211.76971499058817
2.882;228.3382074673867,205.0653477660438,211.2200823581718
2.912;228.0020583945016,204.67148350945627,210.82348034425036
2.942;227.77694819746017,204.3307128852641,210.5288987426589
2.972;227.55183800041874,203.98994226107192,210.23431714106744
3.002;227.3267278033773,203.64917163687977,209.93973553947595
3.032;227.07546028100737,203.28672872350745,209.62196073591053
3.062;226.58877683068084,202.72923520751374,209.09544711457949
3.092;226.10209338035432,202.17174169152003,208.56893349324847
3.122;225.6154099300278,201.6142481755263,208.04241987191742
3.152;225.21912671596496,201.1437954812136,207.59615467270314
3.182;224.94105919547772,200.78716539986834,207.2548297177954
3.212;224.6629916749905,200.43053531852308,206.9135047628876
3.242;224.38492415450327,200.07390523717785,206.57217980797986
3.272;224.10685663401603,199.7172751558326,206.23085485307212
3.302;223.5540116299308,199.22077879848206,205.6176439269344
3.332;223.00116662584563,198.72428244113152,205.00443300079667
3.362;222.4483216217604,198.22778608378098,204.39122207465897
3.392;222.5627330978754,198.36782295079496,204.50801738518186
3.422;223.12198222745715,198.93221530071855,205.11148352014516
3.452;223.6812313570389,199.49660765064218,205.71494965510846
3.482;224.23041587462689,200.03366110669327,206.3171849320932
3.512;224.74653095280672,200.48088676859183,206.9153759614342
3.542;225.26264603098656,200.92811243049042,207.5135669907752
3.572;225.7787611091664,201.375338092389,208.11175802011618
3.602;225.76534552672476,201.39307673104224,208.00810250016437
3.632;225.69309320421405,201.36309458933493,207.82646403029113
3.662;225.62084088170334,201.3331124476276,207.64482556041793
3.692;225.54858855919264,201.30313030592026,207.4631870905447
3.722;225.38692457192275,201.1958904930164,207.29204503333602
3.752;225.1358489198937,201.01139300891603,207.13139938879195
3.782;224.8847732678647,200.82689552481565,206.97075374424787
3.812;224.63369761583564,200.64239804071528,206.8101080997038
3.842;224.3826219638066,200.4579005566149,206.64946245515972
3.872;225.01331855790514,200.9647853174485,207.25688887594893
3.902;225.6744210915253,201.49551084534878,207.89080054037032
3.932;226.33552362514544,202.02623637324908,208.5247122047917
3.962;226.60365899374546,202.2147548510236,208.7629116407285
3.992;226.28234361481526,201.88996275360952,208.40754273393836
4.022;225.96102823588504,201.56517065619545,208.05217382714824
4.052;225.63971285695484,201.24037855878137,207.69680492035812
4.082;225.31839747802462,200.9155864613673,207.34143601356797
4.112;225.4632605538053,200.9748784730471,207.48374506999735
4.142;225.75000402884578,201.1510656483642,207.77752133262396
4.172;226.03674750388626,201.3272528236813,208.07129759525054
4.202;226.18007364089235,201.43657786441412,208.21208576998052
4.232;226.10827377084686,201.44560970327052,208.1233918128655
4.262;226.03647390080138,201.45464154212692,208.0346978557505
4.292;225.9575103657489,201.44707311421394,207.934852030315
4.322;225.7782555205984,201.20710095152972,207.67888004839287
4.352;225.59900067544788,200.9671287888455,207.42290806647074
4.382;225.41974583029736,200.7271566261613,207.1669360845486
4.412;225.3476895031831,200.66709033948493,207.11162229857538
4.442;225.32157539808432,200.6841265710976,207.14230488229452
4.472;225.29546129298555,200.7011628027103,207.1729874660137
4.502;225.26934718788678,200.718199034323,207.20367004973284
4.532;225.24323308278804,200.73523526593567,207.23435263345198
4.562;225.25990374370096,200.78292259727903,207.3000170393363
4.592;225.55467538368995,201.02984207687177,207.59306328929412
4.622;225.84944702367895,201.27676155646452,207.88610953925195
4.652;226.14421866366794,201.5236810360573,208.17915578920977
4.682;226.12904100443302,201.49748105315862,208.18212333254272
