Count;Frequencies rightCheek
35.562;46.875
36.069;46.875
36.456;46.875
36.995;46.875
37.455;46.875
37.894;46.875
38.368;46.875
38.87;46.875
39.383;46.875
39.82;46.875
40.326;46.875
40.806;46.875
41.272;46.875
41.718;46.875
42.228;48.828125
42.739;48.828125
43.228;48.075
43.631;49.875
44.106;51.675000000000004
44.622;53.47500000000001
45.143;55.275000000000006
45.58;57.07500000000001
46.096;58.875000000000014
46.571;60.67500000000001
47.047;62.475000000000016
47.516;64.27500000000002
47.954;66.07500000000002
48.459;67.87500000000001
49;69.67500000000003
49.403;71.47500000000002
49.948;73.27500000000002
50.36;75.07500000000003
50.834;76.87500000000003
51.339;78.67500000000003
51.814;80.47500000000002
52.363;82.27500000000003
52.769;84.07500000000003
53.318;83.47500000000004
53.794;81.67500000000003
54.27;79.87500000000003
54.712;78.07500000000003
55.163;76.27500000000002
55.775;74.47500000000002
56.177;72.67500000000003
56.584;70.87500000000003
57.101;69.07500000000002
57.574;67.27500000000002
58.161;65.47500000000002
58.598;60.54687500000001
59.011;60.54687500000001
59.631;60.54687500000001
60.006;62.50000000000001
60.45;62.50000000000001
60.966;62.50000000000001
61.404;62.50000000000001
61.95;62.50000000000001
62.358;62.50000000000001
62.865;62.50000000000001
63.303;62.50000000000001
63.843;62.50000000000001
64.286;62.50000000000001
64.744;62.50000000000001
65.223;62.50000000000001
65.704;62.50000000000001
66.26;62.50000000000001
66.669;62.50000000000001
67.143;62.50000000000001
67.628;62.50000000000001
68.165;63.7
68.686;65.5
69.192;67.30000000000001
69.665;69.10000000000001
70.042;70.9
70.597;72.70000000000002
71.035;74.50000000000001
71.585;76.30000000000001
72.064;78.10000000000002
72.461;79.90000000000002
72.993;81.70000000000002
73.496;85.9375
73.865;85.9375
74.436;85.9375
74.876;85.9375
75.347;85.9375
75.865;85.9375
76.269;85.9375
76.783;85.9375
77.354;87.890625
77.755;89.690625
78.201;91.49062500000001
78.739;93.290625
79.245;95.090625
80.059;96.89062500000001
80.193;98.69062500000001
80.605;100.49062500000001
